CTD,20251127AORIOS
#Reference: 20090424吉里吉里アマモ場水温，塩分 - 小路 淳..Csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20090424_1011_0
CASTNO = 1
DATE = 20090424
TIME = 0111
LATITUDE = 39.3735
LONGITUDE = 141.9438
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  9.319, 33.528,   0.00
   0.10,  9.318, 33.498,   0.10
   0.20,  9.301, 33.494,   0.20
   0.30,  9.295, 33.496,   0.30
   0.40,  9.293, 33.493,   0.40
   0.50,  9.294, 33.493,   0.50
   0.60,  9.297, 33.491,   0.60
   0.71,  9.295, 33.493,   0.70
   0.81,  9.292, 33.495,   0.80
   0.91,  9.283, 33.495,   0.90
   1.01,  9.271, 33.501,   1.00
   1.11,  9.276, 33.495,   1.10
   1.21,  9.283, 33.494,   1.20
   1.31,  9.284, 33.494,   1.30
   1.41,  9.280, 33.487,   1.40
   1.51,  9.264, 33.495,   1.50
   1.61,  9.259, 33.503,   1.60
   1.71,  9.269, 33.500,   1.70
   1.81,  9.270, 33.498,   1.80
   1.92,  9.271, 33.497,   1.90
   2.02,  9.271, 33.499,   2.00
   2.12,  9.251, 33.511,   2.10
   2.22,  9.242, 33.512,   2.20
   2.32,  9.232, 33.519,   2.30
   2.42,  9.214, 33.528,   2.40
   2.52,  9.254, 33.546,   2.50
   2.62,  9.305, 33.579,   2.60
   2.72,  9.353, 33.663,   2.70
   2.82,  9.366, 33.681,   2.80
END_DATA
