CTD,20251127AORIOS
#Reference: 25July2011Sta.1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20110725_0822_0
CASTNO = 1
DATE = 20110724
TIME = 2322
LATITUDE = 39.3466
LONGITUDE = 141.9409
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.40, 19.620, 31.770,   0.40
   0.42, 19.540, 31.830,   0.42
   0.88, 19.450, 31.990,   0.87
   1.32, 19.210, 32.260,   1.31
   1.95, 18.730, 32.750,   1.93
   2.26, 18.260, 33.050,   2.24
   2.67, 18.050, 33.110,   2.65
   3.35, 17.780, 33.290,   3.32
   3.89, 17.550, 33.380,   3.86
   4.71, 17.410, 33.400,   4.67
   5.37, 17.260, 33.460,   5.33
   6.05, 17.210, 33.450,   6.00
   6.59, 17.100, 33.480,   6.54
   7.19, 17.080, 33.490,   7.13
   8.07, 17.060, 33.480,   8.01
   8.69, 17.010, 33.490,   8.62
   9.06, 16.960, 33.500,   8.99
   9.47, 16.800, 33.410,   9.39
  10.18, 16.640, 33.480,  10.10
  10.80, 16.580, 33.520,  10.71
  11.45, 16.550, 33.530,  11.36
  11.89, 16.520, 33.520,  11.79
  12.23, 16.500, 33.530,  12.13
  12.47, 16.500, 33.540,  12.37
  12.88, 16.500, 33.540,  12.78
  13.63, 16.500, 33.530,  13.52
  14.51, 16.490, 33.530,  14.39
  15.24, 16.480, 33.540,  15.12
  15.80, 16.450, 33.540,  15.67
  16.09, 16.430, 33.540,  15.96
  16.67, 16.410, 33.540,  16.54
  17.48, 16.340, 33.530,  17.34
  18.19, 16.310, 33.550,  18.04
  18.85, 16.280, 33.530,  18.70
  19.34, 16.240, 33.490,  19.18
  20.09, 16.120, 33.530,  19.93
  20.78, 16.000, 33.550,  20.61
  21.48, 15.920, 33.550,  21.31
  22.23, 15.810, 33.560,  22.05
  22.92, 15.700, 33.580,  22.73
  23.75, 15.610, 33.570,  23.56
  24.37, 15.480, 33.620,  24.17
  25.03, 15.440, 33.620,  24.83
  25.38, 15.400, 33.630,  25.17
  25.80, 15.370, 33.630,  25.59
  26.67, 15.290, 33.620,  26.45
  27.37, 15.190, 33.650,  27.15
  27.76, 15.160, 33.650,  27.54
  28.27, 15.140, 33.650,  28.04
  28.74, 15.100, 33.670,  28.51
  29.39, 15.070, 33.650,  29.15
  30.04, 14.970, 33.630,  29.80
  30.70, 14.760, 33.670,  30.45
  31.28, 14.690, 33.670,  31.03
  31.85, 14.620, 33.700,  31.59
  32.42, 14.580, 33.680,  32.16
  32.97, 14.510, 33.700,  32.70
  33.63, 14.450, 33.710,  33.36
  34.37, 14.410, 33.720,  34.09
  35.04, 14.380, 33.720,  34.76
  35.88, 14.340, 33.720,  35.59
  36.49, 14.320, 33.730,  36.19
  37.08, 14.310, 33.730,  36.78
  37.55, 14.290, 33.740,  37.25
  38.06, 14.270, 33.750,  37.75
  38.74, 14.270, 33.740,  38.43
  39.26, 14.240, 33.740,  38.94
  40.23, 14.200, 33.740,  39.90
  41.16, 14.130, 33.720,  40.83
  41.80, 13.990, 33.770,  41.46
  42.00, 13.950, 33.770,  41.66
END_DATA
