CTD,20251127AORIOS
#Reference: 20September2011Sta.2p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20110920_0930_0
CASTNO = 1
DATE = 20110920
TIME = 0030
LATITUDE = 39.3435
LONGITUDE = 141.9463
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.16, 18.030, 29.340,   0.16
   0.24, 20.030, 28.300,   0.24
   0.42, 20.220, 28.460,   0.42
   0.55, 20.240, 28.530,   0.55
   0.72, 20.250, 28.550,   0.71
   0.99, 20.240, 28.590,   0.98
   1.40, 20.250, 28.640,   1.39
   1.43, 20.250, 28.750,   1.42
   1.81, 20.640, 32.360,   1.80
   2.02, 21.150, 32.480,   2.00
   2.41, 21.240, 33.080,   2.39
   2.74, 21.480, 33.130,   2.72
   2.90, 21.510, 33.190,   2.88
   3.39, 21.580, 33.250,   3.36
   3.98, 21.630, 33.370,   3.95
   4.34, 21.540, 33.440,   4.31
   4.50, 21.520, 33.460,   4.46
   4.85, 21.510, 33.470,   4.81
   5.05, 21.490, 33.470,   5.01
   5.72, 21.470, 33.510,   5.67
   6.37, 21.480, 33.530,   6.32
   7.10, 21.480, 33.540,   7.04
   7.26, 21.470, 33.540,   7.20
   7.81, 21.470, 33.540,   7.75
   8.31, 21.440, 33.540,   8.24
   8.89, 21.420, 33.540,   8.82
   9.49, 21.410, 33.550,   9.41
   9.80, 21.400, 33.540,   9.72
   9.97, 21.400, 33.550,   9.89
  10.34, 21.410, 33.560,  10.26
  10.50, 21.400, 33.550,  10.42
  11.00, 21.390, 33.540,  10.91
  11.57, 21.360, 33.540,  11.48
  11.58, 21.360, 33.540,  11.49
  12.08, 21.340, 33.540,  11.98
  12.65, 21.320, 33.550,  12.55
  13.04, 21.310, 33.560,  12.93
  13.01, 21.310, 33.550,  12.91
  13.30, 21.310, 33.560,  13.19
  13.80, 21.310, 33.560,  13.69
  14.05, 21.310, 33.560,  13.94
  14.37, 21.310, 33.560,  14.25
  14.97, 21.310, 33.570,  14.85
  15.65, 21.300, 33.570,  15.52
  15.57, 21.300, 33.570,  15.44
  15.58, 21.300, 33.570,  15.45
  15.74, 21.290, 33.570,  15.61
  16.26, 21.290, 33.570,  16.13
  16.93, 21.260, 33.560,  16.79
  17.53, 21.190, 33.570,  17.39
  17.99, 21.180, 33.580,  17.84
  18.44, 21.180, 33.570,  18.29
  18.69, 21.160, 33.560,  18.54
  18.93, 21.130, 33.570,  18.78
  19.36, 21.110, 33.570,  19.20
  19.94, 21.060, 33.560,  19.78
  20.64, 21.000, 33.580,  20.47
  21.23, 20.960, 33.590,  21.06
  21.79, 20.950, 33.590,  21.61
  21.76, 20.950, 33.590,  21.58
  21.88, 20.950, 33.590,  21.70
  22.55, 20.950, 33.590,  22.37
  23.03, 20.950, 33.590,  22.84
  23.41, 20.940, 33.590,  23.22
  23.84, 20.940, 33.600,  23.65
  24.24, 20.940, 33.590,  24.04
  24.73, 20.900, 33.590,  24.53
  25.23, 20.860, 33.580,  25.03
  25.42, 20.840, 33.590,  25.21
  25.49, 20.810, 33.600,  25.28
  26.10, 20.730, 33.580,  25.89
  26.46, 20.640, 33.600,  26.25
  27.07, 20.510, 33.620,  26.85
  27.65, 20.410, 33.620,  27.43
  28.13, 20.300, 33.650,  27.90
  28.32, 20.290, 33.660,  28.09
  28.71, 20.230, 33.680,  28.48
  28.99, 20.220, 33.670,  28.76
  29.49, 20.200, 33.680,  29.25
  30.09, 20.190, 33.680,  29.85
  30.59, 20.140, 33.680,  30.34
  31.16, 20.100, 33.690,  30.91
  31.64, 20.070, 33.700,  31.38
  32.14, 20.040, 33.690,  31.88
  32.83, 19.960, 33.680,  32.56
  33.50, 19.720, 33.690,  33.23
  34.01, 19.580, 33.720,  33.73
  34.46, 19.510, 33.680,  34.18
  35.23, 19.100, 33.700,  34.94
  35.98, 18.840, 33.780,  35.69
  36.64, 18.690, 33.790,  36.34
  37.10, 18.570, 33.810,  36.80
  37.35, 18.470, 33.800,  37.05
  37.82, 18.210, 33.830,  37.51
  38.39, 18.100, 33.830,  38.08
  38.83, 17.990, 33.850,  38.51
  39.53, 17.900, 33.870,  39.21
  40.06, 17.860, 33.840,  39.73
  40.62, 17.690, 33.890,  40.29
  40.78, 17.670, 33.890,  40.45
  41.24, 17.670, 33.890,  40.91
  41.59, 17.650, 33.900,  41.25
  41.69, 17.640, 33.900,  41.35
END_DATA
