CTD,20251127AORIOS
#Reference: 20September2011(2)Sta.6.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20110920_1118_0
CASTNO = 1
DATE = 20110920
TIME = 0218
LATITUDE = 39.3414
LONGITUDE = 141.9303
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 20.382, 27.700,   0.00
   0.10, 20.541, 28.360,   0.10
   0.20, 20.552, 28.498,   0.20
   0.30, 20.619, 28.624,   0.30
   0.40, 20.642, 28.681,   0.40
   0.50, 20.693, 28.932,   0.50
   0.60, 20.885, 29.600,   0.60
   0.71, 21.162, 30.400,   0.70
   0.81, 21.288, 30.890,   0.80
   0.91, 21.270, 31.294,   0.90
   1.01, 21.352, 31.566,   1.00
   1.11, 21.481, 31.827,   1.10
   1.21, 21.655, 32.247,   1.20
   1.31, 21.718, 32.479,   1.30
   1.41, 21.739, 32.632,   1.40
   1.51, 21.776, 32.807,   1.50
   1.61, 21.847, 32.990,   1.60
   1.71, 21.848, 33.101,   1.70
   1.81, 21.811, 33.198,   1.80
   1.92, 21.764, 33.287,   1.90
   2.02, 21.747, 33.317,   2.00
   2.12, 21.736, 33.338,   2.10
   2.22, 21.730, 33.353,   2.20
   2.32, 21.726, 33.361,   2.30
   2.42, 21.724, 33.365,   2.40
   2.52, 21.722, 33.368,   2.50
   2.62, 21.722, 33.369,   2.60
   2.72, 21.720, 33.372,   2.70
   2.82, 21.712, 33.383,   2.80
   2.92, 21.707, 33.387,   2.90
   3.02, 21.688, 33.397,   3.00
   3.13, 21.660, 33.424,   3.10
   3.23, 21.637, 33.449,   3.20
   3.33, 21.623, 33.461,   3.30
   3.43, 21.612, 33.473,   3.40
   3.53, 21.607, 33.475,   3.50
   3.63, 21.598, 33.484,   3.60
   3.73, 21.591, 33.488,   3.70
   3.83, 21.585, 33.492,   3.80
   3.93, 21.581, 33.497,   3.90
   4.03, 21.579, 33.496,   4.00
   4.13, 21.577, 33.495,   4.10
   4.23, 21.576, 33.495,   4.20
   4.33, 21.575, 33.498,   4.30
   4.44, 21.575, 33.499,   4.40
   4.54, 21.573, 33.499,   4.50
   4.64, 21.573, 33.497,   4.60
   4.74, 21.573, 33.498,   4.70
   4.84, 21.572, 33.498,   4.80
   4.94, 21.572, 33.500,   4.90
   5.04, 21.568, 33.502,   5.00
   5.14, 21.567, 33.503,   5.10
   5.24, 21.561, 33.508,   5.20
   5.34, 21.548, 33.516,   5.30
   5.44, 21.534, 33.523,   5.40
   5.54, 21.527, 33.525,   5.50
   5.65, 21.517, 33.533,   5.60
   5.75, 21.496, 33.539,   5.70
   5.85, 21.486, 33.539,   5.80
   5.95, 21.481, 33.539,   5.90
   6.05, 21.474, 33.540,   6.00
   6.15, 21.472, 33.539,   6.10
   6.25, 21.471, 33.538,   6.20
   6.35, 21.470, 33.539,   6.30
   6.45, 21.468, 33.540,   6.40
   6.55, 21.466, 33.540,   6.50
   6.65, 21.464, 33.540,   6.60
   6.75, 21.463, 33.540,   6.70
   6.86, 21.463, 33.539,   6.80
   6.96, 21.463, 33.541,   6.90
   7.06, 21.463, 33.539,   7.00
   7.16, 21.462, 33.539,   7.10
   7.26, 21.462, 33.539,   7.20
   7.36, 21.462, 33.539,   7.30
   7.46, 21.463, 33.540,   7.40
   7.56, 21.462, 33.545,   7.50
   7.66, 21.461, 33.537,   7.60
   7.76, 21.461, 33.536,   7.70
   7.86, 21.462, 33.538,   7.80
   7.96, 21.462, 33.539,   7.90
   8.06, 21.462, 33.544,   8.00
   8.17, 21.462, 33.542,   8.10
   8.27, 21.461, 33.540,   8.20
   8.37, 21.462, 33.539,   8.30
   8.47, 21.461, 33.540,   8.40
   8.57, 21.461, 33.539,   8.50
   8.67, 21.461, 33.539,   8.60
   8.77, 21.460, 33.538,   8.70
   8.87, 21.460, 33.539,   8.80
   8.97, 21.459, 33.535,   8.90
   9.07, 21.460, 33.541,   9.00
   9.17, 21.460, 33.540,   9.10
   9.27, 21.459, 33.539,   9.20
   9.38, 21.459, 33.540,   9.30
   9.48, 21.458, 33.539,   9.40
   9.58, 21.458, 33.539,   9.50
   9.68, 21.458, 33.541,   9.60
   9.78, 21.458, 33.541,   9.70
   9.88, 21.455, 33.540,   9.80
   9.98, 21.447, 33.539,   9.90
  10.08, 21.435, 33.539,  10.00
  10.18, 21.434, 33.541,  10.10
  10.28, 21.434, 33.539,  10.20
  10.38, 21.428, 33.538,  10.30
  10.48, 21.425, 33.539,  10.40
  10.59, 21.422, 33.539,  10.50
  10.69, 21.419, 33.540,  10.60
  10.79, 21.414, 33.538,  10.70
