CTD,20251127AORIOS
#Reference: 20September2011Sta.17.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20110920_1347_0
CASTNO = 1
DATE = 20110920
TIME = 0447
LATITUDE = 39.3322
LONGITUDE = 141.9022
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.28, 17.900, 19.850,   0.28
   0.69, 19.630, 26.390,   0.68
   1.06, 21.090, 31.510,   1.05
   1.41, 21.480, 31.970,   1.40
   1.89, 21.580, 32.570,   1.87
   2.06, 21.730, 32.530,   2.04
   2.51, 21.810, 33.190,   2.49
   3.05, 21.710, 33.360,   3.03
   3.35, 21.690, 33.390,   3.32
   3.89, 21.690, 33.410,   3.86
   4.66, 21.620, 33.450,   4.62
   5.15, 21.590, 33.470,   5.11
   5.29, 21.590, 33.470,   5.25
   5.64, 21.570, 33.480,   5.59
   5.67, 21.560, 33.490,   5.62
   5.70, 21.560, 33.480,   5.65
   5.97, 21.540, 33.500,   5.92
   6.18, 21.530, 33.500,   6.13
   6.46, 21.510, 33.520,   6.41
   6.78, 21.500, 33.510,   6.73
   7.26, 21.450, 33.520,   7.20
   7.75, 21.400, 33.550,   7.69
   8.03, 21.270, 33.570,   7.97
   8.05, 21.320, 33.560,   7.99
   8.07, 21.340, 33.560,   8.01
   8.09, 21.360, 33.530,   8.02
   8.10, 21.390, 33.530,   8.03
   8.00, 21.370, 33.520,   7.94
   7.95, 21.310, 33.600,   7.89
   7.97, 21.370, 33.550,   7.91
   7.88, 21.220, 33.560,   7.82
   8.12, 21.200, 33.580,   8.05
END_DATA
