CTD,20251127AORIOS
#Reference: 16January2012Sta.2p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120116_0920_0
CASTNO = 1
DATE = 20120116
TIME = 0020
LATITUDE = 39.3421
LONGITUDE = 141.9478
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  7.974, 33.624,   0.00
   0.10,  7.971, 33.650,   0.10
   0.20,  7.966, 33.653,   0.20
   0.30,  7.961, 33.665,   0.30
   0.40,  7.967, 33.671,   0.40
   0.50,  7.972, 33.674,   0.50
   0.60,  7.973, 33.674,   0.60
   0.71,  7.978, 33.676,   0.70
   0.81,  7.979, 33.679,   0.80
   0.91,  7.980, 33.677,   0.90
   1.01,  7.983, 33.677,   1.00
   1.11,  7.984, 33.678,   1.10
   1.21,  7.984, 33.679,   1.20
   1.31,  7.984, 33.679,   1.30
   1.41,  7.985, 33.679,   1.40
   1.51,  7.985, 33.679,   1.50
   1.61,  7.986, 33.680,   1.60
   1.71,  7.986, 33.680,   1.70
   1.81,  7.986, 33.678,   1.80
   1.92,  7.986, 33.678,   1.90
   2.02,  7.986, 33.678,   2.00
   2.12,  7.987, 33.680,   2.10
   2.22,  7.987, 33.680,   2.20
   2.32,  7.987, 33.679,   2.30
   2.42,  7.989, 33.681,   2.40
   2.52,  7.989, 33.680,   2.50
   2.62,  7.987, 33.681,   2.60
   2.72,  7.984, 33.682,   2.70
   2.82,  7.984, 33.679,   2.80
   2.92,  7.983, 33.680,   2.90
   3.02,  7.984, 33.679,   3.00
   3.13,  7.985, 33.680,   3.10
   3.23,  7.984, 33.680,   3.20
   3.33,  7.987, 33.680,   3.30
   3.43,  7.991, 33.679,   3.40
   3.53,  8.001, 33.678,   3.50
   3.63,  8.003, 33.678,   3.60
   3.73,  8.007, 33.679,   3.70
   3.83,  8.005, 33.679,   3.80
   3.93,  8.005, 33.680,   3.90
   4.03,  8.004, 33.678,   4.00
   4.13,  7.999, 33.679,   4.10
   4.23,  7.996, 33.680,   4.20
   4.33,  7.992, 33.679,   4.30
   4.44,  7.999, 33.674,   4.40
   4.54,  8.002, 33.671,   4.50
   4.64,  8.000, 33.675,   4.60
   4.74,  7.992, 33.678,   4.70
   4.84,  7.993, 33.680,   4.80
   4.94,  7.992, 33.678,   4.90
   5.04,  7.989, 33.680,   5.00
   5.14,  7.992, 33.679,   5.10
   5.24,  8.001, 33.678,   5.20
   5.34,  8.007, 33.679,   5.30
   5.44,  8.008, 33.681,   5.40
   5.54,  8.009, 33.681,   5.50
   5.65,  8.010, 33.681,   5.60
   5.75,  8.011, 33.682,   5.70
   5.85,  8.010, 33.680,   5.80
   5.95,  8.010, 33.679,   5.90
   6.05,  8.010, 33.679,   6.00
   6.15,  8.009, 33.681,   6.10
   6.25,  8.009, 33.682,   6.20
   6.35,  8.013, 33.681,   6.30
   6.45,  8.010, 33.684,   6.40
   6.55,  8.011, 33.681,   6.50
   6.65,  8.012, 33.681,   6.60
   6.75,  8.014, 33.680,   6.70
   6.86,  8.013, 33.682,   6.80
   6.96,  8.014, 33.680,   6.90
   7.06,  8.015, 33.679,   7.00
   7.16,  8.015, 33.680,   7.10
   7.26,  8.014, 33.680,   7.20
   7.36,  8.014, 33.680,   7.30
   7.46,  8.010, 33.681,   7.40
   7.56,  8.009, 33.682,   7.50
   7.66,  8.008, 33.681,   7.60
   7.76,  8.007, 33.683,   7.70
   7.86,  8.008, 33.681,   7.80
   7.96,  8.006, 33.680,   7.90
   8.06,  8.008, 33.680,   8.00
   8.17,  8.011, 33.680,   8.10
   8.27,  8.011, 33.683,   8.20
   8.37,  8.009, 33.682,   8.30
   8.47,  8.009, 33.682,   8.40
   8.57,  8.009, 33.683,   8.50
   8.67,  8.009, 33.683,   8.60
   8.77,  8.009, 33.682,   8.70
   8.87,  8.009, 33.682,   8.80
   8.97,  8.008, 33.684,   8.90
   9.07,  8.009, 33.682,   9.00
   9.17,  8.010, 33.682,   9.10
   9.27,  8.012, 33.682,   9.20
   9.38,  8.012, 33.682,   9.30
   9.48,  8.014, 33.683,   9.40
   9.58,  8.020, 33.683,   9.50
   9.68,  8.035, 33.682,   9.60
   9.78,  8.035, 33.685,   9.70
   9.88,  8.035, 33.685,   9.80
   9.98,  8.035, 33.683,   9.90
  10.08,  8.034, 33.685,  10.00
  10.18,  8.032, 33.685,  10.10
  10.28,  8.032, 33.685,  10.20
  10.38,  8.031, 33.683,  10.30
  10.48,  8.029, 33.684,  10.40
  10.59,  8.028, 33.686,  10.50
  10.69,  8.030, 33.685,  10.60
  10.79,  8.031, 33.686,  10.70
  10.89,  8.033, 33.685,  10.80
  10.99,  8.037, 33.685,  10.90
  11.09,  8.041, 33.686,  11.00
  11.19,  8.037, 33.687,  11.10
  11.29,  8.040, 33.690,  11.20
  11.39,  8.050, 33.690,  11.30
  11.49,  8.059, 33.689,  11.40
  11.59,  8.064, 33.690,  11.50
  11.69,  8.059, 33.696,  11.60
  11.80,  8.061, 33.694,  11.70
  11.90,  8.064, 33.697,  11.80
  12.00,  8.065, 33.694,  11.90
  12.10,  8.068, 33.695,  12.00
  12.20,  8.071, 33.693,  12.10
  12.30,  8.072, 33.694,  12.20
  12.40,  8.076, 33.694,  12.30
  12.50,  8.081, 33.693,  12.40
  12.60,  8.105, 33.695,  12.50
  12.70,  8.125, 33.699,  12.60
  12.80,  8.144, 33.704,  12.70
  12.90,  8.149, 33.708,  12.80
  13.00,  8.148, 33.712,  12.90
  13.11,  8.147, 33.713,  13.00
  13.21,  8.150, 33.714,  13.10
  13.31,  8.144, 33.715,  13.20
  13.41,  8.138, 33.712,  13.30
  13.51,  8.139, 33.710,  13.40
  13.61,  8.132, 33.708,  13.50
  13.71,  8.129, 33.709,  13.60
  13.81,  8.129, 33.705,  13.70
  13.91,  8.129, 33.707,  13.80
  14.01,  8.140, 33.708,  13.90
  14.11,  8.159, 33.714,  14.00
  14.21,  8.162, 33.716,  14.10
  14.32,  8.164, 33.717,  14.20
  14.42,  8.169, 33.718,  14.30
  14.52,  8.169, 33.718,  14.40
  14.62,  8.173, 33.718,  14.50
  14.72,  8.176, 33.717,  14.60
  14.82,  8.176, 33.717,  14.70
  14.92,  8.174, 33.719,  14.80
  15.02,  8.177, 33.719,  14.90
  15.12,  8.184, 33.724,  15.00
  15.22,  8.187, 33.721,  15.10
  15.32,  8.189, 33.722,  15.20
  15.42,  8.189, 33.719,  15.30
  15.53,  8.185, 33.721,  15.40
  15.63,  8.187, 33.719,  15.50
  15.73,  8.188, 33.717,  15.60
  15.83,  8.188, 33.715,  15.70
  15.93,  8.187, 33.719,  15.80
  16.03,  8.190, 33.721,  15.90
  16.13,  8.191, 33.718,  16.00
  16.23,  8.190, 33.721,  16.10
  16.33,  8.192, 33.721,  16.20
  16.43,  8.191, 33.721,  16.30
  16.53,  8.191, 33.723,  16.40
  16.63,  8.193, 33.722,  16.50
  16.74,  8.194, 33.721,  16.60
  16.84,  8.192, 33.720,  16.70
  16.94,  8.193, 33.720,  16.80
  17.04,  8.193, 33.721,  16.90
  17.14,  8.194, 33.720,  17.00
  17.24,  8.193, 33.722,  17.10
  17.34,  8.192, 33.723,  17.20
  17.44,  8.192, 33.723,  17.30
  17.54,  8.194, 33.721,  17.40
  17.64,  8.193, 33.723,  17.50
  17.74,  8.194, 33.720,  17.60
  17.84,  8.192, 33.722,  17.70
  17.94,  8.192, 33.722,  17.80
  18.05,  8.191, 33.723,  17.90
  18.15,  8.190, 33.721,  18.00
  18.25,  8.188, 33.721,  18.10
  18.35,  8.184, 33.721,  18.20
  18.45,  8.183, 33.716,  18.30
  18.55,  8.181, 33.716,  18.40
  18.65,  8.179, 33.719,  18.50
  18.75,  8.178, 33.718,  18.60
  18.85,  8.176, 33.716,  18.70
  18.95,  8.176, 33.716,  18.80
  19.05,  8.178, 33.717,  18.90
  19.15,  8.178, 33.719,  19.00
  19.26,  8.180, 33.719,  19.10
  19.36,  8.181, 33.721,  19.20
  19.46,  8.184, 33.720,  19.30
  19.56,  8.184, 33.721,  19.40
  19.66,  8.184, 33.722,  19.50
  19.76,  8.184, 33.723,  19.60
  19.86,  8.181, 33.724,  19.70
  19.96,  8.181, 33.722,  19.80
  20.06,  8.181, 33.726,  19.90
  20.16,  8.181, 33.725,  20.00
  20.26,  8.181, 33.725,  20.10
  20.36,  8.182, 33.723,  20.20
  20.47,  8.182, 33.723,  20.30
  20.57,  8.182, 33.722,  20.40
  20.67,  8.183, 33.721,  20.50
  20.77,  8.184, 33.722,  20.60
  20.87,  8.185, 33.722,  20.70
  20.97,  8.187, 33.723,  20.80
  21.07,  8.184, 33.722,  20.90
  21.17,  8.181, 33.722,  21.00
  21.27,  8.181, 33.722,  21.10
  21.37,  8.179, 33.722,  21.20
  21.47,  8.184, 33.717,  21.30
  21.57,  8.182, 33.720,  21.40
  21.68,  8.180, 33.720,  21.50
  21.78,  8.178, 33.721,  21.60
  21.88,  8.177, 33.720,  21.70
  21.98,  8.176, 33.721,  21.80
  22.08,  8.175, 33.721,  21.90
  22.18,  8.176, 33.719,  22.00
  22.28,  8.174, 33.720,  22.10
  22.38,  8.175, 33.720,  22.20
  22.48,  8.177, 33.720,  22.30
  22.58,  8.178, 33.719,  22.40
