CTD,20251127AORIOS
#Reference: 22May2012Sta.1p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120522_0744_0
CASTNO = 1
DATE = 20120521
TIME = 2244
LATITUDE = 39.3448
LONGITUDE = 141.9440
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 13.395, 28.390,   0.00
   0.10, 13.507, 29.257,   0.10
   0.20, 13.575, 30.052,   0.20
   0.30, 13.615, 30.630,   0.30
   0.40, 13.607, 30.761,   0.40
   0.50, 13.563, 30.859,   0.50
   0.60, 13.401, 31.027,   0.60
   0.71, 13.172, 31.251,   0.70
   0.81, 12.954, 31.480,   0.80
   0.91, 12.692, 31.769,   0.90
   1.01, 12.610, 31.892,   1.00
   1.11, 12.581, 31.979,   1.10
   1.21, 12.500, 32.106,   1.20
   1.31, 12.350, 32.268,   1.30
   1.41, 12.055, 32.555,   1.40
   1.51, 11.815, 32.735,   1.50
   1.61, 11.530, 32.902,   1.60
   1.71, 11.350, 32.999,   1.70
   1.81, 11.197, 33.090,   1.80
   1.92, 11.106, 33.140,   1.90
   2.02, 11.062, 33.159,   2.00
   2.12, 11.022, 33.185,   2.10
   2.22, 10.991, 33.214,   2.20
   2.32, 10.973, 33.230,   2.30
   2.42, 10.960, 33.239,   2.40
   2.52, 10.951, 33.245,   2.50
   2.62, 10.945, 33.247,   2.60
   2.72, 10.937, 33.251,   2.70
   2.82, 10.916, 33.259,   2.80
   2.92, 10.897, 33.268,   2.90
   3.02, 10.883, 33.275,   3.00
   3.13, 10.867, 33.279,   3.10
   3.23, 10.847, 33.283,   3.20
   3.33, 10.825, 33.287,   3.30
   3.43, 10.801, 33.291,   3.40
   3.53, 10.773, 33.296,   3.50
   3.63, 10.749, 33.299,   3.60
   3.73, 10.732, 33.300,   3.70
   3.83, 10.720, 33.300,   3.80
   3.93, 10.707, 33.303,   3.90
   4.03, 10.698, 33.305,   4.00
   4.13, 10.694, 33.308,   4.10
   4.23, 10.688, 33.307,   4.20
   4.33, 10.675, 33.312,   4.30
   4.44, 10.649, 33.318,   4.40
   4.54, 10.627, 33.318,   4.50
   4.64, 10.597, 33.320,   4.60
   4.74, 10.574, 33.323,   4.70
   4.84, 10.550, 33.325,   4.80
   4.94, 10.526, 33.324,   4.90
   5.04, 10.497, 33.325,   5.00
   5.14, 10.492, 33.323,   5.10
   5.24, 10.478, 33.325,   5.20
   5.34, 10.470, 33.326,   5.30
   5.44, 10.454, 33.327,   5.40
   5.54, 10.436, 33.329,   5.50
   5.65, 10.417, 33.330,   5.60
   5.75, 10.392, 33.336,   5.70
   5.85, 10.364, 33.341,   5.80
   5.95, 10.351, 33.342,   5.90
