CTD,20251127AORIOS
#Reference: 22May2012Sta.4.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120522_0912_0
CASTNO = 1
DATE = 20120522
TIME = 0012
LATITUDE = 39.3352
LONGITUDE = 141.9393
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 13.003, 23.435,   0.00
   0.10, 13.029, 24.594,   0.10
   0.20, 13.247, 27.791,   0.20
   0.30, 13.315, 28.376,   0.30
   0.40, 13.354, 28.667,   0.40
   0.50, 13.381, 28.891,   0.50
   0.60, 13.426, 29.390,   0.60
   0.71, 13.355, 29.952,   0.70
   0.81, 13.271, 30.439,   0.80
   0.91, 13.183, 30.814,   0.90
   1.01, 13.029, 31.196,   1.00
   1.11, 12.857, 31.462,   1.10
   1.21, 12.521, 31.880,   1.20
   1.31, 12.271, 32.157,   1.30
   1.41, 12.020, 32.438,   1.40
   1.51, 11.886, 32.584,   1.50
   1.61, 11.776, 32.694,   1.60
   1.71, 11.670, 32.797,   1.70
   1.81, 11.558, 32.889,   1.80
   1.92, 11.499, 32.930,   1.90
   2.02, 11.448, 32.961,   2.00
   2.12, 11.408, 32.991,   2.10
   2.22, 11.343, 33.039,   2.20
   2.32, 11.280, 33.070,   2.30
   2.42, 11.195, 33.117,   2.40
   2.52, 11.125, 33.154,   2.50
   2.62, 11.071, 33.183,   2.60
   2.72, 11.020, 33.208,   2.70
   2.82, 10.998, 33.216,   2.80
   2.92, 10.980, 33.222,   2.90
   3.02, 10.951, 33.226,   3.00
   3.13, 10.901, 33.240,   3.10
   3.23, 10.874, 33.248,   3.20
   3.33, 10.858, 33.253,   3.30
   3.43, 10.844, 33.258,   3.40
   3.53, 10.808, 33.269,   3.50
   3.63, 10.780, 33.276,   3.60
   3.73, 10.756, 33.278,   3.70
   3.83, 10.726, 33.280,   3.80
   3.93, 10.699, 33.282,   3.90
   4.03, 10.675, 33.285,   4.00
   4.13, 10.648, 33.289,   4.10
   4.23, 10.629, 33.291,   4.20
   4.33, 10.595, 33.297,   4.30
