CTD,20251127AORIOS
#Reference: 23May2012Sta.E6.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120523_0836_0
CASTNO = 1
DATE = 20120522
TIME = 2336
LATITUDE = 39.3277
LONGITUDE = 141.9038
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 13.268, 22.635,   0.00
   0.10, 13.285, 22.979,   0.10
   0.20, 13.265, 23.304,   0.20
   0.30, 13.177, 24.392,   0.30
   0.40, 13.375, 26.006,   0.40
   0.50, 13.592, 27.146,   0.50
   0.60, 13.683, 28.328,   0.60
   0.71, 13.783, 29.053,   0.70
   0.81, 13.637, 29.590,   0.80
   0.91, 13.600, 30.315,   0.90
   1.01, 13.472, 30.859,   1.00
   1.11, 13.173, 31.374,   1.10
   1.21, 12.723, 31.922,   1.20
   1.31, 12.376, 32.302,   1.30
   1.41, 12.224, 32.478,   1.40
   1.51, 12.144, 32.580,   1.50
   1.61, 12.059, 32.674,   1.60
   1.71, 12.015, 32.737,   1.70
   1.81, 11.890, 32.846,   1.80
   1.92, 11.734, 32.944,   1.90
   2.02, 11.663, 32.980,   2.00
   2.12, 11.622, 32.994,   2.10
   2.22, 11.536, 33.033,   2.20
   2.32, 11.422, 33.068,   2.30
   2.42, 11.316, 33.096,   2.40
   2.52, 11.284, 33.115,   2.50
   2.62, 11.242, 33.124,   2.60
   2.72, 11.227, 33.128,   2.70
   2.82, 11.214, 33.132,   2.80
   2.92, 11.204, 33.138,   2.90
   3.02, 11.204, 33.149,   3.00
   3.13, 11.139, 33.156,   3.10
   3.23, 11.029, 33.184,   3.20
   3.33, 10.964, 33.166,   3.30
   3.43, 10.937, 33.160,   3.40
   3.53, 10.926, 33.158,   3.50
   3.63, 10.921, 33.159,   3.60
   3.73, 10.872, 33.166,   3.70
   3.83, 10.857, 33.153,   3.80
   3.93, 10.837, 33.156,   3.90
   4.03, 10.838, 33.160,   4.00
   4.13, 10.843, 33.161,   4.10
   4.23, 10.822, 33.169,   4.20
   4.33, 10.799, 33.177,   4.30
   4.44, 10.793, 33.172,   4.40
END_DATA
