CTD,20251127AORIOS
#Reference: 20July2012Sta.1p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120720_0728_0
CASTNO = 1
DATE = 20120719
TIME = 2228
LATITUDE = 39.3448
LONGITUDE = 141.9440
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 17.347, 30.758,   0.00
   0.10, 17.350, 30.821,   0.10
   0.20, 17.223, 31.338,   0.20
   0.30, 17.142, 31.935,   0.30
   0.40, 17.100, 32.274,   0.40
   0.50, 16.946, 32.573,   0.50
   0.60, 16.898, 32.590,   0.60
   0.71, 16.880, 32.590,   0.70
   0.81, 16.878, 32.588,   0.80
   0.91, 16.779, 32.668,   0.90
   1.01, 16.748, 32.705,   1.00
   1.11, 16.651, 32.843,   1.10
   1.21, 16.600, 32.983,   1.20
   1.31, 16.595, 33.026,   1.30
   1.41, 16.600, 33.073,   1.40
   1.51, 16.620, 33.119,   1.50
   1.61, 16.689, 33.218,   1.60
   1.71, 16.717, 33.287,   1.70
   1.81, 16.717, 33.335,   1.80
   1.92, 16.723, 33.368,   1.90
   2.02, 16.758, 33.403,   2.00
   2.12, 16.772, 33.436,   2.10
   2.22, 16.745, 33.458,   2.20
   2.32, 16.684, 33.465,   2.30
   2.42, 16.645, 33.468,   2.40
   2.52, 16.615, 33.470,   2.50
   2.62, 16.588, 33.471,   2.60
   2.72, 16.575, 33.473,   2.70
   2.82, 16.569, 33.476,   2.80
   2.92, 16.568, 33.477,   2.90
   3.02, 16.570, 33.480,   3.00
   3.13, 16.573, 33.482,   3.10
   3.23, 16.577, 33.484,   3.20
   3.33, 16.580, 33.485,   3.30
   3.43, 16.586, 33.488,   3.40
   3.53, 16.595, 33.493,   3.50
   3.63, 16.593, 33.500,   3.60
   3.73, 16.590, 33.505,   3.70
   3.83, 16.595, 33.508,   3.80
   3.93, 16.597, 33.508,   3.90
   4.03, 16.598, 33.510,   4.00
   4.13, 16.600, 33.511,   4.10
   4.23, 16.600, 33.513,   4.20
   4.33, 16.598, 33.514,   4.30
   4.44, 16.594, 33.517,   4.40
   4.54, 16.590, 33.517,   4.50
   4.64, 16.586, 33.517,   4.60
   4.74, 16.580, 33.518,   4.70
   4.84, 16.572, 33.517,   4.80
   4.94, 16.567, 33.516,   4.90
   5.04, 16.569, 33.516,   5.00
   5.14, 16.569, 33.516,   5.10
   5.24, 16.568, 33.517,   5.20
   5.34, 16.566, 33.517,   5.30
   5.44, 16.563, 33.518,   5.40
   5.54, 16.560, 33.517,   5.50
   5.65, 16.559, 33.517,   5.60
   5.75, 16.565, 33.517,   5.70
   5.85, 16.568, 33.519,   5.80
   5.95, 16.563, 33.519,   5.90
   6.05, 16.563, 33.517,   6.00
   6.15, 16.563, 33.517,   6.10
   6.25, 16.560, 33.520,   6.20
   6.35, 16.562, 33.517,   6.30
   6.45, 16.555, 33.518,   6.40
   6.55, 16.549, 33.517,   6.50
   6.65, 16.546, 33.515,   6.60
   6.75, 16.546, 33.513,   6.70
   6.86, 16.546, 33.514,   6.80
   6.96, 16.543, 33.514,   6.90
   7.06, 16.545, 33.514,   7.00
   7.16, 16.541, 33.513,   7.10
   7.26, 16.538, 33.510,   7.20
   7.36, 16.529, 33.509,   7.30
   7.46, 16.526, 33.508,   7.40
   7.56, 16.520, 33.509,   7.50
   7.66, 16.519, 33.506,   7.60
   7.76, 16.518, 33.505,   7.70
   7.86, 16.516, 33.506,   7.80
   7.96, 16.515, 33.506,   7.90
   8.06, 16.516, 33.507,   8.00
   8.17, 16.536, 33.504,   8.10
   8.27, 16.553, 33.509,   8.20
   8.37, 16.560, 33.517,   8.30
   8.47, 16.578, 33.518,   8.40
   8.57, 16.582, 33.522,   8.50
   8.67, 16.572, 33.527,   8.60
   8.77, 16.562, 33.527,   8.70
   8.87, 16.553, 33.523,   8.80
   8.97, 16.548, 33.521,   8.90
   9.07, 16.548, 33.520,   9.00
   9.17, 16.552, 33.521,   9.10
   9.27, 16.552, 33.524,   9.20
   9.38, 16.541, 33.523,   9.30
   9.48, 16.518, 33.526,   9.40
   9.58, 16.494, 33.524,   9.50
   9.68, 16.483, 33.518,   9.60
   9.78, 16.471, 33.515,   9.70
   9.88, 16.461, 33.511,   9.80
   9.98, 16.456, 33.510,   9.90
  10.08, 16.448, 33.510,  10.00
  10.18, 16.448, 33.507,  10.10
  10.28, 16.451, 33.503,  10.20
  10.38, 16.459, 33.511,  10.30
  10.48, 16.462, 33.513,  10.40
  10.59, 16.454, 33.514,  10.50
  10.69, 16.442, 33.513,  10.60
  10.79, 16.427, 33.509,  10.70
  10.89, 16.403, 33.510,  10.80
  10.99, 16.381, 33.505,  10.90
  11.09, 16.359, 33.492,  11.00
  11.19, 16.330, 33.495,  11.10
  11.29, 16.296, 33.487,  11.20
  11.39, 16.279, 33.477,  11.30
  11.49, 16.268, 33.475,  11.40
  11.59, 16.266, 33.470,  11.50
  11.69, 16.284, 33.470,  11.60
  11.80, 16.295, 33.474,  11.70
  11.90, 16.300, 33.479,  11.80
  12.00, 16.303, 33.479,  11.90
  12.10, 16.328, 33.480,  12.00
  12.20, 16.367, 33.487,  12.10
  12.30, 16.394, 33.503,  12.20
  12.40, 16.397, 33.514,  12.30
  12.50, 16.390, 33.519,  12.40
  12.60, 16.387, 33.524,  12.50
  12.70, 16.372, 33.527,  12.60
