CTD,20251127AORIOS
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120808_1701_0
CASTNO = 1
DATE = 20120808
TIME = 0801
LATITUDE = 39.3643
LONGITUDE = 141.9862
 CTDPRS, CTDTMP, CTDSAL
   DBAR, ITS-90, PSS-78
   3.00, 20.991, 33.469
   4.00, 21.211, 33.414
   5.00, 21.190, 33.418
   6.00, 20.869, 33.517
   7.00, 20.115, 33.708
   8.00, 19.974, 33.721
   9.00, 19.945, 33.723
  10.00, 19.862, 33.722
  11.00, 19.792, 33.722
  12.00, 19.762, 33.722
  13.00, 19.805, 33.723
  14.00, 19.646, 33.731
  15.00, 19.620, 33.736
  16.00, 19.401, 33.755
  17.00, 19.381, 33.757
  18.00, 19.103, 33.764
  19.00, 19.053, 33.765
  20.00, 18.907, 33.779
  21.00, 18.837, 33.789
  22.00, 18.720, 33.803
  23.00, 18.589, 33.812
  24.00, 18.249, 33.819
  25.00, 17.896, 33.842
  26.00, 17.781, 33.848
  27.00, 17.538, 33.856
  28.00, 17.471, 33.857
  29.00, 17.462, 33.858
  30.00, 17.361, 33.860
  31.00, 17.364, 33.860
  32.00, 17.415, 33.860
  33.00, 17.341, 33.860
  34.00, 17.344, 33.861
  35.00, 17.363, 33.860
  36.00, 17.339, 33.861
  37.00, 17.337, 33.860
  38.00, 17.344, 33.860
  39.00, 17.332, 33.859
  40.00, 17.330, 33.858
  41.00, 17.315, 33.858
  42.00, 17.311, 33.858
  43.00, 17.291, 33.859
  44.00, 17.281, 33.860
  45.00, 17.280, 33.859
  46.00, 17.272, 33.861
  47.00, 17.262, 33.861
  48.00, 17.262, 33.861
  49.00, 17.254, 33.860
  50.00, 17.253, 33.859
  51.00, 17.249, 33.858
  52.00, 17.238, 33.857
  53.00, 17.233, 33.856
  54.00, 17.229, 33.856
  55.00, 17.233, 33.856
  56.00, 17.221, 33.856
  57.00, 17.127, 33.855
  58.00, 16.788, 33.865
  59.00, 16.315, 33.883
  60.00, 15.962, 33.903
  61.00, 15.935, 33.908
  62.00, 15.859, 33.911
  63.00, 15.852, 33.913
  64.00, 15.851, 33.914
  65.00, 15.854, 33.915
  66.00, 15.846, 33.918
  67.00, 15.834, 33.920
  68.00, 15.735, 33.924
  69.00, 15.132, 33.950
  70.00, 14.906, 33.958
  71.00, 14.766, 33.964
  72.00, 14.411, 33.970
  73.00, 14.066, 33.976
  74.00, 13.461, 33.986
  75.00, 12.229, 34.021
  76.00, 12.071, 34.026
  77.00, 11.971, 34.033
END_DATA
