CTD,20251127AORIOS
#Reference: 28September2012Sta.L3.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120928_0838_0
CASTNO = 1
DATE = 20120927
TIME = 2338
LATITUDE = 39.3417
LONGITUDE = 141.9308
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 22.126, 32.324,   0.00
   0.10, 22.160, 32.332,   0.10
   0.20, 22.141, 32.343,   0.20
   0.30, 22.153, 32.339,   0.30
   0.40, 22.154, 32.340,   0.40
   0.50, 22.154, 32.339,   0.50
   0.60, 22.148, 32.340,   0.60
   0.71, 22.154, 32.345,   0.70
   0.81, 22.157, 32.353,   0.80
   0.91, 22.185, 32.383,   0.90
   1.01, 22.203, 32.376,   1.00
   1.11, 22.202, 32.385,   1.10
   1.21, 22.220, 32.396,   1.20
   1.31, 22.254, 32.449,   1.30
   1.41, 22.299, 32.506,   1.40
   1.51, 22.360, 32.534,   1.50
   1.61, 22.386, 32.605,   1.60
   1.71, 22.419, 32.664,   1.70
   1.81, 22.452, 32.745,   1.80
   1.92, 22.529, 32.819,   1.90
   2.02, 22.581, 32.872,   2.00
   2.12, 22.632, 32.950,   2.10
   2.22, 22.682, 33.018,   2.20
   2.32, 22.724, 33.076,   2.30
   2.42, 22.739, 33.098,   2.40
   2.52, 22.734, 33.108,   2.50
   2.62, 22.723, 33.112,   2.60
   2.72, 22.717, 33.110,   2.70
   2.82, 22.714, 33.113,   2.80
   2.92, 22.708, 33.113,   2.90
   3.02, 22.702, 33.114,   3.00
   3.13, 22.696, 33.116,   3.10
   3.23, 22.689, 33.118,   3.20
   3.33, 22.688, 33.118,   3.30
   3.43, 22.689, 33.123,   3.40
   3.53, 22.692, 33.130,   3.50
   3.63, 22.704, 33.146,   3.60
   3.73, 22.705, 33.155,   3.70
   3.83, 22.699, 33.161,   3.80
   3.93, 22.697, 33.162,   3.90
   4.03, 22.696, 33.165,   4.00
   4.13, 22.695, 33.166,   4.10
   4.23, 22.695, 33.166,   4.20
   4.33, 22.693, 33.166,   4.30
   4.44, 22.692, 33.165,   4.40
