CTD,20251127AORIOS
#Reference: 28September2012Sta.E8.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20120928_1048_0
CASTNO = 1
DATE = 20120928
TIME = 0148
LATITUDE = 39.3316
LONGITUDE = 141.9038
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 21.432, 29.145,   0.00
   0.10, 21.431, 29.251,   0.10
   0.20, 21.372, 29.570,   0.20
   0.30, 21.602, 30.483,   0.30
   0.40, 21.739, 31.080,   0.40
   0.50, 21.765, 31.317,   0.50
   0.60, 21.807, 31.517,   0.60
   0.71, 21.860, 31.689,   0.70
   0.81, 21.873, 31.802,   0.80
   0.91, 21.874, 31.860,   0.90
   1.01, 21.891, 31.914,   1.00
   1.11, 21.884, 31.939,   1.10
   1.21, 21.877, 31.958,   1.20
   1.31, 21.879, 31.966,   1.30
   1.41, 21.889, 31.996,   1.40
   1.51, 21.891, 32.041,   1.50
   1.61, 21.889, 32.082,   1.60
   1.71, 21.889, 32.103,   1.70
   1.81, 21.883, 32.120,   1.80
   1.92, 21.877, 32.142,   1.90
   2.02, 21.925, 32.212,   2.00
   2.12, 22.008, 32.364,   2.10
   2.22, 22.106, 32.404,   2.20
   2.32, 22.186, 32.497,   2.30
   2.42, 22.231, 32.510,   2.40
   2.52, 22.252, 32.544,   2.50
   2.62, 22.323, 32.592,   2.60
   2.72, 22.399, 32.615,   2.70
   2.82, 22.425, 32.638,   2.80
   2.92, 22.452, 32.688,   2.90
   3.02, 22.508, 32.739,   3.00
   3.13, 22.570, 32.787,   3.10
   3.23, 22.645, 32.836,   3.20
   3.33, 22.691, 32.918,   3.30
   3.43, 22.694, 32.956,   3.40
   3.53, 22.686, 32.978,   3.50
   3.63, 22.677, 32.994,   3.60
   3.73, 22.670, 33.001,   3.70
   3.83, 22.677, 33.009,   3.80
   3.93, 22.719, 33.006,   3.90
   4.03, 22.712, 33.080,   4.00
   4.13, 22.760, 33.087,   4.10
   4.23, 22.788, 33.081,   4.20
   4.33, 22.801, 33.095,   4.30
   4.44, 22.803, 33.134,   4.40
   4.54, 22.815, 33.153,   4.50
   4.64, 22.841, 33.172,   4.60
   4.74, 22.884, 33.211,   4.70
   4.84, 22.890, 33.235,   4.80
   4.94, 22.925, 33.271,   4.90
   5.04, 22.953, 33.306,   5.00
   5.14, 22.965, 33.331,   5.10
   5.24, 22.954, 33.344,   5.20
   5.34, 22.950, 33.343,   5.30
   5.44, 22.942, 33.345,   5.40
   5.54, 22.938, 33.349,   5.50
   5.65, 22.935, 33.349,   5.60
   5.75, 22.928, 33.349,   5.70
   5.85, 22.927, 33.350,   5.80
   5.95, 22.928, 33.351,   5.90
   6.05, 22.931, 33.354,   6.00
   6.15, 22.936, 33.360,   6.10
   6.25, 22.940, 33.367,   6.20
   6.35, 22.940, 33.373,   6.30
   6.45, 22.939, 33.375,   6.40
   6.55, 22.936, 33.378,   6.50
   6.65, 22.934, 33.380,   6.60
   6.75, 22.934, 33.381,   6.70
   6.86, 22.939, 33.389,   6.80
   6.96, 22.945, 33.402,   6.90
   7.06, 22.955, 33.411,   7.00
   7.16, 22.962, 33.417,   7.10
   7.26, 22.960, 33.419,   7.20
   7.36, 22.958, 33.423,   7.30
   7.46, 22.952, 33.429,   7.40
   7.56, 22.947, 33.432,   7.50
   7.66, 22.945, 33.434,   7.60
   7.76, 22.947, 33.437,   7.70
   7.86, 22.949, 33.439,   7.80
   7.96, 22.951, 33.446,   7.90
   8.06, 22.950, 33.446,   8.00
   8.17, 22.950, 33.451,   8.10
   8.27, 22.960, 33.459,   8.20
   8.37, 22.966, 33.472,   8.30
   8.47, 22.967, 33.478,   8.40
   8.57, 22.953, 33.465,   8.50
   8.67, 22.942, 33.459,   8.60
   8.77, 22.939, 33.455,   8.70
   8.87, 22.934, 33.440,   8.80
END_DATA
