CTD,20251127AORIOS
#Reference: 16October2012Sta.2p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121016_0849_0
CASTNO = 1
DATE = 20121015
TIME = 2349
LATITUDE = 39.3421
LONGITUDE = 141.9478
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 19.574, 33.319,   0.00
   0.10, 19.598, 33.312,   0.10
   0.20, 19.596, 33.319,   0.20
   0.30, 19.594, 33.324,   0.30
   0.40, 19.601, 33.325,   0.40
   0.50, 19.611, 33.331,   0.50
   0.60, 19.594, 33.325,   0.60
   0.71, 19.594, 33.328,   0.70
   0.81, 19.598, 33.329,   0.80
   0.91, 19.599, 33.327,   0.90
   1.01, 19.599, 33.330,   1.00
   1.11, 19.600, 33.330,   1.10
   1.21, 19.606, 33.333,   1.20
   1.31, 19.611, 33.331,   1.30
   1.41, 19.620, 33.333,   1.40
   1.51, 19.623, 33.334,   1.50
   1.61, 19.633, 33.339,   1.60
   1.71, 19.633, 33.344,   1.70
   1.81, 19.638, 33.353,   1.80
   1.92, 19.642, 33.350,   1.90
   2.02, 19.641, 33.352,   2.00
   2.12, 19.641, 33.354,   2.10
   2.22, 19.641, 33.352,   2.20
   2.32, 19.639, 33.350,   2.30
   2.42, 19.639, 33.352,   2.40
   2.52, 19.638, 33.348,   2.50
   2.62, 19.641, 33.351,   2.60
   2.72, 19.650, 33.357,   2.70
   2.82, 19.650, 33.360,   2.80
   2.92, 19.642, 33.362,   2.90
   3.02, 19.649, 33.360,   3.00
   3.13, 19.651, 33.361,   3.10
   3.23, 19.652, 33.360,   3.20
   3.33, 19.651, 33.360,   3.30
   3.43, 19.650, 33.359,   3.40
   3.53, 19.647, 33.360,   3.50
   3.63, 19.650, 33.360,   3.60
   3.73, 19.653, 33.363,   3.70
   3.83, 19.659, 33.366,   3.80
   3.93, 19.661, 33.369,   3.90
   4.03, 19.667, 33.374,   4.00
   4.13, 19.668, 33.377,   4.10
   4.23, 19.671, 33.381,   4.20
   4.33, 19.678, 33.383,   4.30
   4.44, 19.681, 33.383,   4.40
   4.54, 19.681, 33.384,   4.50
   4.64, 19.682, 33.384,   4.60
   4.74, 19.683, 33.386,   4.70
   4.84, 19.688, 33.389,   4.80
   4.94, 19.704, 33.393,   4.90
   5.04, 19.712, 33.401,   5.00
   5.14, 19.717, 33.403,   5.10
   5.24, 19.727, 33.406,   5.20
   5.34, 19.732, 33.410,   5.30
   5.44, 19.754, 33.419,   5.40
   5.54, 19.785, 33.441,   5.50
   5.65, 19.810, 33.458,   5.60
   5.75, 19.819, 33.468,   5.70
   5.85, 19.827, 33.474,   5.80
   5.95, 19.840, 33.478,   5.90
   6.05, 19.856, 33.492,   6.00
   6.15, 19.885, 33.506,   6.10
   6.25, 19.928, 33.536,   6.20
   6.35, 19.964, 33.555,   6.30
   6.45, 19.985, 33.570,   6.40
   6.55, 20.020, 33.592,   6.50
   6.65, 20.056, 33.611,   6.60
   6.75, 20.066, 33.624,   6.70
   6.86, 20.079, 33.633,   6.80
   6.96, 20.085, 33.636,   6.90
   7.06, 20.085, 33.639,   7.00
   7.16, 20.085, 33.641,   7.10
   7.26, 20.085, 33.644,   7.20
   7.36, 20.085, 33.647,   7.30
   7.46, 20.087, 33.651,   7.40
   7.56, 20.089, 33.653,   7.50
   7.66, 20.091, 33.658,   7.60
   7.76, 20.094, 33.662,   7.70
   7.86, 20.096, 33.662,   7.80
   7.96, 20.095, 33.664,   7.90
   8.06, 20.097, 33.663,   8.00
   8.17, 20.097, 33.664,   8.10
   8.27, 20.096, 33.666,   8.20
   8.37, 20.096, 33.666,   8.30
   8.47, 20.096, 33.667,   8.40
   8.57, 20.097, 33.668,   8.50
   8.67, 20.099, 33.667,   8.60
   8.77, 20.098, 33.667,   8.70
   8.87, 20.099, 33.668,   8.80
   8.97, 20.098, 33.669,   8.90
   9.07, 20.096, 33.669,   9.00
   9.17, 20.089, 33.669,   9.10
   9.27, 20.079, 33.666,   9.20
   9.38, 20.056, 33.665,   9.30
   9.48, 20.045, 33.663,   9.40
   9.58, 20.040, 33.664,   9.50
   9.68, 20.036, 33.661,   9.60
   9.78, 20.033, 33.659,   9.70
   9.88, 20.032, 33.658,   9.80
   9.98, 20.030, 33.658,   9.90
  10.08, 20.029, 33.657,  10.00
  10.18, 20.029, 33.656,  10.10
  10.28, 20.029, 33.656,  10.20
  10.38, 20.028, 33.655,  10.30
  10.48, 20.027, 33.656,  10.40
  10.59, 20.026, 33.657,  10.50
  10.69, 20.027, 33.656,  10.60
  10.79, 20.026, 33.656,  10.70
  10.89, 20.023, 33.656,  10.80
  10.99, 20.023, 33.654,  10.90
  11.09, 20.026, 33.657,  11.00
  11.19, 20.029, 33.660,  11.10
  11.29, 20.029, 33.661,  11.20
  11.39, 20.031, 33.661,  11.30
  11.49, 20.032, 33.662,  11.40
  11.59, 20.033, 33.663,  11.50
  11.69, 20.032, 33.663,  11.60
  11.80, 20.032, 33.665,  11.70
