CTD,20251127AORIOS
#Reference: 16October2012Sta.18.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121016_1227_0
CASTNO = 1
DATE = 20121016
TIME = 0327
LATITUDE = 39.3375
LONGITUDE = 141.9013
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 18.712, 25.463,   0.00
   0.10, 19.389, 28.274,   0.10
   0.20, 19.613, 30.604,   0.20
   0.30, 19.844, 32.194,   0.30
   0.40, 19.930, 32.668,   0.40
   0.50, 20.049, 33.041,   0.50
   0.60, 20.164, 33.271,   0.60
   0.71, 20.198, 33.331,   0.70
   0.81, 20.259, 33.386,   0.80
   0.91, 20.300, 33.448,   0.90
   1.01, 20.384, 33.522,   1.00
   1.11, 20.431, 33.564,   1.10
   1.21, 20.419, 33.581,   1.20
   1.31, 20.389, 33.594,   1.30
   1.41, 20.378, 33.612,   1.40
   1.51, 20.366, 33.630,   1.50
   1.61, 20.334, 33.645,   1.60
   1.71, 20.321, 33.647,   1.70
   1.81, 20.297, 33.657,   1.80
   1.92, 20.273, 33.662,   1.90
   2.02, 20.246, 33.656,   2.00
   2.12, 20.216, 33.653,   2.10
   2.22, 20.208, 33.651,   2.20
   2.32, 20.203, 33.651,   2.30
   2.42, 20.193, 33.650,   2.40
   2.52, 20.191, 33.647,   2.50
   2.62, 20.183, 33.645,   2.60
   2.72, 20.176, 33.645,   2.70
   2.82, 20.169, 33.645,   2.80
   2.92, 20.164, 33.645,   2.90
   3.02, 20.158, 33.640,   3.00
   3.13, 20.153, 33.638,   3.10
   3.23, 20.151, 33.638,   3.20
   3.33, 20.153, 33.638,   3.30
   3.43, 20.158, 33.639,   3.40
   3.53, 20.155, 33.640,   3.50
   3.63, 20.152, 33.639,   3.60
   3.73, 20.150, 33.638,   3.70
   3.83, 20.150, 33.637,   3.80
   3.93, 20.148, 33.638,   3.90
   4.03, 20.147, 33.639,   4.00
   4.13, 20.147, 33.639,   4.10
   4.23, 20.150, 33.638,   4.20
   4.33, 20.147, 33.638,   4.30
   4.44, 20.154, 33.636,   4.40
   4.54, 20.157, 33.636,   4.50
   4.64, 20.161, 33.637,   4.60
   4.74, 20.162, 33.640,   4.70
   4.84, 20.164, 33.638,   4.80
END_DATA
