CTD,20251127AORIOS
#Reference: 28November2012Sta.Ex1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121128_0803_0
CASTNO = 1
DATE = 20121127
TIME = 2303
LATITUDE = 39.3631
LONGITUDE = 141.9900
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 15.315, 33.590,   0.00
   0.10, 15.327, 33.602,   0.10
   0.20, 15.319, 33.626,   0.20
   0.30, 15.323, 33.634,   0.30
   0.40, 15.315, 33.659,   0.40
   0.50, 15.312, 33.662,   0.50
   0.60, 15.317, 33.661,   0.60
   0.71, 15.320, 33.664,   0.70
   0.81, 15.326, 33.667,   0.80
   0.91, 15.332, 33.665,   0.90
   1.01, 15.335, 33.664,   1.00
   1.11, 15.335, 33.663,   1.10
   1.21, 15.336, 33.657,   1.20
   1.31, 15.338, 33.657,   1.30
   1.41, 15.337, 33.657,   1.40
   1.51, 15.335, 33.653,   1.50
   1.61, 15.337, 33.657,   1.60
   1.71, 15.335, 33.658,   1.70
   1.81, 15.332, 33.663,   1.80
   1.92, 15.329, 33.667,   1.90
   2.02, 15.330, 33.663,   2.00
   2.12, 15.330, 33.665,   2.10
   2.22, 15.329, 33.666,   2.20
   2.32, 15.329, 33.667,   2.30
   2.42, 15.328, 33.672,   2.40
   2.52, 15.326, 33.672,   2.50
   2.62, 15.328, 33.652,   2.60
   2.72, 15.335, 33.661,   2.70
   2.82, 15.336, 33.668,   2.80
   2.92, 15.339, 33.665,   2.90
   3.02, 15.342, 33.667,   3.00
   3.13, 15.343, 33.668,   3.10
   3.23, 15.344, 33.669,   3.20
   3.33, 15.343, 33.671,   3.30
   3.43, 15.341, 33.675,   3.40
   3.53, 15.340, 33.672,   3.50
   3.63, 15.341, 33.665,   3.60
   3.73, 15.342, 33.667,   3.70
   3.83, 15.343, 33.670,   3.80
   3.93, 15.341, 33.667,   3.90
   4.03, 15.338, 33.668,   4.00
   4.13, 15.337, 33.670,   4.10
   4.23, 15.335, 33.671,   4.20
   4.33, 15.338, 33.674,   4.30
   4.44, 15.341, 33.673,   4.40
   4.54, 15.340, 33.675,   4.50
   4.64, 15.338, 33.676,   4.60
   4.74, 15.338, 33.675,   4.70
   4.84, 15.337, 33.674,   4.80
   4.94, 15.338, 33.671,   4.90
   5.04, 15.338, 33.670,   5.00
   5.14, 15.337, 33.669,   5.10
   5.24, 15.335, 33.673,   5.20
   5.34, 15.336, 33.671,   5.30
   5.44, 15.338, 33.670,   5.40
   5.54, 15.341, 33.672,   5.50
   5.65, 15.341, 33.674,   5.60
   5.75, 15.343, 33.677,   5.70
   5.85, 15.343, 33.678,   5.80
   5.95, 15.342, 33.678,   5.90
   6.05, 15.344, 33.674,   6.00
   6.15, 15.343, 33.677,   6.10
   6.25, 15.344, 33.676,   6.20
   6.35, 15.344, 33.676,   6.30
   6.45, 15.344, 33.676,   6.40
   6.55, 15.343, 33.679,   6.50
   6.65, 15.343, 33.677,   6.60
   6.75, 15.343, 33.679,   6.70
   6.86, 15.343, 33.677,   6.80
   6.96, 15.342, 33.681,   6.90
   7.06, 15.342, 33.680,   7.00
   7.16, 15.343, 33.678,   7.10
   7.26, 15.341, 33.674,   7.20
   7.36, 15.341, 33.673,   7.30
   7.46, 15.342, 33.676,   7.40
   7.56, 15.342, 33.677,   7.50
   7.66, 15.342, 33.680,   7.60
   7.76, 15.342, 33.679,   7.70
   7.86, 15.342, 33.677,   7.80
   7.96, 15.342, 33.677,   7.90
   8.06, 15.341, 33.677,   8.00
   8.17, 15.341, 33.675,   8.10
   8.27, 15.341, 33.680,   8.20
   8.37, 15.341, 33.680,   8.30
   8.47, 15.341, 33.679,   8.40
   8.57, 15.342, 33.676,   8.50
   8.67, 15.342, 33.679,   8.60
   8.77, 15.342, 33.680,   8.70
   8.87, 15.343, 33.681,   8.80
   8.97, 15.343, 33.682,   8.90
   9.07, 15.343, 33.684,   9.00
   9.17, 15.343, 33.684,   9.10
   9.27, 15.343, 33.683,   9.20
   9.38, 15.342, 33.672,   9.30
   9.48, 15.342, 33.676,   9.40
   9.58, 15.342, 33.677,   9.50
   9.68, 15.342, 33.678,   9.60
   9.78, 15.342, 33.680,   9.70
   9.88, 15.342, 33.683,   9.80
   9.98, 15.342, 33.683,   9.90
  10.08, 15.342, 33.685,  10.00
  10.18, 15.341, 33.684,  10.10
  10.28, 15.341, 33.685,  10.20
  10.38, 15.342, 33.684,  10.30
  10.48, 15.343, 33.685,  10.40
  10.59, 15.342, 33.684,  10.50
  10.69, 15.340, 33.681,  10.60
  10.79, 15.335, 33.680,  10.70
  10.89, 15.335, 33.679,  10.80
  10.99, 15.336, 33.681,  10.90
  11.09, 15.329, 33.685,  11.00
  11.19, 15.323, 33.686,  11.10
  11.29, 15.323, 33.684,  11.20
  11.39, 15.323, 33.685,  11.30
  11.49, 15.321, 33.687,  11.40
  11.59, 15.315, 33.692,  11.50
  11.69, 15.324, 33.678,  11.60
  11.80, 15.323, 33.680,  11.70
  11.90, 15.321, 33.685,  11.80
  12.00, 15.321, 33.687,  11.90
  12.10, 15.323, 33.685,  12.00
  12.20, 15.321, 33.683,  12.10
  12.30, 15.319, 33.682,  12.20
  12.40, 15.314, 33.684,  12.30
  12.50, 15.306, 33.688,  12.40
  12.60, 15.304, 33.687,  12.50
  12.70, 15.306, 33.686,  12.60
  12.80, 15.303, 33.690,  12.70
  12.90, 15.305, 33.690,  12.80
  13.00, 15.306, 33.687,  12.90
  13.11, 15.306, 33.688,  13.00
  13.21, 15.303, 33.689,  13.10
  13.31, 15.305, 33.688,  13.20
  13.41, 15.290, 33.692,  13.30
  13.51, 15.276, 33.691,  13.40
  13.61, 15.267, 33.692,  13.50
  13.71, 15.265, 33.691,  13.60
  13.81, 15.265, 33.691,  13.70
  13.91, 15.262, 33.695,  13.80
  14.01, 15.262, 33.697,  13.90
  14.11, 15.261, 33.696,  14.00
  14.21, 15.263, 33.695,  14.10
  14.32, 15.262, 33.698,  14.20
  14.42, 15.262, 33.698,  14.30
  14.52, 15.262, 33.697,  14.40
  14.62, 15.261, 33.694,  14.50
  14.72, 15.259, 33.695,  14.60
  14.82, 15.256, 33.697,  14.70
  14.92, 15.257, 33.695,  14.80
  15.02, 15.256, 33.698,  14.90
  15.12, 15.256, 33.698,  15.00
  15.22, 15.256, 33.691,  15.10
  15.32, 15.255, 33.697,  15.20
  15.42, 15.254, 33.700,  15.30
  15.53, 15.256, 33.698,  15.40
  15.63, 15.254, 33.700,  15.50
  15.73, 15.255, 33.701,  15.60
  15.83, 15.256, 33.699,  15.70
  15.93, 15.255, 33.700,  15.80
  16.03, 15.254, 33.700,  15.90
  16.13, 15.254, 33.700,  16.00
  16.23, 15.254, 33.700,  16.10
  16.33, 15.254, 33.700,  16.20
  16.43, 15.254, 33.699,  16.30
  16.53, 15.254, 33.700,  16.40
  16.63, 15.254, 33.701,  16.50
