CTD,20251127AORIOS
#Reference: 28November2012Sta.2p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121128_1358_0
CASTNO = 1
DATE = 20121128
TIME = 0458
LATITUDE = 39.3421
LONGITUDE = 141.9478
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 13.585, 32.389,   0.00
   0.10, 13.667, 32.430,   0.10
   0.20, 13.714, 32.439,   0.20
   0.30, 13.775, 32.470,   0.30
   0.40, 13.817, 32.553,   0.40
   0.50, 13.894, 32.646,   0.50
   0.60, 14.059, 32.631,   0.60
   0.71, 14.154, 32.821,   0.70
   0.81, 14.242, 32.943,   0.80
   0.91, 14.266, 33.032,   0.90
   1.01, 14.280, 33.053,   1.00
   1.11, 14.297, 33.074,   1.10
   1.21, 14.342, 33.148,   1.20
   1.31, 14.404, 33.183,   1.30
   1.41, 14.452, 33.230,   1.40
   1.51, 14.464, 33.251,   1.50
   1.61, 14.511, 33.280,   1.60
   1.71, 14.554, 33.307,   1.70
   1.81, 14.592, 33.331,   1.80
   1.92, 14.659, 33.369,   1.90
   2.02, 14.738, 33.409,   2.00
   2.12, 14.773, 33.433,   2.10
   2.22, 14.783, 33.444,   2.20
   2.32, 14.785, 33.453,   2.30
   2.42, 14.785, 33.455,   2.40
   2.52, 14.788, 33.453,   2.50
   2.62, 14.800, 33.462,   2.60
   2.72, 14.804, 33.469,   2.70
   2.82, 14.807, 33.469,   2.80
   2.92, 14.810, 33.473,   2.90
   3.02, 14.821, 33.474,   3.00
   3.13, 14.823, 33.477,   3.10
   3.23, 14.819, 33.478,   3.20
   3.33, 14.820, 33.482,   3.30
   3.43, 14.833, 33.483,   3.40
   3.53, 14.846, 33.486,   3.50
   3.63, 14.848, 33.492,   3.60
   3.73, 14.848, 33.493,   3.70
   3.83, 14.847, 33.489,   3.80
   3.93, 14.845, 33.494,   3.90
   4.03, 14.844, 33.493,   4.00
   4.13, 14.840, 33.494,   4.10
   4.23, 14.830, 33.494,   4.20
   4.33, 14.828, 33.495,   4.30
   4.44, 14.826, 33.496,   4.40
