CTD,20251127AORIOS
#Reference: 29November2012Sta.H2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121129_0758_0
CASTNO = 1
DATE = 20121128
TIME = 2258
LATITUDE = 39.3283
LONGITUDE = 141.9183
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 13.202, 30.805,   0.00
   0.10, 13.146, 30.874,   0.10
   0.20, 13.313, 31.018,   0.20
   0.30, 13.396, 31.186,   0.30
   0.40, 13.417, 31.102,   0.40
   0.50, 13.505, 31.342,   0.50
   0.60, 13.699, 31.834,   0.60
   0.71, 13.789, 31.972,   0.70
   0.81, 13.870, 32.154,   0.80
   0.91, 13.927, 32.264,   0.90
   1.01, 13.956, 32.356,   1.00
   1.11, 13.957, 32.392,   1.10
   1.21, 13.959, 32.398,   1.20
   1.31, 13.960, 32.406,   1.30
   1.41, 13.969, 32.412,   1.40
   1.51, 13.981, 32.413,   1.50
   1.61, 14.000, 32.455,   1.60
   1.71, 14.006, 32.482,   1.70
   1.81, 14.038, 32.543,   1.80
   1.92, 14.065, 32.584,   1.90
   2.02, 14.097, 32.654,   2.00
   2.12, 14.107, 32.675,   2.10
   2.22, 14.121, 32.698,   2.20
   2.32, 14.143, 32.726,   2.30
   2.42, 14.139, 32.748,   2.40
   2.52, 14.148, 32.756,   2.50
   2.62, 14.161, 32.783,   2.60
   2.72, 14.187, 32.813,   2.70
   2.82, 14.203, 32.833,   2.80
   2.92, 14.275, 32.874,   2.90
   3.02, 14.505, 33.117,   3.00
   3.13, 14.690, 33.338,   3.10
   3.23, 14.747, 33.434,   3.20
   3.33, 14.768, 33.486,   3.30
   3.43, 14.769, 33.506,   3.40
   3.53, 14.799, 33.519,   3.50
   3.63, 14.812, 33.527,   3.60
END_DATA
