CTD,20251127AORIOS
#Reference: 30November2012Sta.A3.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20121130_0828_0
CASTNO = 1
DATE = 20121129
TIME = 2328
LATITUDE = 39.3537
LONGITUDE = 141.9124
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.891, 31.516,   0.00
   0.10, 13.996, 27.622,   0.10
   0.20, 14.500, 30.035,   0.20
   0.30, 14.656, 31.374,   0.30
   0.40, 14.785, 31.962,   0.40
   0.50, 15.006, 32.566,   0.50
   0.60, 15.166, 33.344,   0.60
   0.71, 15.193, 33.530,   0.70
   0.81, 15.198, 33.604,   0.80
   0.91, 15.198, 33.633,   0.90
   1.01, 15.196, 33.647,   1.00
   1.11, 15.195, 33.655,   1.10
   1.21, 15.192, 33.657,   1.20
   1.31, 15.189, 33.663,   1.30
   1.41, 15.187, 33.667,   1.40
   1.51, 15.186, 33.668,   1.50
   1.61, 15.186, 33.669,   1.60
   1.71, 15.185, 33.671,   1.70
   1.81, 15.186, 33.664,   1.80
   1.92, 15.184, 33.654,   1.90
   2.02, 15.187, 33.666,   2.00
   2.12, 15.187, 33.664,   2.10
   2.22, 15.187, 33.671,   2.20
   2.32, 15.189, 33.673,   2.30
   2.42, 15.190, 33.665,   2.40
   2.52, 15.190, 33.656,   2.50
   2.62, 15.189, 33.668,   2.60
   2.72, 15.191, 33.670,   2.70
   2.82, 15.190, 33.672,   2.80
   2.92, 15.190, 33.668,   2.90
   3.02, 15.189, 33.673,   3.00
   3.13, 15.188, 33.675,   3.10
   3.23, 15.186, 33.672,   3.20
   3.33, 15.186, 33.668,   3.30
   3.43, 15.186, 33.675,   3.40
   3.53, 15.190, 33.677,   3.50
   3.63, 15.201, 33.669,   3.60
   3.73, 15.201, 33.681,   3.70
   3.83, 15.201, 33.675,   3.80
   3.93, 15.200, 33.674,   3.90
   4.03, 15.201, 33.682,   4.00
   4.13, 15.203, 33.686,   4.10
   4.23, 15.204, 33.687,   4.20
   4.33, 15.203, 33.688,   4.30
   4.44, 15.205, 33.686,   4.40
   4.54, 15.206, 33.682,   4.50
   4.64, 15.205, 33.677,   4.60
   4.74, 15.206, 33.687,   4.70
   4.84, 15.206, 33.682,   4.80
   4.94, 15.204, 33.675,   4.90
   5.04, 15.204, 33.687,   5.00
   5.14, 15.204, 33.685,   5.10
   5.24, 15.207, 33.687,   5.20
   5.34, 15.210, 33.667,   5.30
END_DATA
