CTD,20251127AORIOS
#Reference: 29January2013Sta.H2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130129_1332_0
CASTNO = 1
DATE = 20130129
TIME = 0432
LATITUDE = 39.3283
LONGITUDE = 141.9183
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  8.186, 33.122,   0.00
   0.10,  8.198, 33.143,   0.10
   0.20,  8.197, 33.143,   0.20
   0.30,  8.191, 33.147,   0.30
   0.40,  8.197, 33.152,   0.40
   0.50,  8.199, 33.152,   0.50
   0.60,  8.211, 33.153,   0.60
   0.71,  8.212, 33.156,   0.70
   0.81,  8.213, 33.159,   0.80
   0.91,  8.212, 33.155,   0.90
   1.01,  8.216, 33.162,   1.00
   1.11,  8.219, 33.163,   1.10
   1.21,  8.224, 33.160,   1.20
   1.31,  8.220, 33.159,   1.30
   1.41,  8.220, 33.161,   1.40
   1.51,  8.223, 33.162,   1.50
   1.61,  8.222, 33.161,   1.60
   1.71,  8.220, 33.161,   1.70
   1.81,  8.227, 33.159,   1.80
   1.92,  8.229, 33.158,   1.90
   2.02,  8.233, 33.167,   2.00
   2.12,  8.235, 33.166,   2.10
   2.22,  8.234, 33.167,   2.20
   2.32,  8.233, 33.167,   2.30
   2.42,  8.235, 33.166,   2.40
   2.52,  8.233, 33.169,   2.50
   2.62,  8.242, 33.166,   2.60
   2.72,  8.236, 33.168,   2.70
   2.82,  8.236, 33.168,   2.80
   2.92,  8.239, 33.166,   2.90
   3.02,  8.240, 33.167,   3.00
   3.13,  8.243, 33.167,   3.10
   3.23,  8.239, 33.168,   3.20
   3.33,  8.247, 33.166,   3.30
   3.43,  8.235, 33.166,   3.40
   3.53,  8.246, 33.170,   3.50
   3.63,  8.247, 33.172,   3.60
   3.73,  8.266, 33.170,   3.70
   3.83,  8.262, 33.116,   3.80
END_DATA
