CTD,20251127AORIOS
#Reference: 29January2013Sta.N4.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130129_1423_0
CASTNO = 1
DATE = 20130129
TIME = 0523
LATITUDE = 39.3294
LONGITUDE = 141.9062
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  8.927, 33.687,   0.00
   0.10,  8.937, 33.702,   0.10
   0.20,  8.934, 33.734,   0.20
   0.30,  8.935, 33.738,   0.30
   0.40,  8.936, 33.740,   0.40
   0.50,  8.938, 33.740,   0.50
   0.60,  8.936, 33.739,   0.60
   0.71,  8.930, 33.741,   0.70
   0.81,  8.930, 33.745,   0.80
   0.91,  8.932, 33.743,   0.90
   1.01,  8.933, 33.740,   1.00
   1.11,  8.934, 33.740,   1.10
   1.21,  8.934, 33.740,   1.20
   1.31,  8.936, 33.745,   1.30
   1.41,  8.938, 33.747,   1.40
   1.51,  8.940, 33.746,   1.50
   1.61,  8.939, 33.744,   1.60
   1.71,  8.941, 33.742,   1.70
   1.81,  8.941, 33.740,   1.80
   1.92,  8.942, 33.739,   1.90
   2.02,  8.939, 33.736,   2.00
   2.12,  8.938, 33.736,   2.10
   2.22,  8.938, 33.737,   2.20
   2.32,  8.937, 33.740,   2.30
   2.42,  8.935, 33.743,   2.40
   2.52,  8.936, 33.744,   2.50
   2.62,  8.937, 33.744,   2.60
   2.72,  8.936, 33.745,   2.70
   2.82,  8.937, 33.745,   2.80
   2.92,  8.936, 33.744,   2.90
   3.02,  8.935, 33.746,   3.00
   3.13,  8.936, 33.747,   3.10
   3.23,  8.936, 33.747,   3.20
   3.33,  8.937, 33.747,   3.30
   3.43,  8.937, 33.745,   3.40
   3.53,  8.941, 33.747,   3.50
   3.63,  8.944, 33.749,   3.60
   3.73,  8.944, 33.751,   3.70
   3.83,  8.942, 33.748,   3.80
   3.93,  8.941, 33.752,   3.90
   4.03,  8.941, 33.757,   4.00
   4.13,  8.942, 33.755,   4.10
   4.23,  8.943, 33.755,   4.20
   4.33,  8.942, 33.755,   4.30
   4.44,  8.943, 33.754,   4.40
   4.54,  8.942, 33.756,   4.50
   4.64,  8.939, 33.754,   4.60
   4.74,  8.939, 33.752,   4.70
   4.84,  8.939, 33.752,   4.80
   4.94,  8.939, 33.752,   4.90
   5.04,  8.939, 33.750,   5.00
   5.14,  8.938, 33.751,   5.10
   5.24,  8.941, 33.752,   5.20
   5.34,  8.944, 33.752,   5.30
   5.44,  8.943, 33.753,   5.40
   5.54,  8.943, 33.753,   5.50
   5.65,  8.943, 33.752,   5.60
   5.75,  8.960, 33.768,   5.70
   5.85,  8.983, 33.791,   5.80
   5.95,  8.994, 33.790,   5.90
   6.05,  8.991, 33.790,   6.00
   6.15,  8.992, 33.789,   6.10
   6.25,  8.994, 33.792,   6.20
   6.35,  8.997, 33.794,   6.30
   6.45,  8.995, 33.799,   6.40
   6.55,  8.996, 33.797,   6.50
   6.65,  8.995, 33.797,   6.60
   6.75,  8.995, 33.798,   6.70
   6.86,  8.997, 33.798,   6.80
   6.96,  8.997, 33.802,   6.90
   7.06,  9.004, 33.804,   7.00
   7.16,  9.006, 33.812,   7.10
   7.26,  9.010, 33.819,   7.20
   7.36,  9.022, 33.822,   7.30
   7.46,  9.030, 33.828,   7.40
   7.56,  9.036, 33.830,   7.50
   7.66,  9.039, 33.833,   7.60
   7.76,  9.040, 33.836,   7.70
   7.86,  9.045, 33.839,   7.80
   7.96,  9.051, 33.845,   7.90
   8.06,  9.056, 33.848,   8.00
   8.17,  9.071, 33.856,   8.10
   8.27,  9.078, 33.860,   8.20
   8.37,  9.082, 33.862,   8.30
   8.47,  9.082, 33.865,   8.40
   8.57,  9.082, 33.866,   8.50
   8.67,  9.084, 33.865,   8.60
   8.77,  9.085, 33.866,   8.70
   8.87,  9.085, 33.867,   8.80
   8.97,  9.090, 33.867,   8.90
   9.07,  9.092, 33.868,   9.00
   9.17,  9.092, 33.868,   9.10
   9.27,  9.092, 33.869,   9.20
   9.38,  9.092, 33.868,   9.30
   9.48,  9.094, 33.869,   9.40
   9.58,  9.096, 33.860,   9.50
   9.68,  9.092, 33.844,   9.60
END_DATA
