CTD,20251127AORIOS
#Reference: 30January2013Sta.16(2).csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130130_0902_0
CASTNO = 1
DATE = 20130130
TIME = 0002
LATITUDE = 39.3333
LONGITUDE = 141.9017
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  9.006, 33.696,   0.00
   0.10,  9.009, 33.703,   0.10
   0.20,  9.008, 33.713,   0.20
   0.30,  9.009, 33.716,   0.30
   0.40,  9.008, 33.719,   0.40
   0.50,  9.009, 33.721,   0.50
   0.60,  9.009, 33.721,   0.60
   0.71,  9.008, 33.723,   0.70
   0.81,  9.008, 33.723,   0.80
   0.91,  9.008, 33.724,   0.90
   1.01,  9.008, 33.725,   1.00
   1.11,  9.006, 33.727,   1.10
   1.21,  9.005, 33.744,   1.20
   1.31,  9.003, 33.736,   1.30
   1.41,  9.002, 33.739,   1.40
   1.51,  9.000, 33.745,   1.50
   1.61,  9.002, 33.742,   1.60
   1.71,  9.001, 33.743,   1.70
   1.81,  9.001, 33.743,   1.80
   1.92,  9.002, 33.741,   1.90
   2.02,  9.003, 33.741,   2.00
   2.12,  9.001, 33.744,   2.10
   2.22,  9.001, 33.745,   2.20
   2.32,  9.000, 33.745,   2.30
   2.42,  8.999, 33.747,   2.40
   2.52,  8.999, 33.755,   2.50
   2.62,  8.996, 33.768,   2.60
   2.72,  8.993, 33.782,   2.70
   2.82,  8.989, 33.796,   2.80
   2.92,  8.988, 33.802,   2.90
   3.02,  8.986, 33.806,   3.00
   3.13,  8.984, 33.814,   3.10
   3.23,  8.978, 33.822,   3.20
   3.33,  8.972, 33.828,   3.30
   3.43,  8.967, 33.841,   3.40
   3.53,  8.965, 33.837,   3.50
   3.63,  8.964, 33.838,   3.60
   3.73,  8.965, 33.839,   3.70
   3.83,  8.965, 33.839,   3.80
   3.93,  8.965, 33.840,   3.90
   4.03,  8.965, 33.841,   4.00
   4.13,  8.966, 33.840,   4.10
   4.23,  8.967, 33.839,   4.20
   4.33,  8.965, 33.841,   4.30
   4.44,  8.965, 33.840,   4.40
   4.54,  8.965, 33.840,   4.50
   4.64,  8.967, 33.838,   4.60
   4.74,  8.970, 33.841,   4.70
   4.84,  8.970, 33.842,   4.80
   4.94,  8.972, 33.844,   4.90
   5.04,  8.973, 33.845,   5.00
   5.14,  8.972, 33.844,   5.10
   5.24,  8.973, 33.844,   5.20
   5.34,  8.973, 33.846,   5.30
   5.44,  8.972, 33.845,   5.40
   5.54,  8.972, 33.845,   5.50
   5.65,  8.972, 33.846,   5.60
   5.75,  8.971, 33.846,   5.70
   5.85,  8.969, 33.847,   5.80
   5.95,  8.967, 33.847,   5.90
   6.05,  8.967, 33.846,   6.00
   6.15,  8.967, 33.846,   6.10
   6.25,  8.967, 33.846,   6.20
   6.35,  8.967, 33.846,   6.30
   6.45,  8.967, 33.846,   6.40
   6.55,  8.966, 33.847,   6.50
   6.65,  8.966, 33.847,   6.60
   6.75,  8.967, 33.845,   6.70
   6.86,  8.967, 33.845,   6.80
   6.96,  8.967, 33.845,   6.90
   7.06,  8.966, 33.846,   7.00
   7.16,  8.967, 33.844,   7.10
   7.26,  8.966, 33.847,   7.20
   7.36,  8.967, 33.846,   7.30
   7.46,  8.967, 33.846,   7.40
   7.56,  8.967, 33.847,   7.50
   7.66,  8.967, 33.845,   7.60
   7.76,  8.967, 33.845,   7.70
   7.86,  8.970, 33.844,   7.80
   7.96,  8.970, 33.844,   7.90
   8.06,  8.970, 33.846,   8.00
   8.17,  8.971, 33.843,   8.10
   8.27,  8.974, 33.840,   8.20
   8.37,  8.975, 33.820,   8.30
END_DATA
