CTD,20251127AORIOS
#Reference: 30January2013Sta.5.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130130_1054_0
CASTNO = 1
DATE = 20130130
TIME = 0154
LATITUDE = 39.3388
LONGITUDE = 141.9340
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  8.677, 33.620,   0.00
   0.10,  8.681, 33.617,   0.10
   0.20,  8.677, 33.629,   0.20
   0.30,  8.679, 33.630,   0.30
   0.40,  8.680, 33.631,   0.40
   0.50,  8.680, 33.634,   0.50
   0.60,  8.679, 33.634,   0.60
   0.71,  8.679, 33.635,   0.70
   0.81,  8.680, 33.633,   0.80
   0.91,  8.680, 33.632,   0.90
   1.01,  8.679, 33.631,   1.00
   1.11,  8.678, 33.634,   1.10
   1.21,  8.678, 33.636,   1.20
   1.31,  8.679, 33.641,   1.30
   1.41,  8.679, 33.644,   1.40
   1.51,  8.681, 33.645,   1.50
   1.61,  8.681, 33.646,   1.60
   1.71,  8.680, 33.645,   1.70
   1.81,  8.680, 33.641,   1.80
   1.92,  8.679, 33.636,   1.90
   2.02,  8.681, 33.638,   2.00
   2.12,  8.681, 33.641,   2.10
   2.22,  8.681, 33.642,   2.20
   2.32,  8.681, 33.645,   2.30
   2.42,  8.681, 33.646,   2.40
   2.52,  8.682, 33.648,   2.50
   2.62,  8.683, 33.649,   2.60
   2.72,  8.684, 33.650,   2.70
   2.82,  8.684, 33.650,   2.80
   2.92,  8.685, 33.646,   2.90
   3.02,  8.683, 33.649,   3.00
   3.13,  8.682, 33.650,   3.10
   3.23,  8.681, 33.652,   3.20
   3.33,  8.681, 33.650,   3.30
   3.43,  8.682, 33.647,   3.40
   3.53,  8.681, 33.650,   3.50
   3.63,  8.681, 33.649,   3.60
   3.73,  8.681, 33.652,   3.70
   3.83,  8.682, 33.649,   3.80
   3.93,  8.684, 33.649,   3.90
   4.03,  8.683, 33.651,   4.00
   4.13,  8.681, 33.644,   4.10
   4.23,  8.681, 33.648,   4.20
   4.33,  8.680, 33.649,   4.30
   4.44,  8.680, 33.649,   4.40
   4.54,  8.680, 33.650,   4.50
   4.64,  8.681, 33.649,   4.60
   4.74,  8.681, 33.649,   4.70
   4.84,  8.679, 33.653,   4.80
   4.94,  8.679, 33.652,   4.90
   5.04,  8.679, 33.653,   5.00
   5.14,  8.679, 33.649,   5.10
   5.24,  8.678, 33.650,   5.20
   5.34,  8.679, 33.648,   5.30
   5.44,  8.678, 33.649,   5.40
   5.54,  8.678, 33.644,   5.50
   5.65,  8.679, 33.649,   5.60
   5.75,  8.680, 33.653,   5.70
   5.85,  8.680, 33.655,   5.80
   5.95,  8.680, 33.656,   5.90
   6.05,  8.679, 33.655,   6.00
   6.15,  8.679, 33.656,   6.10
   6.25,  8.681, 33.664,   6.20
   6.35,  8.684, 33.672,   6.30
   6.45,  8.684, 33.676,   6.40
   6.55,  8.685, 33.676,   6.50
   6.65,  8.684, 33.677,   6.60
   6.75,  8.685, 33.673,   6.70
   6.86,  8.686, 33.675,   6.80
   6.96,  8.687, 33.677,   6.90
   7.06,  8.688, 33.680,   7.00
   7.16,  8.689, 33.681,   7.10
   7.26,  8.688, 33.682,   7.20
   7.36,  8.689, 33.683,   7.30
   7.46,  8.690, 33.683,   7.40
   7.56,  8.692, 33.686,   7.50
   7.66,  8.695, 33.691,   7.60
   7.76,  8.699, 33.695,   7.70
   7.86,  8.699, 33.698,   7.80
   7.96,  8.699, 33.697,   7.90
   8.06,  8.699, 33.696,   8.00
   8.17,  8.703, 33.710,   8.10
   8.27,  8.706, 33.720,   8.20
   8.37,  8.688, 33.730,   8.30
   8.47,  8.683, 33.731,   8.40
   8.57,  8.673, 33.735,   8.50
   8.67,  8.663, 33.740,   8.60
   8.77,  8.659, 33.741,   8.70
   8.87,  8.659, 33.742,   8.80
   8.97,  8.661, 33.743,   8.90
   9.07,  8.671, 33.751,   9.00
   9.17,  8.679, 33.757,   9.10
   9.27,  8.690, 33.750,   9.20
   9.38,  8.696, 33.752,   9.30
   9.48,  8.700, 33.756,   9.40
   9.58,  8.708, 33.756,   9.50
   9.68,  8.703, 33.754,   9.60
   9.78,  8.698, 33.759,   9.70
   9.88,  8.701, 33.762,   9.80
   9.98,  8.713, 33.763,   9.90
  10.08,  8.725, 33.766,  10.00
  10.18,  8.728, 33.768,  10.10
  10.28,  8.731, 33.769,  10.20
  10.38,  8.734, 33.771,  10.30
  10.48,  8.737, 33.770,  10.40
  10.59,  8.743, 33.774,  10.50
  10.69,  8.750, 33.775,  10.60
  10.79,  8.754, 33.777,  10.70
  10.89,  8.757, 33.777,  10.80
  10.99,  8.764, 33.780,  10.90
  11.09,  8.772, 33.785,  11.00
  11.19,  8.775, 33.786,  11.10
  11.29,  8.783, 33.783,  11.20
  11.39,  8.786, 33.789,  11.30
  11.49,  8.791, 33.792,  11.40
  11.59,  8.796, 33.798,  11.50
  11.69,  8.801, 33.802,  11.60
  11.80,  8.806, 33.799,  11.70
  11.90,  8.809, 33.800,  11.80
  12.00,  8.813, 33.802,  11.90
  12.10,  8.821, 33.806,  12.00
  12.20,  8.836, 33.804,  12.10
  12.30,  8.843, 33.811,  12.20
  12.40,  8.849, 33.813,  12.30
  12.50,  8.854, 33.816,  12.40
  12.60,  8.858, 33.815,  12.50
  12.70,  8.862, 33.817,  12.60
  12.80,  8.862, 33.820,  12.70
  12.90,  8.866, 33.820,  12.80
  13.00,  8.873, 33.821,  12.90
  13.11,  8.879, 33.821,  13.00
  13.21,  8.883, 33.820,  13.10
  13.31,  8.884, 33.824,  13.20
  13.41,  8.891, 33.825,  13.30
  13.51,  8.899, 33.830,  13.40
  13.61,  8.905, 33.831,  13.50
  13.71,  8.905, 33.834,  13.60
  13.81,  8.902, 33.833,  13.70
  13.91,  8.902, 33.831,  13.80
  14.01,  8.900, 33.831,  13.90
  14.11,  8.899, 33.827,  14.00
  14.21,  8.902, 33.831,  14.10
  14.32,  8.909, 33.834,  14.20
  14.42,  8.913, 33.833,  14.30
  14.52,  8.914, 33.835,  14.40
  14.62,  8.916, 33.835,  14.50
  14.72,  8.918, 33.835,  14.60
  14.82,  8.919, 33.834,  14.70
  14.92,  8.919, 33.834,  14.80
  15.02,  8.919, 33.836,  14.90
  15.12,  8.919, 33.837,  15.00
  15.22,  8.919, 33.839,  15.10
  15.32,  8.919, 33.840,  15.20
  15.42,  8.920, 33.838,  15.30
  15.53,  8.920, 33.838,  15.40
  15.63,  8.919, 33.835,  15.50
  15.73,  8.919, 33.839,  15.60
  15.83,  8.920, 33.837,  15.70
  15.93,  8.921, 33.837,  15.80
  16.03,  8.921, 33.839,  15.90
  16.13,  8.920, 33.840,  16.00
  16.23,  8.920, 33.840,  16.10
  16.33,  8.921, 33.839,  16.20
  16.43,  8.922, 33.842,  16.30
  16.53,  8.922, 33.841,  16.40
  16.63,  8.925, 33.840,  16.50
  16.73,  8.929, 33.843,  16.60
  16.84,  8.933, 33.844,  16.70
  16.94,  8.933, 33.845,  16.80
  17.04,  8.931, 33.848,  16.90
  17.14,  8.932, 33.848,  17.00
  17.24,  8.932, 33.848,  17.10
  17.34,  8.934, 33.847,  17.20
  17.44,  8.932, 33.849,  17.30
  17.54,  8.931, 33.848,  17.40
  17.64,  8.930, 33.848,  17.50
  17.74,  8.931, 33.848,  17.60
  17.84,  8.931, 33.845,  17.70
  17.94,  8.931, 33.847,  17.80
  18.05,  8.930, 33.849,  17.90
  18.15,  8.930, 33.846,  18.00
  18.25,  8.930, 33.847,  18.10
  18.35,  8.929, 33.848,  18.20
  18.45,  8.929, 33.849,  18.30
  18.55,  8.927, 33.848,  18.40
  18.65,  8.927, 33.847,  18.50
  18.75,  8.927, 33.848,  18.60
  18.85,  8.927, 33.849,  18.70
  18.95,  8.927, 33.849,  18.80
  19.05,  8.927, 33.851,  18.90
  19.15,  8.926, 33.849,  19.00
  19.26,  8.926, 33.849,  19.10
  19.36,  8.925, 33.849,  19.20
  19.46,  8.925, 33.847,  19.30
  19.56,  8.926, 33.846,  19.40
  19.66,  8.926, 33.849,  19.50
  19.76,  8.926, 33.849,  19.60
  19.86,  8.926, 33.848,  19.70
  19.96,  8.925, 33.849,  19.80
  20.06,  8.924, 33.851,  19.90
  20.16,  8.924, 33.850,  20.00
  20.26,  8.924, 33.849,  20.10
  20.36,  8.924, 33.849,  20.20
  20.47,  8.924, 33.850,  20.30
  20.57,  8.924, 33.851,  20.40
  20.67,  8.924, 33.850,  20.50
  20.77,  8.922, 33.850,  20.60
  20.87,  8.920, 33.849,  20.70
  20.97,  8.919, 33.850,  20.80
  21.07,  8.920, 33.850,  20.90
  21.17,  8.919, 33.850,  21.00
  21.27,  8.919, 33.849,  21.10
  21.37,  8.916, 33.852,  21.20
  21.47,  8.916, 33.850,  21.30
  21.57,  8.918, 33.847,  21.40
  21.68,  8.916, 33.848,  21.50
  21.78,  8.917, 33.848,  21.60
  21.88,  8.917, 33.850,  21.70
  21.98,  8.918, 33.849,  21.80
  22.08,  8.918, 33.849,  21.90
  22.18,  8.916, 33.851,  22.00
  22.28,  8.921, 33.850,  22.10
  22.38,  8.923, 33.852,  22.20
  22.48,  8.922, 33.850,  22.30
  22.58,  8.920, 33.853,  22.40
  22.68,  8.922, 33.853,  22.50
  22.78,  8.923, 33.851,  22.60
  22.88,  8.924, 33.850,  22.70
  22.99,  8.924, 33.851,  22.80
  23.09,  8.923, 33.851,  22.90
  23.19,  8.924, 33.851,  23.00
  23.29,  8.924, 33.852,  23.10
  23.39,  8.924, 33.852,  23.20
  23.49,  8.924, 33.851,  23.30
  23.59,  8.923, 33.854,  23.40
  23.69,  8.922, 33.855,  23.50
  23.79,  8.922, 33.854,  23.60
  23.89,  8.923, 33.852,  23.70
  23.99,  8.923, 33.854,  23.80
  24.09,  8.923, 33.854,  23.90
  24.20,  8.906, 33.866,  24.00
  24.30,  8.900, 33.853,  24.10
  24.40,  8.896, 33.859,  24.20
  24.50,  8.887, 33.856,  24.30
  24.60,  8.870, 33.848,  24.40
  24.70,  8.855, 33.850,  24.50
  24.80,  8.848, 33.845,  24.60
  24.90,  8.847, 33.844,  24.70
  25.00,  8.844, 33.845,  24.80
  25.10,  8.840, 33.844,  24.90
  25.20,  8.837, 33.844,  25.00
  25.30,  8.837, 33.840,  25.10
  25.41,  8.836, 33.843,  25.20
  25.51,  8.834, 33.843,  25.30
  25.61,  8.833, 33.842,  25.40
  25.71,  8.833, 33.841,  25.50
  25.81,  8.832, 33.843,  25.60
  25.91,  8.830, 33.843,  25.70
  26.01,  8.830, 33.839,  25.80
