CTD,20251127AORIOS
#Reference: 12March2013Sta.Ex1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130312_0811_0
CASTNO = 1
DATE = 20130311
TIME = 2311
LATITUDE = 39.3631
LONGITUDE = 141.9900
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  5.699, 33.550,   0.00
   0.10,  5.699, 33.586,   0.10
   0.20,  5.701, 33.598,   0.20
   0.30,  5.700, 33.603,   0.30
   0.40,  5.699, 33.609,   0.40
   0.50,  5.698, 33.610,   0.50
   0.60,  5.699, 33.611,   0.60
   0.71,  5.693, 33.612,   0.70
   0.81,  5.694, 33.611,   0.80
   0.91,  5.696, 33.612,   0.90
   1.01,  5.694, 33.612,   1.00
   1.11,  5.698, 33.612,   1.10
   1.21,  5.699, 33.611,   1.20
   1.31,  5.700, 33.612,   1.30
   1.41,  5.701, 33.613,   1.40
   1.51,  5.701, 33.613,   1.50
   1.61,  5.702, 33.613,   1.60
   1.71,  5.702, 33.614,   1.70
   1.81,  5.702, 33.611,   1.80
   1.92,  5.701, 33.614,   1.90
   2.02,  5.702, 33.612,   2.00
   2.12,  5.701, 33.613,   2.10
   2.22,  5.700, 33.614,   2.20
   2.32,  5.700, 33.615,   2.30
   2.42,  5.700, 33.613,   2.40
   2.52,  5.700, 33.613,   2.50
   2.62,  5.699, 33.612,   2.60
   2.72,  5.699, 33.614,   2.70
   2.82,  5.700, 33.614,   2.80
   2.92,  5.699, 33.616,   2.90
   3.02,  5.699, 33.615,   3.00
   3.13,  5.700, 33.613,   3.10
   3.23,  5.701, 33.615,   3.20
   3.33,  5.702, 33.614,   3.30
   3.43,  5.702, 33.616,   3.40
   3.53,  5.701, 33.612,   3.50
   3.63,  5.701, 33.612,   3.60
   3.73,  5.700, 33.614,   3.70
   3.83,  5.699, 33.614,   3.80
   3.93,  5.698, 33.613,   3.90
