CTD,20251127AORIOS
#Reference: 13March2013Sta.1p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130313_0948_0
CASTNO = 1
DATE = 20130313
TIME = 0048
LATITUDE = 39.3448
LONGITUDE = 141.9440
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  5.844, 33.237,   0.00
   0.10,  5.888, 33.379,   0.10
   0.20,  5.901, 33.454,   0.20
   0.30,  5.913, 33.500,   0.30
   0.40,  5.909, 33.515,   0.40
   0.50,  5.908, 33.514,   0.50
   0.60,  5.907, 33.516,   0.60
   0.71,  5.905, 33.519,   0.70
   0.81,  5.905, 33.520,   0.80
   0.91,  5.908, 33.523,   0.90
   1.01,  5.910, 33.525,   1.00
   1.11,  5.910, 33.528,   1.10
   1.21,  5.909, 33.529,   1.20
   1.31,  5.907, 33.531,   1.30
   1.41,  5.907, 33.531,   1.40
   1.51,  5.905, 33.533,   1.50
   1.61,  5.903, 33.535,   1.60
   1.71,  5.903, 33.533,   1.70
   1.81,  5.900, 33.534,   1.80
   1.92,  5.896, 33.539,   1.90
   2.02,  5.895, 33.540,   2.00
   2.12,  5.893, 33.544,   2.10
   2.22,  5.893, 33.545,   2.20
   2.32,  5.889, 33.549,   2.30
   2.42,  5.888, 33.546,   2.40
   2.52,  5.888, 33.546,   2.50
   2.62,  5.879, 33.547,   2.60
   2.72,  5.875, 33.548,   2.70
   2.82,  5.878, 33.551,   2.80
   2.92,  5.880, 33.554,   2.90
   3.02,  5.882, 33.557,   3.00
   3.13,  5.884, 33.560,   3.10
   3.23,  5.885, 33.561,   3.20
   3.33,  5.887, 33.562,   3.30
   3.43,  5.888, 33.565,   3.40
   3.53,  5.888, 33.564,   3.50
   3.63,  5.886, 33.570,   3.60
   3.73,  5.879, 33.577,   3.70
   3.83,  5.872, 33.581,   3.80
   3.93,  5.872, 33.584,   3.90
   4.03,  5.876, 33.587,   4.00
   4.13,  5.875, 33.594,   4.10
   4.23,  5.867, 33.597,   4.20
   4.33,  5.860, 33.594,   4.30
   4.44,  5.854, 33.596,   4.40
   4.54,  5.847, 33.596,   4.50
   4.64,  5.841, 33.598,   4.60
   4.74,  5.838, 33.600,   4.70
   4.84,  5.836, 33.601,   4.80
   4.94,  5.836, 33.602,   4.90
   5.04,  5.837, 33.606,   5.00
   5.14,  5.839, 33.608,   5.10
   5.24,  5.840, 33.607,   5.20
   5.34,  5.840, 33.605,   5.30
   5.44,  5.839, 33.606,   5.40
   5.54,  5.840, 33.607,   5.50
   5.65,  5.844, 33.609,   5.60
   5.75,  5.848, 33.608,   5.70
   5.85,  5.849, 33.609,   5.80
   5.95,  5.849, 33.610,   5.90
   6.05,  5.845, 33.611,   6.00
   6.15,  5.818, 33.618,   6.10
   6.25,  5.785, 33.619,   6.20
   6.35,  5.758, 33.621,   6.30
   6.45,  5.741, 33.618,   6.40
   6.55,  5.736, 33.619,   6.50
   6.65,  5.736, 33.615,   6.60
   6.75,  5.733, 33.616,   6.70
   6.86,  5.733, 33.614,   6.80
   6.96,  5.733, 33.615,   6.90
   7.06,  5.733, 33.613,   7.00
   7.16,  5.731, 33.615,   7.10
   7.26,  5.731, 33.615,   7.20
   7.36,  5.730, 33.614,   7.30
   7.46,  5.728, 33.616,   7.40
   7.56,  5.727, 33.614,   7.50
   7.66,  5.725, 33.615,   7.60
   7.76,  5.725, 33.615,   7.70
   7.86,  5.724, 33.615,   7.80
   7.96,  5.725, 33.614,   7.90
   8.06,  5.724, 33.615,   8.00
   8.17,  5.724, 33.616,   8.10
   8.27,  5.724, 33.615,   8.20
   8.37,  5.724, 33.615,   8.30
   8.47,  5.724, 33.615,   8.40
   8.57,  5.724, 33.615,   8.50
   8.67,  5.723, 33.616,   8.60
   8.77,  5.723, 33.617,   8.70
   8.87,  5.723, 33.617,   8.80
   8.97,  5.723, 33.617,   8.90
   9.07,  5.723, 33.616,   9.00
   9.17,  5.723, 33.615,   9.10
   9.27,  5.722, 33.618,   9.20
   9.38,  5.723, 33.617,   9.30
   9.48,  5.722, 33.617,   9.40
   9.58,  5.722, 33.616,   9.50
   9.68,  5.722, 33.616,   9.60
   9.78,  5.723, 33.617,   9.70
   9.88,  5.723, 33.617,   9.80
   9.98,  5.723, 33.617,   9.90
  10.08,  5.723, 33.617,  10.00
  10.18,  5.723, 33.617,  10.10
  10.28,  5.723, 33.617,  10.20
  10.38,  5.722, 33.619,  10.30
  10.48,  5.723, 33.618,  10.40
  10.59,  5.723, 33.618,  10.50
  10.69,  5.724, 33.617,  10.60
  10.79,  5.723, 33.618,  10.70
  10.89,  5.722, 33.617,  10.80
  10.99,  5.723, 33.617,  10.90
  11.09,  5.722, 33.618,  11.00
  11.19,  5.723, 33.617,  11.10
  11.29,  5.723, 33.617,  11.20
  11.39,  5.723, 33.617,  11.30
  11.49,  5.723, 33.617,  11.40
  11.59,  5.722, 33.618,  11.50
  11.69,  5.722, 33.618,  11.60
  11.80,  5.723, 33.616,  11.70
  11.90,  5.722, 33.618,  11.80
  12.00,  5.722, 33.618,  11.90
  12.10,  5.722, 33.618,  12.00
  12.20,  5.722, 33.618,  12.10
  12.30,  5.722, 33.616,  12.20
  12.40,  5.723, 33.617,  12.30
  12.50,  5.722, 33.619,  12.40
  12.60,  5.722, 33.620,  12.50
  12.70,  5.722, 33.619,  12.60
  12.80,  5.721, 33.618,  12.70
  12.90,  5.720, 33.619,  12.80
