CTD,20251127AORIOS
#Reference: 13March2013Sta.H6.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130313_1351_0
CASTNO = 1
DATE = 20130313
TIME = 0451
LATITUDE = 39.3292
LONGITUDE = 141.9177
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  6.285, 33.052,   0.00
   0.10,  6.327, 33.022,   0.10
   0.20,  6.363, 32.963,   0.20
   0.30,  6.371, 32.963,   0.30
   0.40,  6.281, 33.073,   0.40
   0.50,  6.209, 33.167,   0.50
   0.60,  6.181, 33.243,   0.60
   0.71,  6.172, 33.283,   0.70
   0.81,  6.168, 33.311,   0.80
   0.91,  6.169, 33.336,   0.90
   1.01,  6.174, 33.352,   1.00
   1.11,  6.178, 33.359,   1.10
   1.21,  6.185, 33.369,   1.20
   1.31,  6.190, 33.380,   1.30
   1.41,  6.198, 33.388,   1.40
   1.51,  6.202, 33.397,   1.50
   1.61,  6.198, 33.409,   1.60
   1.71,  6.180, 33.430,   1.70
   1.81,  6.157, 33.447,   1.80
   1.92,  6.152, 33.459,   1.90
   2.02,  6.148, 33.465,   2.00
   2.12,  6.154, 33.472,   2.10
   2.22,  6.183, 33.478,   2.20
   2.32,  6.206, 33.485,   2.30
   2.42,  6.217, 33.494,   2.40
   2.52,  6.224, 33.498,   2.50
   2.62,  6.221, 33.500,   2.60
   2.72,  6.214, 33.499,   2.70
   2.82,  6.200, 33.501,   2.80
   2.92,  6.194, 33.502,   2.90
   3.02,  6.192, 33.506,   3.00
   3.13,  6.188, 33.510,   3.10
   3.23,  6.190, 33.515,   3.20
   3.33,  6.196, 33.519,   3.30
   3.43,  6.203, 33.526,   3.40
   3.53,  6.210, 33.529,   3.50
   3.63,  6.209, 33.532,   3.60
   3.73,  6.207, 33.534,   3.70
   3.83,  6.206, 33.537,   3.80
   3.93,  6.193, 33.553,   3.90
   4.03,  6.160, 33.570,   4.00
   4.13,  6.137, 33.576,   4.10
   4.23,  6.123, 33.577,   4.20
   4.33,  6.114, 33.577,   4.30
   4.44,  6.105, 33.579,   4.40
   4.54,  6.097, 33.580,   4.50
   4.64,  6.093, 33.580,   4.60
   4.74,  6.089, 33.581,   4.70
   4.84,  6.084, 33.582,   4.80
   4.94,  6.080, 33.585,   4.90
   5.04,  6.080, 33.590,   5.00
   5.14,  6.078, 33.592,   5.10
   5.24,  6.077, 33.594,   5.20
   5.34,  6.076, 33.596,   5.30
   5.44,  6.080, 33.598,   5.40
   5.54,  6.084, 33.602,   5.50
   5.65,  6.084, 33.602,   5.60
   5.75,  6.066, 33.604,   5.70
   5.85,  6.051, 33.604,   5.80
   5.95,  6.041, 33.603,   5.90
   6.05,  6.037, 33.613,   6.00
   6.15,  6.037, 33.601,   6.10
   6.25,  6.025, 33.602,   6.20
   6.35,  6.033, 33.607,   6.30
   6.45,  6.037, 33.612,   6.40
   6.55,  6.028, 33.613,   6.50
   6.65,  6.022, 33.617,   6.60
   6.75,  6.016, 33.618,   6.70
   6.86,  6.016, 33.616,   6.80
   6.96,  6.019, 33.616,   6.90
   7.06,  6.020, 33.618,   7.00
   7.16,  6.021, 33.617,   7.10
   7.26,  6.012, 33.620,   7.20
   7.36,  6.001, 33.623,   7.30
   7.46,  5.995, 33.625,   7.40
   7.56,  5.986, 33.625,   7.50
   7.66,  5.979, 33.625,   7.60
   7.76,  5.960, 33.627,   7.70
   7.86,  5.938, 33.628,   7.80
   7.96,  5.924, 33.629,   7.90
   8.06,  5.901, 33.633,   8.00
   8.17,  5.877, 33.629,   8.10
   8.27,  5.868, 33.626,   8.20
   8.37,  5.864, 33.625,   8.30
   8.47,  5.858, 33.624,   8.40
   8.57,  5.854, 33.624,   8.50
   8.67,  5.853, 33.622,   8.60
   8.77,  5.863, 33.606,   8.70
END_DATA
