CTD,20251127AORIOS
#Reference: 13March2013Sta.N1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130313_1359_0
CASTNO = 1
DATE = 20130313
TIME = 0459
LATITUDE = 39.3272
LONGITUDE = 141.9043
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  6.531, 29.669,   0.00
   0.10,  6.522, 30.662,   0.10
   0.20,  6.518, 30.899,   0.20
   0.30,  6.502, 31.102,   0.30
   0.40,  6.495, 31.225,   0.40
   0.50,  6.445, 31.340,   0.50
   0.60,  6.441, 30.946,   0.60
   0.71,  6.467, 30.780,   0.70
   0.81,  6.489, 30.960,   0.80
   0.91,  6.526, 31.590,   0.90
   1.01,  6.538, 31.692,   1.00
   1.11,  6.563, 32.419,   1.10
   1.21,  6.517, 33.020,   1.20
   1.31,  6.453, 33.225,   1.30
   1.41,  6.420, 33.318,   1.40
   1.51,  6.319, 33.378,   1.50
   1.61,  6.263, 33.408,   1.60
   1.71,  6.235, 33.423,   1.70
   1.81,  6.248, 33.440,   1.80
   1.92,  6.250, 33.448,   1.90
   2.02,  6.249, 33.453,   2.00
   2.12,  6.269, 33.454,   2.10
   2.22,  6.290, 33.461,   2.20
   2.32,  6.328, 33.470,   2.30
   2.42,  6.378, 33.478,   2.40
   2.52,  6.356, 33.490,   2.50
   2.62,  6.419, 33.486,   2.60
   2.72,  6.468, 33.511,   2.70
   2.82,  6.483, 33.523,   2.80
   2.92,  6.506, 33.513,   2.90
END_DATA
