CTD,20251127AORIOS
#Reference: 28May2013Sta.EX1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130528_0944_0
CASTNO = 1
DATE = 20130528
TIME = 0044
LATITUDE = 39.3631
LONGITUDE = 141.9900
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 12.111, 32.692,   0.00
   0.10, 12.084, 32.710,   0.10
   0.20, 12.070, 32.708,   0.20
   0.30, 12.069, 32.703,   0.30
   0.40, 12.073, 32.701,   0.40
   0.50, 12.057, 32.709,   0.50
   0.60, 12.046, 32.712,   0.60
   0.71, 12.045, 32.713,   0.70
   0.81, 12.008, 32.727,   0.80
   0.91, 11.951, 32.741,   0.90
   1.01, 11.921, 32.751,   1.00
   1.11, 11.898, 32.761,   1.10
   1.21, 11.812, 32.790,   1.20
   1.31, 11.721, 32.818,   1.30
   1.41, 11.608, 32.854,   1.40
   1.51, 11.451, 32.908,   1.50
   1.61, 11.244, 32.982,   1.60
   1.71, 11.095, 33.038,   1.70
   1.81, 10.874, 33.101,   1.80
   1.92, 10.797, 33.127,   1.90
   2.02, 10.649, 33.174,   2.00
   2.12, 10.497, 33.244,   2.10
   2.22, 10.304, 33.297,   2.20
   2.32, 10.125, 33.340,   2.30
   2.42,  9.849, 33.437,   2.40
   2.52,  9.749, 33.459,   2.50
   2.62,  9.655, 33.474,   2.60
   2.72,  9.597, 33.475,   2.70
   2.82,  9.523, 33.470,   2.80
   2.92,  9.478, 33.478,   2.90
   3.02,  9.434, 33.497,   3.00
   3.13,  9.414, 33.481,   3.10
   3.23,  9.369, 33.495,   3.20
   3.33,  9.337, 33.490,   3.30
   3.43,  9.310, 33.488,   3.40
   3.53,  9.297, 33.485,   3.50
   3.63,  9.277, 33.475,   3.60
   3.73,  9.268, 33.478,   3.70
   3.83,  9.266, 33.477,   3.80
   3.93,  9.268, 33.480,   3.90
   4.03,  9.273, 33.482,   4.00
   4.13,  9.279, 33.485,   4.10
   4.23,  9.284, 33.486,   4.20
   4.33,  9.290, 33.489,   4.30
   4.44,  9.294, 33.492,   4.40
   4.54,  9.296, 33.495,   4.50
   4.64,  9.293, 33.496,   4.60
   4.74,  9.286, 33.500,   4.70
   4.84,  9.282, 33.500,   4.80
   4.94,  9.273, 33.502,   4.90
   5.04,  9.262, 33.507,   5.00
   5.14,  9.256, 33.505,   5.10
   5.24,  9.256, 33.506,   5.20
   5.34,  9.243, 33.515,   5.30
   5.44,  9.233, 33.513,   5.40
   5.54,  9.227, 33.513,   5.50
   5.65,  9.217, 33.516,   5.60
   5.75,  9.200, 33.510,   5.70
   5.85,  9.186, 33.518,   5.80
   5.95,  9.179, 33.515,   5.90
   6.05,  9.174, 33.512,   6.00
   6.15,  9.174, 33.506,   6.10
   6.25,  9.174, 33.502,   6.20
   6.35,  9.174, 33.503,   6.30
   6.45,  9.173, 33.503,   6.40
   6.55,  9.173, 33.503,   6.50
   6.65,  9.171, 33.503,   6.60
   6.75,  9.170, 33.504,   6.70
   6.86,  9.170, 33.505,   6.80
   6.96,  9.169, 33.506,   6.90
   7.06,  9.167, 33.509,   7.00
   7.16,  9.167, 33.508,   7.10
   7.26,  9.166, 33.508,   7.20
   7.36,  9.165, 33.512,   7.30
   7.46,  9.163, 33.514,   7.40
   7.56,  9.156, 33.512,   7.50
   7.66,  9.154, 33.511,   7.60
   7.76,  9.152, 33.510,   7.70
   7.86,  9.151, 33.510,   7.80
   7.96,  9.148, 33.508,   7.90
   8.06,  9.145, 33.511,   8.00
   8.17,  9.144, 33.511,   8.10
   8.27,  9.142, 33.513,   8.20
   8.37,  9.140, 33.519,   8.30
   8.47,  9.141, 33.518,   8.40
   8.57,  9.141, 33.516,   8.50
   8.67,  9.142, 33.515,   8.60
   8.77,  9.145, 33.516,   8.70
   8.87,  9.149, 33.516,   8.80
   8.97,  9.153, 33.516,   8.90
   9.07,  9.153, 33.516,   9.00
   9.17,  9.161, 33.517,   9.10
   9.27,  9.174, 33.522,   9.20
   9.38,  9.195, 33.529,   9.30
   9.48,  9.216, 33.534,   9.40
   9.58,  9.226, 33.539,   9.50
   9.68,  9.231, 33.539,   9.60
   9.78,  9.232, 33.542,   9.70
   9.88,  9.232, 33.543,   9.80
   9.98,  9.248, 33.552,   9.90
  10.08,  9.263, 33.556,  10.00
  10.18,  9.281, 33.571,  10.10
  10.28,  9.307, 33.568,  10.20
  10.38,  9.319, 33.572,  10.30
  10.48,  9.322, 33.571,  10.40
  10.59,  9.324, 33.570,  10.50
  10.69,  9.325, 33.570,  10.60
  10.79,  9.326, 33.577,  10.70
  10.89,  9.326, 33.574,  10.80
  10.99,  9.329, 33.579,  10.90
  11.09,  9.337, 33.575,  11.00
  11.19,  9.337, 33.575,  11.10
  11.29,  9.330, 33.577,  11.20
  11.39,  9.327, 33.577,  11.30
  11.49,  9.325, 33.578,  11.40
  11.59,  9.321, 33.577,  11.50
  11.69,  9.314, 33.577,  11.60
  11.80,  9.309, 33.577,  11.70
  11.90,  9.301, 33.578,  11.80
  12.00,  9.291, 33.579,  11.90
  12.10,  9.281, 33.579,  12.00
  12.20,  9.266, 33.583,  12.10
  12.30,  9.263, 33.579,  12.20
  12.40,  9.253, 33.575,  12.30
  12.50,  9.245, 33.575,  12.40
  12.60,  9.227, 33.576,  12.50
  12.70,  9.217, 33.575,  12.60
  12.80,  9.200, 33.574,  12.70
  12.90,  9.189, 33.574,  12.80
  13.00,  9.183, 33.571,  12.90
  13.11,  9.170, 33.579,  13.00
  13.21,  9.167, 33.579,  13.10
  13.31,  9.167, 33.576,  13.20
  13.41,  9.170, 33.575,  13.30
  13.51,  9.180, 33.577,  13.40
  13.61,  9.182, 33.579,  13.50
  13.71,  9.182, 33.580,  13.60
  13.81,  9.173, 33.574,  13.70
  13.91,  9.159, 33.574,  13.80
  14.01,  9.152, 33.576,  13.90
  14.11,  9.152, 33.578,  14.00
  14.21,  9.153, 33.582,  14.10
  14.32,  9.153, 33.581,  14.20
  14.42,  9.152, 33.578,  14.30
  14.52,  9.151, 33.579,  14.40
  14.62,  9.149, 33.578,  14.50
  14.72,  9.150, 33.576,  14.60
  14.82,  9.151, 33.574,  14.70
  14.92,  9.151, 33.573,  14.80
  15.02,  9.152, 33.573,  14.90
  15.12,  9.152, 33.573,  15.00
  15.22,  9.152, 33.573,  15.10
  15.32,  9.153, 33.572,  15.20
  15.42,  9.153, 33.572,  15.30
  15.53,  9.153, 33.572,  15.40
  15.63,  9.153, 33.572,  15.50
  15.73,  9.155, 33.575,  15.60
  15.83,  9.157, 33.573,  15.70
  15.93,  9.159, 33.576,  15.80
  16.03,  9.160, 33.581,  15.90
  16.13,  9.160, 33.581,  16.00
  16.23,  9.160, 33.582,  16.10
  16.33,  9.158, 33.576,  16.20
  16.43,  9.153, 33.573,  16.30
  16.53,  9.146, 33.574,  16.40
  16.63,  9.144, 33.574,  16.50
  16.74,  9.142, 33.572,  16.60
  16.84,  9.121, 33.565,  16.70
  16.94,  9.094, 33.564,  16.80
  17.04,  9.055, 33.574,  16.90
  17.14,  9.042, 33.569,  17.00
  17.24,  9.038, 33.563,  17.10
  17.34,  9.034, 33.564,  17.20
  17.44,  9.022, 33.562,  17.30
  17.54,  9.014, 33.557,  17.40
  17.64,  9.011, 33.554,  17.50
  17.74,  9.011, 33.553,  17.60
  17.84,  9.005, 33.554,  17.70
  17.94,  9.002, 33.556,  17.80
  18.05,  9.003, 33.555,  17.90
  18.15,  9.001, 33.553,  18.00
