CTD,20251127AORIOS
#Reference: 29May2013Sta.New2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130529_1226_0
CASTNO = 1
DATE = 20130529
TIME = 0326
LATITUDE = 39.3478
LONGITUDE = 141.9287
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.211, 30.991,   0.00
   0.10, 14.248, 30.983,   0.10
   0.20, 14.256, 30.979,   0.20
   0.30, 14.255, 30.979,   0.30
   0.40, 14.253, 30.977,   0.40
   0.50, 14.250, 30.977,   0.50
   0.60, 14.156, 30.955,   0.60
   0.71, 14.072, 30.996,   0.70
   0.81, 14.045, 31.012,   0.80
   0.91, 14.029, 31.010,   0.90
   1.01, 14.024, 31.005,   1.00
   1.11, 14.005, 31.007,   1.10
   1.21, 13.995, 31.006,   1.20
   1.31, 13.965, 31.015,   1.30
   1.41, 13.906, 31.047,   1.40
   1.51, 12.990, 31.693,   1.50
   1.61, 11.816, 32.670,   1.60
   1.71, 11.349, 33.051,   1.70
   1.81, 11.239, 33.092,   1.80
   1.92, 10.936, 33.219,   1.90
   2.02, 10.700, 33.339,   2.00
   2.12, 10.681, 33.358,   2.10
   2.22, 10.619, 33.306,   2.20
   2.32, 10.404, 33.398,   2.30
   2.42, 10.184, 33.404,   2.40
   2.52, 10.032, 33.459,   2.50
   2.62, 10.014, 33.452,   2.60
   2.72,  9.999, 33.444,   2.70
   2.82, 10.003, 33.449,   2.80
   2.92,  9.996, 33.442,   2.90
   3.02,  9.987, 33.452,   3.00
   3.13,  9.977, 33.451,   3.10
   3.23,  9.942, 33.442,   3.20
   3.33,  9.877, 33.465,   3.30
   3.43,  9.739, 33.476,   3.40
   3.53,  9.615, 33.504,   3.50
   3.63,  9.576, 33.496,   3.60
   3.73,  9.516, 33.517,   3.70
   3.83,  9.519, 33.509,   3.80
   3.93,  9.494, 33.523,   3.90
   4.03,  9.479, 33.526,   4.00
   4.13,  9.478, 33.537,   4.10
   4.23,  9.474, 33.545,   4.20
   4.33,  9.453, 33.548,   4.30
   4.44,  9.442, 33.559,   4.40
   4.54,  9.414, 33.556,   4.50
   4.64,  9.380, 33.545,   4.60
   4.74,  9.356, 33.546,   4.70
   4.84,  9.326, 33.547,   4.80
   4.94,  9.289, 33.569,   4.90
   5.04,  9.270, 33.553,   5.00
   5.14,  9.262, 33.553,   5.10
   5.24,  9.248, 33.556,   5.20
   5.34,  9.228, 33.550,   5.30
   5.44,  9.232, 33.553,   5.40
   5.54,  9.234, 33.556,   5.50
   5.65,  9.231, 33.558,   5.60
   5.75,  9.215, 33.561,   5.70
   5.85,  9.202, 33.565,   5.80
   5.95,  9.188, 33.563,   5.90
   6.05,  9.183, 33.571,   6.00
   6.15,  9.181, 33.563,   6.10
