CTD,20251127AORIOS
#Reference: 30May2013Sta.H6.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130530_1015_0
CASTNO = 1
DATE = 20130530
TIME = 0115
LATITUDE = 39.3292
LONGITUDE = 141.9177
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  9.334, 33.565,   0.00
   0.10,  9.281, 33.555,   0.10
   0.20,  9.269, 33.553,   0.20
   0.30,  9.263, 33.551,   0.30
   0.40,  9.278, 33.540,   0.40
   0.50,  9.270, 33.541,   0.50
   0.60,  9.263, 33.543,   0.60
   0.71,  9.255, 33.543,   0.70
   0.81,  9.256, 33.542,   0.80
   0.91,  9.256, 33.545,   0.90
   1.01,  9.248, 33.549,   1.00
   1.11,  9.234, 33.554,   1.10
   1.21,  9.224, 33.549,   1.20
   1.31,  9.210, 33.530,   1.30
   1.41,  9.194, 33.518,   1.40
   1.51,  9.151, 33.531,   1.50
   1.61,  9.117, 33.542,   1.60
   1.71,  9.104, 33.542,   1.70
   1.81,  9.090, 33.547,   1.80
   1.92,  9.087, 33.505,   1.90
   2.02,  9.036, 33.534,   2.00
   2.12,  9.003, 33.549,   2.10
   2.22,  8.986, 33.555,   2.20
   2.32,  8.977, 33.561,   2.30
   2.42,  8.967, 33.558,   2.40
   2.52,  8.956, 33.568,   2.50
   2.62,  8.954, 33.563,   2.60
   2.72,  8.952, 33.562,   2.70
   2.82,  8.952, 33.561,   2.80
   2.92,  8.951, 33.560,   2.90
   3.02,  8.945, 33.560,   3.00
   3.13,  8.945, 33.562,   3.10
   3.23,  8.945, 33.562,   3.20
   3.33,  8.941, 33.561,   3.30
   3.43,  8.938, 33.556,   3.40
   3.53,  8.933, 33.559,   3.50
   3.63,  8.927, 33.557,   3.60
   3.73,  8.922, 33.561,   3.70
   3.83,  8.920, 33.558,   3.80
   3.93,  8.911, 33.560,   3.90
   4.03,  8.894, 33.566,   4.00
   4.13,  8.867, 33.581,   4.10
   4.23,  8.855, 33.583,   4.20
   4.33,  8.848, 33.582,   4.30
   4.44,  8.842, 33.585,   4.40
   4.54,  8.837, 33.585,   4.50
   4.64,  8.833, 33.585,   4.60
   4.74,  8.830, 33.586,   4.70
   4.84,  8.828, 33.586,   4.80
   4.94,  8.825, 33.587,   4.90
   5.04,  8.825, 33.585,   5.00
   5.14,  8.823, 33.587,   5.10
   5.24,  8.821, 33.587,   5.20
   5.34,  8.814, 33.590,   5.30
   5.44,  8.809, 33.591,   5.40
   5.54,  8.803, 33.594,   5.50
   5.65,  8.797, 33.598,   5.60
   5.75,  8.795, 33.597,   5.70
   5.85,  8.795, 33.598,   5.80
   5.95,  8.797, 33.596,   5.90
   6.05,  8.798, 33.598,   6.00
   6.15,  8.798, 33.605,   6.10
   6.25,  8.804, 33.604,   6.20
   6.35,  8.807, 33.602,   6.30
   6.45,  8.810, 33.603,   6.40
   6.55,  8.808, 33.605,   6.50
   6.65,  8.807, 33.606,   6.60
   6.75,  8.806, 33.604,   6.70
   6.86,  8.804, 33.606,   6.80
   6.96,  8.801, 33.610,   6.90
   7.06,  8.801, 33.609,   7.00
   7.16,  8.800, 33.610,   7.10
   7.26,  8.798, 33.612,   7.20
   7.36,  8.798, 33.616,   7.30
   7.46,  8.798, 33.617,   7.40
   7.56,  8.798, 33.617,   7.50
   7.66,  8.799, 33.619,   7.60
   7.76,  8.799, 33.622,   7.70
   7.86,  8.801, 33.622,   7.80
   7.96,  8.802, 33.624,   7.90
   8.06,  8.801, 33.625,   8.00
   8.17,  8.801, 33.625,   8.10
   8.27,  8.802, 33.622,   8.20
END_DATA
