CTD,20251127AORIOS
#Reference: 30May2013Sta.N4.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130530_1049_0
CASTNO = 1
DATE = 20130530
TIME = 0149
LATITUDE = 39.3294
LONGITUDE = 141.9062
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 12.100, 30.897,   0.00
   0.10, 12.083, 30.910,   0.10
   0.20, 12.071, 30.914,   0.20
   0.30, 12.007, 30.973,   0.30
   0.40, 11.512, 31.467,   0.40
   0.50, 11.038, 32.064,   0.50
   0.60, 10.751, 32.612,   0.60
   0.71, 10.502, 32.989,   0.70
   0.81, 10.374, 33.160,   0.80
   0.91, 10.253, 33.254,   0.90
   1.01, 10.170, 33.293,   1.00
   1.11, 10.114, 33.315,   1.10
   1.21, 10.075, 33.332,   1.20
   1.31, 10.050, 33.337,   1.30
   1.41, 10.020, 33.348,   1.40
   1.51,  9.983, 33.353,   1.50
   1.61,  9.907, 33.374,   1.60
   1.71,  9.792, 33.420,   1.70
   1.81,  9.664, 33.442,   1.80
   1.92,  9.574, 33.464,   1.90
   2.02,  9.484, 33.474,   2.00
   2.12,  9.358, 33.489,   2.10
   2.22,  9.277, 33.505,   2.20
   2.32,  9.200, 33.497,   2.30
   2.42,  9.132, 33.491,   2.40
   2.52,  9.097, 33.489,   2.50
   2.62,  9.062, 33.491,   2.60
   2.72,  9.045, 33.496,   2.70
   2.82,  9.035, 33.494,   2.80
   2.92,  9.031, 33.494,   2.90
   3.02,  9.023, 33.498,   3.00
   3.13,  9.017, 33.500,   3.10
   3.23,  9.014, 33.501,   3.20
   3.33,  9.010, 33.505,   3.30
   3.43,  9.007, 33.507,   3.40
   3.53,  9.006, 33.511,   3.50
   3.63,  9.004, 33.513,   3.60
   3.73,  8.999, 33.518,   3.70
   3.83,  8.972, 33.527,   3.80
   3.93,  8.953, 33.536,   3.90
   4.03,  8.942, 33.539,   4.00
   4.13,  8.934, 33.543,   4.10
   4.23,  8.924, 33.549,   4.20
   4.33,  8.908, 33.557,   4.30
   4.44,  8.890, 33.564,   4.40
   4.54,  8.872, 33.565,   4.50
   4.64,  8.853, 33.571,   4.60
   4.74,  8.844, 33.573,   4.70
   4.84,  8.841, 33.576,   4.80
   4.94,  8.842, 33.576,   4.90
   5.04,  8.841, 33.579,   5.00
   5.14,  8.837, 33.582,   5.10
   5.24,  8.830, 33.585,   5.20
   5.34,  8.808, 33.582,   5.30
   5.44,  8.792, 33.585,   5.40
   5.54,  8.788, 33.591,   5.50
   5.65,  8.786, 33.599,   5.60
   5.75,  8.779, 33.601,   5.70
   5.85,  8.776, 33.601,   5.80
   5.95,  8.778, 33.605,   5.90
   6.05,  8.779, 33.605,   6.00
   6.15,  8.779, 33.606,   6.10
   6.25,  8.779, 33.610,   6.20
   6.35,  8.780, 33.612,   6.30
   6.45,  8.783, 33.613,   6.40
   6.55,  8.786, 33.611,   6.50
   6.65,  8.789, 33.611,   6.60
   6.75,  8.791, 33.618,   6.70
   6.86,  8.792, 33.616,   6.80
   6.96,  8.795, 33.619,   6.90
   7.06,  8.799, 33.621,   7.00
   7.16,  8.801, 33.625,   7.10
   7.26,  8.801, 33.627,   7.20
   7.36,  8.802, 33.624,   7.30
   7.46,  8.804, 33.623,   7.40
   7.56,  8.805, 33.625,   7.50
   7.66,  8.805, 33.623,   7.60
   7.76,  8.804, 33.622,   7.70
   7.86,  8.804, 33.622,   7.80
   7.96,  8.804, 33.623,   7.90
   8.06,  8.803, 33.622,   8.00
   8.17,  8.804, 33.622,   8.10
   8.27,  8.806, 33.622,   8.20
END_DATA
