CTD,20251127AORIOS
#Reference: 23July2013Sta.Ex1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130723_0802_0
CASTNO = 1
DATE = 20130722
TIME = 2302
LATITUDE = 39.3631
LONGITUDE = 141.9900
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 18.097, 30.176,   0.00
   0.10, 18.100, 30.328,   0.10
   0.20, 18.121, 30.976,   0.20
   0.30, 18.129, 31.055,   0.30
   0.40, 18.132, 31.208,   0.40
   0.50, 18.144, 31.421,   0.50
   0.60, 18.147, 31.692,   0.60
   0.71, 18.149, 31.923,   0.70
   0.81, 18.153, 32.075,   0.80
   0.91, 18.154, 32.161,   0.90
   1.01, 18.163, 32.235,   1.00
   1.11, 18.170, 32.262,   1.10
   1.21, 18.176, 32.369,   1.20
   1.31, 18.121, 32.509,   1.30
   1.41, 18.033, 32.610,   1.40
   1.51, 17.943, 32.660,   1.50
   1.61, 17.885, 32.698,   1.60
   1.71, 17.859, 32.715,   1.70
   1.81, 17.842, 32.737,   1.80
   1.92, 17.850, 32.752,   1.90
   2.02, 17.872, 32.804,   2.00
   2.12, 17.938, 32.915,   2.10
   2.22, 17.952, 32.979,   2.20
   2.32, 17.964, 32.992,   2.30
   2.42, 17.972, 33.005,   2.40
   2.52, 17.993, 33.030,   2.50
   2.62, 18.007, 33.045,   2.60
   2.72, 18.024, 33.069,   2.70
   2.82, 18.046, 33.083,   2.80
   2.92, 18.052, 33.104,   2.90
   3.02, 18.074, 33.146,   3.00
   3.13, 18.108, 33.178,   3.10
   3.23, 18.162, 33.241,   3.20
   3.33, 18.194, 33.302,   3.30
   3.43, 18.212, 33.357,   3.40
   3.53, 18.236, 33.394,   3.50
   3.63, 18.241, 33.409,   3.60
   3.73, 18.239, 33.419,   3.70
   3.83, 18.236, 33.424,   3.80
   3.93, 18.234, 33.428,   3.90
   4.03, 18.234, 33.429,   4.00
   4.13, 18.234, 33.430,   4.10
   4.23, 18.226, 33.436,   4.20
   4.33, 18.221, 33.438,   4.30
   4.44, 18.220, 33.438,   4.40
   4.54, 18.212, 33.444,   4.50
   4.64, 18.202, 33.449,   4.60
   4.74, 18.197, 33.452,   4.70
   4.84, 18.192, 33.455,   4.80
   4.94, 18.184, 33.459,   4.90
   5.04, 18.179, 33.459,   5.00
   5.14, 18.177, 33.461,   5.10
   5.24, 18.168, 33.466,   5.20
   5.34, 18.160, 33.471,   5.30
   5.44, 18.158, 33.473,   5.40
   5.54, 18.155, 33.474,   5.50
   5.65, 18.153, 33.474,   5.60
   5.75, 18.146, 33.478,   5.70
   5.85, 18.139, 33.482,   5.80
   5.95, 18.137, 33.479,   5.90
   6.05, 18.132, 33.483,   6.00
   6.15, 18.129, 33.482,   6.10
   6.25, 18.129, 33.482,   6.20
   6.35, 18.127, 33.482,   6.30
   6.45, 18.124, 33.486,   6.40
   6.55, 18.123, 33.486,   6.50
   6.65, 18.121, 33.486,   6.60
   6.75, 18.121, 33.487,   6.70
   6.86, 18.124, 33.486,   6.80
   6.96, 18.124, 33.487,   6.90
   7.06, 18.124, 33.487,   7.00
   7.16, 18.124, 33.487,   7.10
   7.26, 18.124, 33.487,   7.20
   7.36, 18.123, 33.488,   7.30
   7.46, 18.122, 33.487,   7.40
   7.56, 18.119, 33.489,   7.50
   7.66, 18.118, 33.490,   7.60
   7.76, 18.116, 33.491,   7.70
   7.86, 18.114, 33.492,   7.80
   7.96, 18.113, 33.494,   7.90
   8.06, 18.111, 33.495,   8.00
   8.17, 18.112, 33.495,   8.10
   8.27, 18.113, 33.495,   8.20
   8.37, 18.113, 33.495,   8.30
   8.47, 18.113, 33.494,   8.40
