CTD,20251127AORIOS
#Reference: 24July2013Sta.6(2).csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130724_0940_0
CASTNO = 1
DATE = 20130724
TIME = 0040
LATITUDE = 39.3414
LONGITUDE = 141.9303
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 19.536, 16.723,   0.00
   0.10, 19.326, 16.754,   0.10
   0.20, 19.164, 19.040,   0.20
   0.30, 19.079, 20.019,   0.30
   0.40, 18.644, 22.828,   0.40
   0.50, 18.605, 27.490,   0.50
   0.60, 18.546, 29.912,   0.60
   0.71, 18.458, 30.847,   0.70
   0.81, 18.391, 31.397,   0.80
   0.91, 18.366, 31.644,   0.90
   1.01, 18.354, 31.759,   1.00
   1.11, 18.346, 31.833,   1.10
   1.21, 18.345, 31.860,   1.20
   1.31, 18.341, 31.873,   1.30
   1.41, 18.324, 31.907,   1.40
   1.51, 18.318, 31.922,   1.50
   1.61, 18.310, 31.941,   1.60
   1.71, 18.270, 32.042,   1.70
   1.81, 18.238, 32.236,   1.80
   1.92, 18.163, 32.363,   1.90
   2.02, 18.096, 32.424,   2.00
   2.12, 18.006, 32.507,   2.10
   2.22, 17.941, 32.598,   2.20
   2.32, 17.907, 32.665,   2.30
   2.42, 17.892, 32.696,   2.40
   2.52, 17.888, 32.744,   2.50
   2.62, 17.878, 32.797,   2.60
   2.72, 17.855, 32.912,   2.70
   2.82, 17.838, 32.993,   2.80
   2.92, 17.835, 33.034,   2.90
   3.02, 17.835, 33.054,   3.00
   3.13, 17.841, 33.070,   3.10
   3.23, 17.856, 33.098,   3.20
   3.33, 17.855, 33.103,   3.30
   3.43, 17.859, 33.106,   3.40
   3.53, 17.859, 33.110,   3.50
   3.63, 17.863, 33.115,   3.60
   3.73, 17.872, 33.127,   3.70
   3.83, 17.876, 33.135,   3.80
   3.93, 17.876, 33.137,   3.90
   4.03, 17.877, 33.139,   4.00
   4.13, 17.885, 33.139,   4.10
   4.23, 17.891, 33.143,   4.20
   4.33, 17.891, 33.142,   4.30
   4.44, 17.893, 33.148,   4.40
   4.54, 17.895, 33.154,   4.50
   4.64, 17.894, 33.156,   4.60
   4.74, 17.896, 33.166,   4.70
   4.84, 17.897, 33.179,   4.80
   4.94, 17.900, 33.198,   4.90
   5.04, 17.910, 33.237,   5.00
   5.14, 17.918, 33.258,   5.10
   5.24, 17.923, 33.280,   5.20
   5.34, 17.928, 33.291,   5.30
   5.44, 17.927, 33.293,   5.40
   5.54, 17.904, 33.301,   5.50
   5.65, 17.861, 33.309,   5.60
   5.75, 17.849, 33.322,   5.70
   5.85, 17.849, 33.330,   5.80
   5.95, 17.854, 33.343,   5.90
   6.05, 17.863, 33.364,   6.00
   6.15, 17.862, 33.391,   6.10
   6.25, 17.859, 33.406,   6.20
   6.35, 17.856, 33.417,   6.30
   6.45, 17.853, 33.426,   6.40
   6.55, 17.853, 33.429,   6.50
   6.65, 17.853, 33.430,   6.60
   6.75, 17.848, 33.436,   6.70
   6.86, 17.847, 33.439,   6.80
   6.96, 17.845, 33.442,   6.90
   7.06, 17.841, 33.445,   7.00
   7.16, 17.840, 33.447,   7.10
   7.26, 17.839, 33.449,   7.20
   7.36, 17.836, 33.452,   7.30
   7.46, 17.831, 33.455,   7.40
   7.56, 17.832, 33.455,   7.50
   7.66, 17.833, 33.457,   7.60
   7.76, 17.825, 33.454,   7.70
   7.86, 17.820, 33.452,   7.80
   7.96, 17.818, 33.450,   7.90
   8.06, 17.810, 33.445,   8.00
   8.17, 17.802, 33.448,   8.10
   8.27, 17.805, 33.454,   8.20
   8.37, 17.808, 33.459,   8.30
   8.47, 17.811, 33.463,   8.40
   8.57, 17.814, 33.469,   8.50
   8.67, 17.817, 33.473,   8.60
   8.77, 17.811, 33.474,   8.70
   8.87, 17.796, 33.470,   8.80
   8.97, 17.780, 33.472,   8.90
   9.07, 17.782, 33.473,   9.00
   9.17, 17.783, 33.475,   9.10
   9.27, 17.780, 33.478,   9.20
   9.38, 17.770, 33.483,   9.30
   9.48, 17.767, 33.490,   9.40
   9.58, 17.768, 33.494,   9.50
   9.68, 17.771, 33.498,   9.60
   9.78, 17.772, 33.502,   9.70
   9.88, 17.772, 33.507,   9.80
   9.98, 17.769, 33.511,   9.90
  10.08, 17.764, 33.514,  10.00
  10.18, 17.761, 33.517,  10.10
  10.28, 17.758, 33.520,  10.20
  10.38, 17.757, 33.521,  10.30
  10.48, 17.750, 33.528,  10.40
  10.59, 17.746, 33.534,  10.50
  10.69, 17.743, 33.537,  10.60
  10.79, 17.740, 33.538,  10.70
  10.89, 17.725, 33.548,  10.80
  10.99, 17.719, 33.552,  10.90
  11.09, 17.709, 33.555,  11.00
  11.19, 17.685, 33.558,  11.10
  11.29, 17.680, 33.554,  11.20
  11.39, 17.657, 33.563,  11.30
  11.49, 17.633, 33.557,  11.40
  11.59, 17.627, 33.553,  11.50
  11.69, 17.630, 33.551,  11.60
  11.80, 17.633, 33.549,  11.70
  11.90, 17.630, 33.551,  11.80
  12.00, 17.627, 33.553,  11.90
  12.10, 17.622, 33.557,  12.00
  12.20, 17.625, 33.554,  12.10
  12.30, 17.622, 33.550,  12.20
  12.40, 17.612, 33.548,  12.30
  12.50, 17.607, 33.549,  12.40
  12.60, 17.605, 33.549,  12.50
  12.70, 17.596, 33.545,  12.60
  12.80, 17.588, 33.547,  12.70
  12.90, 17.579, 33.548,  12.80
  13.00, 17.579, 33.548,  12.90
  13.11, 17.582, 33.547,  13.00
  13.21, 17.579, 33.547,  13.10
  13.31, 17.576, 33.546,  13.20
  13.41, 17.566, 33.548,  13.30
  13.51, 17.563, 33.546,  13.40
  13.61, 17.557, 33.546,  13.50
  13.71, 17.545, 33.546,  13.60
  13.81, 17.542, 33.544,  13.70
  13.91, 17.539, 33.545,  13.80
  14.01, 17.539, 33.544,  13.90
  14.11, 17.537, 33.546,  14.00
  14.21, 17.537, 33.547,  14.10
