CTD,20251127AORIOS
#Reference: 25July2013Sta.H5.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130725_0824_0
CASTNO = 1
DATE = 20130724
TIME = 2324
LATITUDE = 39.3288
LONGITUDE = 141.9174
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 19.093, 20.673,   0.00
   0.10, 18.950, 21.853,   0.10
   0.20, 18.897, 22.560,   0.20
   0.30, 18.645, 23.777,   0.30
   0.40, 18.411, 25.336,   0.40
   0.50, 18.292, 26.785,   0.50
   0.60, 18.186, 28.161,   0.60
   0.71, 18.028, 29.300,   0.70
   0.81, 17.970, 29.831,   0.80
   0.91, 17.935, 30.156,   0.90
   1.01, 17.886, 30.765,   1.00
   1.11, 17.826, 31.244,   1.10
   1.21, 17.744, 31.815,   1.20
   1.31, 17.700, 32.246,   1.30
   1.41, 17.703, 32.471,   1.40
   1.51, 17.705, 32.566,   1.50
   1.61, 17.698, 32.683,   1.60
   1.71, 17.618, 32.875,   1.70
   1.81, 17.565, 32.995,   1.80
   1.92, 17.545, 33.036,   1.90
   2.02, 17.533, 33.053,   2.00
   2.12, 17.511, 33.080,   2.10
   2.22, 17.494, 33.097,   2.20
   2.32, 17.474, 33.113,   2.30
   2.42, 17.443, 33.155,   2.40
   2.52, 17.426, 33.177,   2.50
   2.62, 17.411, 33.190,   2.60
   2.72, 17.406, 33.200,   2.70
   2.82, 17.402, 33.209,   2.80
   2.92, 17.397, 33.213,   2.90
   3.02, 17.395, 33.222,   3.00
   3.13, 17.395, 33.230,   3.10
   3.23, 17.394, 33.234,   3.20
   3.33, 17.391, 33.239,   3.30
   3.43, 17.390, 33.242,   3.40
   3.53, 17.387, 33.243,   3.50
   3.63, 17.386, 33.246,   3.60
   3.73, 17.384, 33.249,   3.70
   3.83, 17.383, 33.251,   3.80
   3.93, 17.382, 33.250,   3.90
   4.03, 17.380, 33.253,   4.00
   4.13, 17.375, 33.259,   4.10
   4.23, 17.371, 33.261,   4.20
   4.33, 17.368, 33.269,   4.30
   4.44, 17.367, 33.273,   4.40
   4.54, 17.367, 33.275,   4.50
   4.64, 17.370, 33.282,   4.60
   4.74, 17.371, 33.285,   4.70
   4.84, 17.373, 33.288,   4.80
   4.94, 17.373, 33.290,   4.90
   5.04, 17.373, 33.289,   5.00
   5.14, 17.373, 33.291,   5.10
   5.24, 17.372, 33.293,   5.20
   5.34, 17.372, 33.294,   5.30
   5.44, 17.375, 33.297,   5.40
   5.54, 17.375, 33.313,   5.50
   5.65, 17.353, 33.312,   5.60
   5.75, 17.309, 33.320,   5.70
   5.85, 17.293, 33.324,   5.80
   5.95, 17.289, 33.323,   5.90
   6.05, 17.279, 33.330,   6.00
   6.15, 17.272, 33.334,   6.10
   6.25, 17.270, 33.345,   6.20
   6.35, 17.279, 33.365,   6.30
   6.45, 17.286, 33.375,   6.40
   6.55, 17.288, 33.377,   6.50
   6.65, 17.287, 33.379,   6.60
   6.75, 17.284, 33.380,   6.70
   6.86, 17.280, 33.380,   6.80
   6.96, 17.265, 33.383,   6.90
   7.06, 17.265, 33.381,   7.00
   7.16, 17.256, 33.374,   7.10
   7.26, 17.242, 33.375,   7.20
   7.36, 17.241, 33.378,   7.30
   7.46, 17.238, 33.377,   7.40
   7.56, 17.228, 33.374,   7.50
   7.66, 17.223, 33.372,   7.60
   7.76, 17.223, 33.371,   7.70
   7.86, 17.214, 33.373,   7.80
   7.96, 17.210, 33.369,   7.90
   8.06, 17.210, 33.368,   8.00
   8.17, 17.206, 33.368,   8.10
   8.27, 17.189, 33.365,   8.20
   8.37, 17.178, 33.366,   8.30
   8.47, 17.173, 33.367,   8.40
   8.57, 17.169, 33.364,   8.50
   8.67, 17.166, 33.366,   8.60
   8.77, 17.158, 33.363,   8.70
   8.87, 17.143, 33.365,   8.80
   8.97, 17.137, 33.359,   8.90
END_DATA
