CTD,20251127AORIOS
#Reference: 25July2013Sta.N2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130725_0851_0
CASTNO = 1
DATE = 20130724
TIME = 2351
LATITUDE = 39.3282
LONGITUDE = 141.9025
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 18.543, 23.570,   0.00
   0.10, 18.526, 24.204,   0.10
   0.20, 18.445, 25.135,   0.20
   0.30, 18.379, 25.946,   0.30
   0.40, 18.310, 26.743,   0.40
   0.50, 18.219, 27.973,   0.50
   0.60, 18.112, 29.040,   0.60
   0.71, 18.045, 29.738,   0.70
   0.81, 18.042, 30.159,   0.80
   0.91, 18.064, 30.588,   0.90
   1.01, 18.145, 30.931,   1.00
   1.11, 18.070, 31.227,   1.10
   1.21, 18.070, 31.625,   1.20
   1.31, 18.084, 31.923,   1.30
   1.41, 17.931, 32.109,   1.40
   1.51, 17.904, 32.193,   1.50
   1.61, 17.921, 32.259,   1.60
   1.71, 17.898, 32.339,   1.70
   1.81, 17.885, 32.383,   1.80
   1.92, 17.903, 32.407,   1.90
   2.02, 17.912, 32.439,   2.00
   2.12, 17.906, 32.458,   2.10
   2.22, 17.846, 32.551,   2.20
   2.32, 17.755, 32.691,   2.30
   2.42, 17.711, 32.766,   2.40
   2.52, 17.739, 32.722,   2.50
END_DATA
