CTD,20251127AORIOS
#Reference: 大槌CTDまとめ2013まで - N K.xlsx
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130911_0804_0
CASTNO = 1
DATE = 20130910
TIME = 2304
LATITUDE = 39.3460
LONGITUDE = 141.9339
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 22.484, 32.691,   0.00
   0.10, 22.506, 32.868,   0.10
   0.20, 22.484, 32.994,   0.20
   0.30, 22.461, 33.077,   0.30
   0.40, 22.458, 33.140,   0.40
   0.50, 22.470, 33.200,   0.50
   0.60, 22.496, 33.224,   0.60
   0.71, 22.513, 33.249,   0.70
   0.81, 22.527, 33.268,   0.80
   0.91, 22.540, 33.390,   0.90
   1.01, 22.529, 33.452,   1.00
   1.11, 22.517, 33.477,   1.10
   1.21, 22.510, 33.485,   1.20
   1.31, 22.507, 33.490,   1.30
   1.41, 22.505, 33.493,   1.40
   1.51, 22.504, 33.494,   1.50
   1.61, 22.501, 33.496,   1.60
   1.71, 22.498, 33.498,   1.70
   1.81, 22.495, 33.498,   1.80
   1.92, 22.490, 33.498,   1.90
   2.02, 22.481, 33.500,   2.00
   2.12, 22.473, 33.502,   2.10
   2.22, 22.466, 33.503,   2.20
   2.32, 22.463, 33.503,   2.30
   2.42, 22.458, 33.503,   2.40
   2.52, 22.450, 33.503,   2.50
   2.62, 22.442, 33.505,   2.60
   2.72, 22.438, 33.505,   2.70
   2.82, 22.434, 33.506,   2.80
   2.92, 22.430, 33.507,   2.90
   3.02, 22.426, 33.509,   3.00
   3.13, 22.420, 33.514,   3.10
   3.23, 22.415, 33.517,   3.20
   3.33, 22.412, 33.517,   3.30
   3.43, 22.411, 33.520,   3.40
   3.53, 22.406, 33.525,   3.50
   3.63, 22.403, 33.528,   3.60
   3.73, 22.398, 33.531,   3.70
   3.83, 22.390, 33.532,   3.80
   3.93, 22.386, 33.534,   3.90
   4.03, 22.384, 33.535,   4.00
   4.13, 22.381, 33.538,   4.10
   4.23, 22.380, 33.538,   4.20
   4.33, 22.382, 33.537,   4.30
   4.44, 22.380, 33.537,   4.40
   4.54, 22.380, 33.538,   4.50
   4.64, 22.381, 33.538,   4.60
   4.74, 22.380, 33.539,   4.70
   4.84, 22.379, 33.542,   4.80
   4.94, 22.377, 33.542,   4.90
   5.04, 22.374, 33.543,   5.00
   5.14, 22.366, 33.547,   5.10
