CTD,20251127AORIOS
#Reference: 18September2013Sta.H2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130918_1023_0
CASTNO = 1
DATE = 20130918
TIME = 0123
LATITUDE = 39.3283
LONGITUDE = 141.9183
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 21.295, 25.579,   0.00
   0.10, 21.288, 26.069,   0.10
   0.20, 21.215, 26.375,   0.20
   0.30, 21.128, 26.853,   0.30
   0.40, 21.045, 27.133,   0.40
   0.50, 21.014, 27.337,   0.50
   0.60, 21.403, 28.308,   0.60
   0.71, 21.883, 29.552,   0.70
   0.81, 22.387, 30.849,   0.80
   0.91, 22.649, 31.593,   0.90
   1.01, 22.774, 31.984,   1.00
   1.11, 22.841, 32.263,   1.10
   1.21, 22.882, 32.487,   1.20
   1.31, 22.904, 32.641,   1.30
   1.41, 22.911, 32.783,   1.40
   1.51, 22.885, 32.861,   1.50
   1.61, 22.834, 32.926,   1.60
   1.71, 22.863, 32.978,   1.70
   1.81, 22.924, 33.050,   1.80
   1.92, 22.868, 33.088,   1.90
   2.02, 22.836, 33.094,   2.00
   2.12, 22.842, 33.119,   2.10
   2.22, 22.858, 33.135,   2.20
   2.32, 22.864, 33.133,   2.30
   2.42, 22.871, 33.124,   2.40
   2.52, 22.868, 33.141,   2.50
   2.62, 22.898, 33.147,   2.60
   2.72, 22.916, 33.157,   2.70
   2.82, 22.934, 33.173,   2.80
   2.92, 22.952, 33.187,   2.90
   3.02, 22.971, 33.192,   3.00
END_DATA
