CTD,20251127AORIOS
#Reference: 18September2013Sta.N1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20130918_1053_0
CASTNO = 1
DATE = 20130918
TIME = 0153
LATITUDE = 39.3272
LONGITUDE = 141.9043
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 20.387, 19.769,   0.00
   0.10, 20.374, 19.911,   0.10
   0.20, 20.340, 20.125,   0.20
   0.30, 20.305, 20.576,   0.30
   0.40, 20.219, 20.997,   0.40
   0.50, 20.211, 21.598,   0.50
   0.60, 20.285, 22.521,   0.60
   0.71, 20.293, 23.270,   0.70
   0.81, 20.389, 23.565,   0.80
   0.91, 20.701, 25.176,   0.90
   1.01, 21.354, 27.693,   1.00
   1.11, 22.093, 29.632,   1.10
   1.21, 22.587, 30.951,   1.20
   1.31, 22.812, 31.826,   1.30
   1.41, 22.940, 32.100,   1.40
   1.51, 22.988, 32.428,   1.50
   1.61, 23.017, 32.683,   1.60
   1.71, 23.042, 32.795,   1.70
   1.81, 23.052, 32.869,   1.80
   1.92, 23.072, 32.943,   1.90
   2.02, 23.077, 32.995,   2.00
   2.12, 23.056, 33.013,   2.10
   2.22, 23.042, 33.027,   2.20
   2.32, 23.068, 33.056,   2.30
   2.42, 23.095, 33.092,   2.40
   2.52, 23.102, 33.115,   2.50
   2.62, 23.111, 33.125,   2.60
   2.72, 23.112, 33.139,   2.70
   2.82, 23.093, 33.159,   2.80
   2.92, 23.078, 33.148,   2.90
END_DATA
