CTD,20251127AORIOS
#Reference: 18November2013Sta.15.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20131118_0941_0
CASTNO = 1
DATE = 20131118
TIME = 0041
LATITUDE = 39.3322
LONGITUDE = 141.9022
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.555, 32.270,   0.00
   0.10, 14.436, 32.253,   0.10
   0.20, 14.389, 32.239,   0.20
   0.30, 14.338, 32.225,   0.30
   0.40, 14.262, 32.233,   0.40
   0.50, 14.175, 32.276,   0.50
   0.60, 14.191, 32.352,   0.60
   0.71, 14.287, 32.434,   0.70
   0.81, 14.389, 32.489,   0.80
   0.91, 14.481, 32.563,   0.90
   1.01, 14.592, 32.676,   1.00
   1.11, 14.763, 32.833,   1.10
   1.21, 14.884, 32.936,   1.20
   1.31, 14.963, 33.007,   1.30
   1.41, 14.994, 33.036,   1.40
   1.51, 14.960, 33.043,   1.50
   1.61, 14.917, 33.041,   1.60
   1.71, 14.947, 33.095,   1.70
   1.81, 15.220, 33.190,   1.80
   1.92, 15.462, 33.294,   1.90
   2.02, 15.602, 33.360,   2.00
   2.12, 15.657, 33.395,   2.10
   2.22, 15.680, 33.415,   2.20
   2.32, 15.728, 33.441,   2.30
   2.42, 15.772, 33.457,   2.40
   2.52, 15.786, 33.470,   2.50
   2.62, 15.799, 33.483,   2.60
   2.72, 15.808, 33.494,   2.70
   2.82, 15.809, 33.499,   2.80
   2.92, 15.807, 33.505,   2.90
   3.02, 15.803, 33.508,   3.00
   3.13, 15.801, 33.511,   3.10
   3.23, 15.799, 33.513,   3.20
   3.33, 15.799, 33.514,   3.30
   3.43, 15.799, 33.515,   3.40
   3.53, 15.796, 33.516,   3.50
   3.63, 15.793, 33.520,   3.60
   3.73, 15.791, 33.520,   3.70
   3.83, 15.790, 33.520,   3.80
   3.93, 15.787, 33.524,   3.90
   4.03, 15.787, 33.524,   4.00
   4.13, 15.786, 33.522,   4.10
   4.23, 15.785, 33.525,   4.20
   4.33, 15.779, 33.529,   4.30
   4.44, 15.774, 33.529,   4.40
   4.54, 15.774, 33.527,   4.50
   4.64, 15.773, 33.529,   4.60
   4.74, 15.772, 33.528,   4.70
   4.84, 15.771, 33.530,   4.80
   4.94, 15.770, 33.528,   4.90
   5.04, 15.770, 33.530,   5.00
   5.14, 15.770, 33.530,   5.10
   5.24, 15.767, 33.532,   5.20
   5.34, 15.766, 33.533,   5.30
   5.44, 15.764, 33.532,   5.40
   5.54, 15.762, 33.532,   5.50
   5.65, 15.762, 33.533,   5.60
   5.75, 15.764, 33.532,   5.70
   5.85, 15.764, 33.532,   5.80
   5.95, 15.765, 33.532,   5.90
   6.05, 15.766, 33.532,   6.00
   6.15, 15.764, 33.533,   6.10
   6.25, 15.765, 33.533,   6.20
   6.35, 15.766, 33.533,   6.30
   6.45, 15.766, 33.533,   6.40
   6.55, 15.766, 33.531,   6.50
   6.65, 15.766, 33.531,   6.60
   6.75, 15.766, 33.530,   6.70
END_DATA
