CTD,20251127AORIOS
#Reference: 20November2013Sta.N6.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20131120_1416_0
CASTNO = 1
DATE = 20131120
TIME = 0516
LATITUDE = 39.3310
LONGITUDE = 141.9053
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.582, 30.425,   0.00
   0.10, 14.622, 30.510,   0.10
   0.20, 14.741, 31.024,   0.20
   0.30, 14.903, 31.578,   0.30
   0.40, 15.079, 32.548,   0.40
   0.50, 15.099, 32.838,   0.50
   0.60, 15.113, 33.016,   0.60
   0.71, 15.112, 33.165,   0.70
   0.81, 15.108, 33.262,   0.80
   0.91, 15.106, 33.319,   0.90
   1.01, 15.105, 33.342,   1.00
   1.11, 15.105, 33.354,   1.10
   1.21, 15.105, 33.364,   1.20
   1.31, 15.105, 33.371,   1.30
   1.41, 15.104, 33.379,   1.40
   1.51, 15.104, 33.380,   1.50
   1.61, 15.103, 33.385,   1.60
   1.71, 15.102, 33.387,   1.70
   1.81, 15.103, 33.388,   1.80
   1.92, 15.102, 33.388,   1.90
   2.02, 15.103, 33.389,   2.00
   2.12, 15.102, 33.390,   2.10
   2.22, 15.102, 33.391,   2.20
   2.32, 15.102, 33.393,   2.30
   2.42, 15.103, 33.398,   2.40
   2.52, 15.103, 33.401,   2.50
   2.62, 15.104, 33.410,   2.60
   2.72, 15.103, 33.414,   2.70
   2.82, 15.105, 33.417,   2.80
   2.92, 15.107, 33.423,   2.90
   3.02, 15.107, 33.424,   3.00
   3.13, 15.108, 33.426,   3.10
   3.23, 15.110, 33.431,   3.20
   3.33, 15.111, 33.429,   3.30
   3.43, 15.113, 33.434,   3.40
   3.53, 15.113, 33.438,   3.50
   3.63, 15.111, 33.443,   3.60
   3.73, 15.109, 33.447,   3.70
   3.83, 15.108, 33.453,   3.80
   3.93, 15.110, 33.458,   3.90
   4.03, 15.117, 33.460,   4.00
   4.13, 15.119, 33.464,   4.10
   4.23, 15.120, 33.468,   4.20
   4.33, 15.115, 33.471,   4.30
   4.44, 15.113, 33.476,   4.40
   4.54, 15.094, 33.481,   4.50
   4.64, 15.089, 33.483,   4.60
   4.74, 15.090, 33.484,   4.70
   4.84, 15.090, 33.487,   4.80
   4.94, 15.090, 33.489,   4.90
   5.04, 15.090, 33.489,   5.00
   5.14, 15.090, 33.489,   5.10
   5.24, 15.089, 33.489,   5.20
   5.34, 15.087, 33.490,   5.30
   5.44, 15.087, 33.491,   5.40
   5.54, 15.087, 33.489,   5.50
   5.65, 15.087, 33.489,   5.60
   5.75, 15.083, 33.489,   5.70
   5.85, 15.082, 33.491,   5.80
   5.95, 15.077, 33.494,   5.90
   6.05, 15.087, 33.491,   6.00
   6.15, 15.111, 33.500,   6.10
   6.25, 15.116, 33.495,   6.20
   6.35, 15.128, 33.501,   6.30
   6.45, 15.121, 33.506,   6.40
   6.55, 15.129, 33.507,   6.50
   6.65, 15.130, 33.507,   6.60
   6.75, 15.127, 33.507,   6.70
   6.86, 15.128, 33.507,   6.80
   6.96, 15.127, 33.506,   6.90
   7.06, 15.127, 33.507,   7.00
   7.16, 15.123, 33.506,   7.10
   7.26, 15.120, 33.506,   7.20
   7.36, 15.119, 33.504,   7.30
   7.46, 15.114, 33.506,   7.40
   7.56, 15.109, 33.506,   7.50
   7.66, 15.108, 33.505,   7.60
   7.76, 15.109, 33.504,   7.70
   7.86, 15.105, 33.504,   7.80
   7.96, 15.108, 33.504,   7.90
   8.06, 15.105, 33.500,   8.00
   8.17, 15.090, 33.492,   8.10
   8.27, 15.060, 33.490,   8.20
   8.37, 15.049, 33.493,   8.30
   8.47, 15.036, 33.489,   8.40
   8.57, 15.026, 33.486,   8.50
   8.67, 15.017, 33.484,   8.60
   8.77, 15.013, 33.481,   8.70
   8.87, 15.011, 33.480,   8.80
   8.97, 15.013, 33.481,   8.90
   9.07, 15.013, 33.480,   9.00
   9.17, 15.012, 33.480,   9.10
   9.27, 15.013, 33.481,   9.20
   9.38, 15.014, 33.481,   9.30
   9.48, 15.015, 33.481,   9.40
   9.58, 15.017, 33.481,   9.50
   9.68, 15.017, 33.481,   9.60
   9.78, 15.017, 33.481,   9.70
END_DATA
