CTD,20251127AORIOS
#Reference: 22November2013H2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20131122_0904_0
CASTNO = 1
DATE = 20131122
TIME = 0004
LATITUDE = 39.3289
LONGITUDE = 141.9019
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.129, 32.953,   0.00
   0.10, 14.167, 33.019,   0.10
   0.20, 14.297, 33.094,   0.20
   0.30, 14.561, 33.160,   0.30
   0.40, 14.698, 33.244,   0.40
   0.50, 14.856, 33.334,   0.50
   0.60, 14.909, 33.357,   0.60
   0.71, 14.952, 33.401,   0.70
   0.81, 14.991, 33.430,   0.80
   0.91, 15.006, 33.441,   0.90
   1.01, 15.008, 33.452,   1.00
   1.11, 15.005, 33.458,   1.10
   1.21, 15.002, 33.462,   1.20
   1.31, 15.002, 33.468,   1.30
   1.41, 15.004, 33.468,   1.40
   1.51, 15.004, 33.470,   1.50
   1.61, 15.003, 33.472,   1.60
   1.71, 15.002, 33.473,   1.70
   1.81, 15.003, 33.471,   1.80
   1.92, 15.003, 33.474,   1.90
   2.02, 15.002, 33.474,   2.00
   2.12, 15.002, 33.476,   2.10
   2.22, 15.002, 33.475,   2.20
   2.32, 15.002, 33.474,   2.30
   2.42, 15.001, 33.477,   2.40
   2.52, 15.001, 33.477,   2.50
   2.62, 15.001, 33.477,   2.60
   2.72, 15.002, 33.480,   2.70
   2.82, 15.007, 33.480,   2.80
   2.92, 15.008, 33.479,   2.90
   3.02, 15.008, 33.479,   3.00
END_DATA
