CTD,20251127AORIOS
#Reference: 22November2013N2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20131122_0919_0
CASTNO = 1
DATE = 20131122
TIME = 0019
LATITUDE = 39.3294
LONGITUDE = 141.9062
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 14.738, 33.410,   0.00
   0.10, 14.754, 33.467,   0.10
   0.20, 14.754, 33.454,   0.20
   0.30, 14.747, 33.447,   0.30
   0.40, 14.749, 33.446,   0.40
   0.50, 14.801, 33.450,   0.50
   0.60, 14.847, 33.463,   0.60
   0.71, 14.857, 33.468,   0.70
   0.81, 14.861, 33.468,   0.80
   0.91, 14.861, 33.468,   0.90
   1.01, 14.864, 33.472,   1.00
   1.11, 14.871, 33.475,   1.10
   1.21, 14.873, 33.475,   1.20
   1.31, 14.872, 33.476,   1.30
   1.41, 14.871, 33.477,   1.40
   1.51, 14.872, 33.478,   1.50
   1.61, 14.872, 33.477,   1.60
   1.71, 14.871, 33.477,   1.70
   1.81, 14.872, 33.475,   1.80
   1.92, 14.872, 33.477,   1.90
   2.02, 14.873, 33.478,   2.00
   2.12, 14.873, 33.478,   2.10
   2.22, 14.872, 33.477,   2.20
   2.32, 14.872, 33.478,   2.30
   2.42, 14.871, 33.479,   2.40
   2.52, 14.870, 33.478,   2.50
   2.62, 14.869, 33.479,   2.60
   2.72, 14.870, 33.478,   2.70
   2.82, 14.867, 33.477,   2.80
   2.92, 14.865, 33.480,   2.90
   3.02, 14.863, 33.479,   3.00
   3.13, 14.863, 33.479,   3.10
   3.23, 14.858, 33.478,   3.20
END_DATA
