CTD,20251127AORIOS
#Reference: 21January2014(20140826修正）Sta.2p.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140121_0835_0
CASTNO = 1
DATE = 20140120
TIME = 2335
LATITUDE = 39.3421
LONGITUDE = 141.9478
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  8.478, 33.156,   0.00
   0.10,  8.500, 33.163,   0.10
   0.20,  8.501, 33.160,   0.20
   0.30,  8.499, 33.171,   0.30
   0.40,  8.506, 33.169,   0.40
   0.50,  8.505, 33.172,   0.50
   0.60,  8.505, 33.173,   0.60
   0.71,  8.507, 33.174,   0.70
   0.81,  8.511, 33.174,   0.80
   0.91,  8.518, 33.175,   0.90
   1.01,  8.522, 33.176,   1.00
   1.11,  8.525, 33.178,   1.10
   1.21,  8.527, 33.179,   1.20
   1.31,  8.527, 33.178,   1.30
   1.41,  8.530, 33.183,   1.40
   1.51,  8.531, 33.190,   1.50
   1.61,  8.549, 33.189,   1.60
   1.71,  8.556, 33.194,   1.70
   1.81,  8.560, 33.200,   1.80
   1.92,  8.575, 33.213,   1.90
   2.02,  8.593, 33.219,   2.00
   2.12,  8.616, 33.225,   2.10
   2.22,  8.645, 33.231,   2.20
   2.32,  8.677, 33.241,   2.30
   2.42,  8.701, 33.261,   2.40
   2.52,  8.838, 33.267,   2.50
   2.62,  9.036, 33.350,   2.60
   2.72,  9.054, 33.391,   2.70
   2.82,  9.096, 33.410,   2.80
   2.92,  9.113, 33.424,   2.90
   3.02,  9.115, 33.437,   3.00
   3.13,  9.142, 33.452,   3.10
   3.23,  9.170, 33.452,   3.20
   3.33,  9.195, 33.456,   3.30
   3.43,  9.220, 33.468,   3.40
   3.53,  9.266, 33.487,   3.50
   3.63,  9.287, 33.494,   3.60
   3.73,  9.296, 33.495,   3.70
   3.83,  9.299, 33.507,   3.80
   3.93,  9.301, 33.512,   3.90
   4.03,  9.305, 33.514,   4.00
   4.13,  9.362, 33.553,   4.10
   4.23,  9.416, 33.553,   4.20
   4.33,  9.470, 33.561,   4.30
   4.44,  9.482, 33.565,   4.40
   4.54,  9.492, 33.568,   4.50
   4.64,  9.500, 33.576,   4.60
   4.74,  9.495, 33.581,   4.70
   4.84,  9.481, 33.580,   4.80
   4.94,  9.476, 33.576,   4.90
   5.04,  9.471, 33.577,   5.00
   5.14,  9.473, 33.574,   5.10
   5.24,  9.480, 33.575,   5.20
   5.34,  9.481, 33.580,   5.30
   5.44,  9.508, 33.568,   5.40
   5.54,  9.537, 33.579,   5.50
   5.65,  9.550, 33.537,   5.60
   5.75,  9.538, 33.568,   5.70
   5.85,  9.544, 33.591,   5.80
   5.95,  9.550, 33.595,   5.90
   6.05,  9.551, 33.598,   6.00
   6.15,  9.552, 33.598,   6.10
   6.25,  9.550, 33.593,   6.20
   6.35,  9.541, 33.590,   6.30
   6.45,  9.528, 33.592,   6.40
   6.55,  9.506, 33.591,   6.50
   6.65,  9.498, 33.587,   6.60
   6.75,  9.494, 33.587,   6.70
   6.86,  9.494, 33.590,   6.80
   6.96,  9.495, 33.591,   6.90
   7.06,  9.503, 33.590,   7.00
   7.16,  9.515, 33.590,   7.10
   7.26,  9.516, 33.590,   7.20
   7.36,  9.509, 33.590,   7.30
   7.46,  9.502, 33.591,   7.40
   7.56,  9.499, 33.585,   7.50
   7.66,  9.500, 33.591,   7.60
   7.76,  9.502, 33.587,   7.70
   7.86,  9.502, 33.587,   7.80
   7.96,  9.511, 33.594,   7.90
   8.06,  9.517, 33.596,   8.00
   8.17,  9.518, 33.593,   8.10
   8.27,  9.517, 33.593,   8.20
   8.37,  9.518, 33.592,   8.30
   8.47,  9.513, 33.593,   8.40
   8.57,  9.513, 33.593,   8.50
   8.67,  9.516, 33.598,   8.60
   8.77,  9.520, 33.600,   8.70
   8.87,  9.523, 33.598,   8.80
   8.97,  9.523, 33.597,   8.90
