CTD,20251127AORIOS
#Reference: 21January2014(20140826修正）Sta.7.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140121_0917_0
CASTNO = 1
DATE = 20140121
TIME = 0017
LATITUDE = 39.3444
LONGITUDE = 141.9248
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  9.151, 33.089,   0.00
   0.10,  9.174, 33.099,   0.10
   0.20,  9.177, 33.114,   0.20
   0.30,  9.188, 33.131,   0.30
   0.40,  9.196, 33.154,   0.40
   0.50,  9.209, 33.167,   0.50
   0.60,  9.220, 33.184,   0.60
   0.71,  9.238, 33.205,   0.70
   0.81,  9.245, 33.213,   0.80
   0.91,  9.264, 33.232,   0.90
   1.01,  9.302, 33.323,   1.00
   1.11,  9.339, 33.376,   1.10
   1.21,  9.385, 33.420,   1.20
   1.31,  9.404, 33.437,   1.30
   1.41,  9.405, 33.454,   1.40
   1.51,  9.421, 33.477,   1.50
   1.61,  9.446, 33.487,   1.60
   1.71,  9.458, 33.488,   1.70
   1.81,  9.459, 33.496,   1.80
   1.92,  9.463, 33.500,   1.90
   2.02,  9.463, 33.513,   2.00
   2.12,  9.464, 33.521,   2.10
   2.22,  9.464, 33.530,   2.20
   2.32,  9.471, 33.532,   2.30
   2.42,  9.481, 33.535,   2.40
   2.52,  9.487, 33.541,   2.50
   2.62,  9.492, 33.553,   2.60
   2.72,  9.502, 33.549,   2.70
   2.82,  9.520, 33.559,   2.80
   2.92,  9.540, 33.573,   2.90
   3.02,  9.572, 33.587,   3.00
   3.13,  9.591, 33.604,   3.10
   3.23,  9.593, 33.608,   3.20
   3.33,  9.599, 33.607,   3.30
   3.43,  9.603, 33.606,   3.40
   3.53,  9.603, 33.607,   3.50
   3.63,  9.603, 33.614,   3.60
   3.73,  9.600, 33.616,   3.70
   3.83,  9.598, 33.615,   3.80
   3.93,  9.596, 33.619,   3.90
   4.03,  9.593, 33.621,   4.00
   4.13,  9.590, 33.620,   4.10
   4.23,  9.589, 33.620,   4.20
   4.33,  9.587, 33.621,   4.30
   4.44,  9.583, 33.623,   4.40
   4.54,  9.582, 33.621,   4.50
   4.64,  9.589, 33.623,   4.60
   4.74,  9.596, 33.622,   4.70
   4.84,  9.597, 33.624,   4.80
   4.94,  9.598, 33.624,   4.90
   5.04,  9.605, 33.628,   5.00
   5.14,  9.607, 33.630,   5.10
   5.24,  9.604, 33.631,   5.20
   5.34,  9.603, 33.632,   5.30
   5.44,  9.603, 33.630,   5.40
   5.54,  9.603, 33.632,   5.50
   5.65,  9.603, 33.633,   5.60
   5.75,  9.603, 33.632,   5.70
   5.85,  9.603, 33.633,   5.80
   5.95,  9.603, 33.632,   5.90
   6.05,  9.602, 33.633,   6.00
   6.15,  9.602, 33.633,   6.10
   6.25,  9.602, 33.631,   6.20
   6.35,  9.602, 33.634,   6.30
   6.45,  9.602, 33.635,   6.40
   6.55,  9.602, 33.635,   6.50
   6.65,  9.602, 33.635,   6.60
   6.75,  9.601, 33.634,   6.70
   6.86,  9.600, 33.637,   6.80
   6.96,  9.599, 33.636,   6.90
   7.06,  9.598, 33.636,   7.00
   7.16,  9.597, 33.635,   7.10
   7.26,  9.596, 33.638,   7.20
   7.36,  9.596, 33.636,   7.30
   7.46,  9.596, 33.636,   7.40
   7.56,  9.596, 33.637,   7.50
   7.66,  9.596, 33.638,   7.60
   7.76,  9.596, 33.639,   7.70
   7.86,  9.596, 33.640,   7.80
   7.96,  9.595, 33.639,   7.90
   8.06,  9.593, 33.642,   8.00
   8.17,  9.593, 33.639,   8.10
   8.27,  9.592, 33.641,   8.20
   8.37,  9.593, 33.639,   8.30
   8.47,  9.592, 33.641,   8.40
   8.57,  9.591, 33.643,   8.50
   8.67,  9.590, 33.643,   8.60
   8.77,  9.589, 33.643,   8.70
   8.87,  9.589, 33.643,   8.80
   8.97,  9.589, 33.643,   8.90
   9.07,  9.589, 33.642,   9.00
   9.17,  9.589, 33.644,   9.10
