CTD,20251127AORIOS
#Reference: 21January2014(20140826修正）Sta.A4.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140121_1513_0
CASTNO = 1
DATE = 20140121
TIME = 0613
LATITUDE = 39.3394
LONGITUDE = 141.9036
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  9.670, 33.504,   0.00
   0.10,  9.672, 33.505,   0.10
   0.20,  9.670, 33.517,   0.20
   0.30,  9.672, 33.528,   0.30
   0.40,  9.673, 33.530,   0.40
   0.50,  9.660, 33.529,   0.50
   0.60,  9.651, 33.528,   0.60
   0.71,  9.645, 33.534,   0.70
   0.81,  9.646, 33.546,   0.80
   0.91,  9.648, 33.546,   0.90
   1.01,  9.659, 33.543,   1.00
   1.11,  9.666, 33.540,   1.10
   1.21,  9.669, 33.540,   1.20
   1.31,  9.671, 33.537,   1.30
   1.41,  9.672, 33.536,   1.40
   1.51,  9.673, 33.536,   1.50
   1.61,  9.669, 33.540,   1.60
   1.71,  9.663, 33.543,   1.70
   1.81,  9.660, 33.544,   1.80
   1.92,  9.659, 33.546,   1.90
   2.02,  9.660, 33.546,   2.00
   2.12,  9.662, 33.543,   2.10
   2.22,  9.663, 33.545,   2.20
   2.32,  9.663, 33.546,   2.30
   2.42,  9.663, 33.544,   2.40
   2.52,  9.663, 33.544,   2.50
   2.62,  9.664, 33.546,   2.60
   2.72,  9.665, 33.544,   2.70
   2.82,  9.666, 33.541,   2.80
   2.92,  9.666, 33.541,   2.90
   3.02,  9.663, 33.545,   3.00
   3.13,  9.660, 33.544,   3.10
   3.23,  9.657, 33.545,   3.20
   3.33,  9.656, 33.545,   3.30
   3.43,  9.654, 33.548,   3.40
   3.53,  9.656, 33.546,   3.50
   3.63,  9.653, 33.546,   3.60
   3.73,  9.652, 33.547,   3.70
   3.83,  9.649, 33.548,   3.80
   3.93,  9.646, 33.549,   3.90
   4.03,  9.649, 33.547,   4.00
   4.13,  9.648, 33.548,   4.10
   4.23,  9.644, 33.548,   4.20
   4.33,  9.641, 33.551,   4.30
   4.44,  9.636, 33.556,   4.40
   4.54,  9.635, 33.558,   4.50
   4.64,  9.628, 33.559,   4.60
   4.74,  9.621, 33.560,   4.70
   4.84,  9.620, 33.559,   4.80
   4.94,  9.614, 33.561,   4.90
   5.04,  9.605, 33.566,   5.00
   5.14,  9.600, 33.568,   5.10
   5.24,  9.582, 33.575,   5.20
END_DATA
