CTD,20251127AORIOS
#Reference: 22January2014Sta.A3.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140122_0906_0
CASTNO = 1
DATE = 20140122
TIME = 0006
LATITUDE = 39.3537
LONGITUDE = 141.9124
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  7.368, 18.339,   0.00
   0.10,  7.261, 18.201,   0.10
   0.20,  7.282, 18.293,   0.20
   0.30,  7.746, 21.356,   0.30
   0.40,  8.426, 27.538,   0.40
   0.50,  8.832, 30.255,   0.50
   0.60,  9.096, 31.572,   0.60
   0.71,  9.393, 32.565,   0.70
   0.81,  9.544, 33.047,   0.80
   0.91,  9.616, 33.310,   0.90
   1.01,  9.636, 33.418,   1.00
   1.11,  9.640, 33.498,   1.10
   1.21,  9.638, 33.538,   1.20
   1.31,  9.632, 33.565,   1.30
   1.41,  9.629, 33.574,   1.40
   1.51,  9.630, 33.584,   1.50
   1.61,  9.630, 33.589,   1.60
   1.71,  9.623, 33.596,   1.70
   1.81,  9.617, 33.597,   1.80
   1.92,  9.613, 33.603,   1.90
   2.02,  9.609, 33.604,   2.00
   2.12,  9.607, 33.606,   2.10
   2.22,  9.611, 33.609,   2.20
   2.32,  9.619, 33.613,   2.30
   2.42,  9.627, 33.615,   2.40
   2.52,  9.631, 33.617,   2.50
   2.62,  9.631, 33.622,   2.60
   2.72,  9.631, 33.624,   2.70
   2.82,  9.631, 33.629,   2.80
   2.92,  9.630, 33.630,   2.90
   3.02,  9.629, 33.630,   3.00
   3.13,  9.628, 33.631,   3.10
   3.23,  9.628, 33.632,   3.20
   3.33,  9.628, 33.630,   3.30
   3.43,  9.626, 33.630,   3.40
   3.53,  9.627, 33.627,   3.50
   3.63,  9.627, 33.628,   3.60
   3.73,  9.626, 33.631,   3.70
   3.83,  9.626, 33.632,   3.80
   3.93,  9.625, 33.635,   3.90
   4.03,  9.625, 33.636,   4.00
   4.13,  9.625, 33.636,   4.10
   4.23,  9.624, 33.638,   4.20
   4.33,  9.624, 33.637,   4.30
   4.44,  9.624, 33.638,   4.40
   4.54,  9.624, 33.639,   4.50
   4.64,  9.625, 33.640,   4.60
   4.74,  9.624, 33.639,   4.70
   4.84,  9.624, 33.638,   4.80
   4.94,  9.624, 33.639,   4.90
   5.04,  9.624, 33.640,   5.00
   5.14,  9.624, 33.640,   5.10
   5.24,  9.626, 33.640,   5.20
END_DATA
