CTD,20251127AORIOS
#Reference: 03March2014Sta.A4.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140303_0953_0
CASTNO = 1
DATE = 20140303
TIME = 0053
LATITUDE = 39.3394
LONGITUDE = 141.9036
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  5.307, 26.629,   0.00
   0.10,  5.327, 26.653,   0.10
   0.20,  5.597, 26.958,   0.20
   0.30,  5.719, 27.274,   0.30
   0.40,  5.933, 28.278,   0.40
   0.50,  6.369, 29.910,   0.50
   0.60,  6.580, 30.940,   0.60
   0.71,  6.731, 31.668,   0.70
   0.81,  6.791, 31.989,   0.80
   0.91,  6.838, 32.290,   0.90
   1.01,  6.865, 32.501,   1.00
   1.11,  6.866, 32.618,   1.10
   1.21,  6.869, 32.707,   1.20
   1.31,  6.889, 32.777,   1.30
   1.41,  6.905, 32.820,   1.40
   1.51,  6.917, 32.843,   1.50
   1.61,  6.932, 32.884,   1.60
   1.71,  6.901, 32.918,   1.70
   1.81,  6.845, 32.931,   1.80
   1.92,  6.727, 32.945,   1.90
   2.02,  6.647, 32.963,   2.00
   2.12,  6.605, 32.978,   2.10
   2.22,  6.650, 32.990,   2.20
   2.32,  6.800, 32.995,   2.30
   2.42,  6.894, 33.018,   2.40
   2.52,  6.925, 33.047,   2.50
   2.62,  6.961, 33.079,   2.60
   2.72,  6.978, 33.110,   2.70
   2.82,  6.981, 33.131,   2.80
   2.92,  6.984, 33.151,   2.90
   3.02,  6.990, 33.162,   3.00
   3.13,  7.001, 33.175,   3.10
   3.23,  7.009, 33.188,   3.20
   3.33,  7.023, 33.203,   3.30
   3.43,  7.037, 33.220,   3.40
   3.53,  7.038, 33.224,   3.50
   3.63,  7.045, 33.230,   3.60
   3.73,  7.065, 33.225,   3.70
   3.83,  7.078, 33.232,   3.80
   3.93,  7.089, 33.234,   3.90
   4.03,  7.090, 33.236,   4.00
   4.13,  7.089, 33.236,   4.10
   4.23,  7.069, 33.229,   4.20
END_DATA
