CTD,20251127AORIOS
#Reference: 04March2014Sta.11(2).csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140304_1006_0
CASTNO = 1
DATE = 20140304
TIME = 0106
LATITUDE = 39.3363
LONGITUDE = 141.9130
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  6.840, 32.886,   0.00
   0.10,  6.841, 32.890,   0.10
   0.20,  6.843, 32.899,   0.20
   0.30,  6.844, 32.903,   0.30
   0.40,  6.846, 32.915,   0.40
   0.50,  6.847, 32.918,   0.50
   0.60,  6.848, 32.937,   0.60
   0.71,  6.852, 32.961,   0.70
   0.81,  6.855, 32.974,   0.80
   0.91,  6.857, 32.980,   0.90
   1.01,  6.856, 32.977,   1.00
   1.11,  6.859, 32.983,   1.10
   1.21,  6.860, 32.991,   1.20
   1.31,  6.862, 33.011,   1.30
   1.41,  6.865, 33.030,   1.40
   1.51,  6.865, 33.027,   1.50
   1.61,  6.868, 33.047,   1.60
   1.71,  6.874, 33.087,   1.70
   1.81,  6.877, 33.110,   1.80
   1.92,  6.877, 33.115,   1.90
   2.02,  6.876, 33.112,   2.00
   2.12,  6.876, 33.113,   2.10
   2.22,  6.881, 33.125,   2.20
   2.32,  6.887, 33.136,   2.30
   2.42,  6.889, 33.142,   2.40
   2.52,  6.891, 33.144,   2.50
   2.62,  6.891, 33.149,   2.60
   2.72,  6.895, 33.151,   2.70
   2.82,  6.897, 33.151,   2.80
   2.92,  6.899, 33.153,   2.90
   3.02,  6.901, 33.154,   3.00
   3.13,  6.901, 33.162,   3.10
   3.23,  6.901, 33.166,   3.20
   3.33,  6.900, 33.171,   3.30
   3.43,  6.901, 33.171,   3.40
   3.53,  6.903, 33.175,   3.50
   3.63,  6.904, 33.177,   3.60
   3.73,  6.904, 33.173,   3.70
   3.83,  6.905, 33.209,   3.80
   3.93,  6.899, 33.268,   3.90
   4.03,  6.889, 33.306,   4.00
   4.13,  6.872, 33.338,   4.10
   4.23,  6.852, 33.361,   4.20
   4.33,  6.836, 33.376,   4.30
   4.44,  6.832, 33.379,   4.40
   4.54,  6.827, 33.384,   4.50
   4.64,  6.825, 33.386,   4.60
   4.74,  6.821, 33.388,   4.70
   4.84,  6.815, 33.390,   4.80
   4.94,  6.807, 33.396,   4.90
   5.04,  6.809, 33.393,   5.00
   5.14,  6.807, 33.394,   5.10
   5.24,  6.804, 33.395,   5.20
   5.34,  6.804, 33.395,   5.30
   5.44,  6.801, 33.398,   5.40
   5.54,  6.798, 33.403,   5.50
   5.65,  6.796, 33.405,   5.60
   5.75,  6.791, 33.406,   5.70
   5.85,  6.787, 33.409,   5.80
   5.95,  6.783, 33.410,   5.90
   6.05,  6.779, 33.414,   6.00
   6.15,  6.772, 33.419,   6.10
   6.25,  6.760, 33.428,   6.20
   6.35,  6.756, 33.431,   6.30
   6.45,  6.755, 33.431,   6.40
   6.55,  6.755, 33.431,   6.50
   6.65,  6.754, 33.432,   6.60
   6.75,  6.751, 33.435,   6.70
   6.86,  6.747, 33.437,   6.80
   6.96,  6.747, 33.438,   6.90
   7.06,  6.743, 33.438,   7.00
   7.16,  6.744, 33.440,   7.10
   7.26,  6.744, 33.441,   7.20
   7.36,  6.746, 33.441,   7.30
   7.46,  6.747, 33.441,   7.40
   7.56,  6.747, 33.446,   7.50
   7.66,  6.748, 33.453,   7.60
   7.76,  6.751, 33.454,   7.70
   7.86,  6.752, 33.455,   7.80
   7.96,  6.752, 33.455,   7.90
   8.06,  6.750, 33.456,   8.00
   8.17,  6.747, 33.458,   8.10
   8.27,  6.746, 33.458,   8.20
   8.37,  6.741, 33.459,   8.30
   8.47,  6.739, 33.458,   8.40
   8.57,  6.739, 33.460,   8.50
   8.67,  6.740, 33.460,   8.60
   8.77,  6.742, 33.461,   8.70
   8.87,  6.741, 33.461,   8.80
   8.97,  6.743, 33.460,   8.90
   9.07,  6.743, 33.460,   9.00
   9.17,  6.743, 33.461,   9.10
   9.27,  6.743, 33.461,   9.20
   9.38,  6.755, 33.458,   9.30
   9.48,  6.767, 33.470,   9.40
   9.58,  6.788, 33.474,   9.50
   9.68,  6.800, 33.468,   9.60
   9.78,  6.804, 33.472,   9.70
   9.88,  6.815, 33.474,   9.80
   9.98,  6.820, 33.473,   9.90
  10.08,  6.822, 33.474,  10.00
  10.18,  6.823, 33.473,  10.10
  10.28,  6.824, 33.473,  10.20
  10.38,  6.824, 33.474,  10.30
  10.48,  6.824, 33.473,  10.40
  10.59,  6.822, 33.476,  10.50
  10.69,  6.817, 33.474,  10.60
  10.79,  6.808, 33.473,  10.70
  10.89,  6.803, 33.473,  10.80
  10.99,  6.800, 33.474,  10.90
  11.09,  6.800, 33.473,  11.00
  11.19,  6.800, 33.472,  11.10
  11.29,  6.798, 33.472,  11.20
  11.39,  6.796, 33.473,  11.30
  11.49,  6.792, 33.474,  11.40
  11.59,  6.795, 33.474,  11.50
  11.69,  6.796, 33.476,  11.60
  11.80,  6.797, 33.475,  11.70
  11.90,  6.796, 33.474,  11.80
  12.00,  6.794, 33.474,  11.90
  12.10,  6.790, 33.475,  12.00
  12.20,  6.785, 33.476,  12.10
  12.30,  6.776, 33.475,  12.20
  12.40,  6.770, 33.476,  12.30
  12.50,  6.764, 33.477,  12.40
  12.60,  6.762, 33.474,  12.50
  12.70,  6.761, 33.474,  12.60
  12.80,  6.759, 33.474,  12.70
  12.90,  6.759, 33.474,  12.80
  13.00,  6.759, 33.472,  12.90
  13.11,  6.756, 33.475,  13.00
  13.21,  6.753, 33.475,  13.10
