CTD,20251127AORIOS
#Reference: 04March2014Sta.7.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140304_1431_0
CASTNO = 1
DATE = 20140304
TIME = 0531
LATITUDE = 39.3444
LONGITUDE = 141.9248
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00,  6.704, 33.134,   0.00
   0.10,  6.703, 33.147,   0.10
   0.20,  6.703, 33.147,   0.20
   0.30,  6.703, 33.150,   0.30
   0.40,  6.702, 33.156,   0.40
   0.50,  6.703, 33.152,   0.50
   0.60,  6.703, 33.153,   0.60
   0.71,  6.702, 33.153,   0.70
   0.81,  6.701, 33.155,   0.80
   0.91,  6.702, 33.157,   0.90
   1.01,  6.703, 33.157,   1.00
   1.11,  6.703, 33.161,   1.10
   1.21,  6.705, 33.171,   1.20
   1.31,  6.706, 33.174,   1.30
   1.41,  6.704, 33.170,   1.40
   1.51,  6.703, 33.170,   1.50
   1.61,  6.705, 33.171,   1.60
   1.71,  6.706, 33.172,   1.70
   1.81,  6.706, 33.170,   1.80
   1.92,  6.706, 33.173,   1.90
   2.02,  6.706, 33.177,   2.00
   2.12,  6.711, 33.205,   2.10
   2.22,  6.719, 33.230,   2.20
   2.32,  6.729, 33.267,   2.30
   2.42,  6.734, 33.300,   2.40
   2.52,  6.736, 33.307,   2.50
   2.62,  6.742, 33.326,   2.60
   2.72,  6.748, 33.347,   2.70
   2.82,  6.755, 33.370,   2.80
   2.92,  6.763, 33.387,   2.90
   3.02,  6.767, 33.399,   3.00
   3.13,  6.767, 33.403,   3.10
   3.23,  6.767, 33.409,   3.20
   3.33,  6.766, 33.410,   3.30
   3.43,  6.766, 33.411,   3.40
   3.53,  6.765, 33.410,   3.50
   3.63,  6.764, 33.411,   3.60
   3.73,  6.762, 33.416,   3.70
   3.83,  6.761, 33.414,   3.80
   3.93,  6.760, 33.416,   3.90
   4.03,  6.760, 33.417,   4.00
   4.13,  6.761, 33.420,   4.10
   4.23,  6.763, 33.420,   4.20
   4.33,  6.763, 33.422,   4.30
   4.44,  6.763, 33.423,   4.40
   4.54,  6.763, 33.425,   4.50
   4.64,  6.764, 33.428,   4.60
   4.74,  6.764, 33.431,   4.70
   4.84,  6.761, 33.431,   4.80
   4.94,  6.752, 33.432,   4.90
   5.04,  6.751, 33.441,   5.00
   5.14,  6.751, 33.437,   5.10
   5.24,  6.747, 33.444,   5.20
   5.34,  6.750, 33.447,   5.30
   5.44,  6.750, 33.448,   5.40
   5.54,  6.749, 33.452,   5.50
   5.65,  6.749, 33.450,   5.60
   5.75,  6.748, 33.450,   5.70
   5.85,  6.749, 33.451,   5.80
   5.95,  6.749, 33.450,   5.90
   6.05,  6.746, 33.452,   6.00
   6.15,  6.743, 33.453,   6.10
   6.25,  6.743, 33.453,   6.20
   6.35,  6.743, 33.453,   6.30
   6.45,  6.749, 33.455,   6.40
   6.55,  6.751, 33.455,   6.50
   6.65,  6.751, 33.456,   6.60
   6.75,  6.750, 33.456,   6.70
   6.86,  6.748, 33.455,   6.80
   6.96,  6.748, 33.455,   6.90
   7.06,  6.747, 33.455,   7.00
   7.16,  6.740, 33.457,   7.10
   7.26,  6.733, 33.458,   7.20
   7.36,  6.729, 33.459,   7.30
   7.46,  6.727, 33.460,   7.40
   7.56,  6.727, 33.460,   7.50
   7.66,  6.726, 33.461,   7.60
   7.76,  6.725, 33.460,   7.70
   7.86,  6.717, 33.462,   7.80
   7.96,  6.712, 33.461,   7.90
   8.06,  6.712, 33.462,   8.00
   8.17,  6.715, 33.461,   8.10
   8.27,  6.715, 33.462,   8.20
   8.37,  6.715, 33.461,   8.30
   8.47,  6.713, 33.461,   8.40
   8.57,  6.713, 33.462,   8.50
   8.67,  6.715, 33.463,   8.60
   8.77,  6.715, 33.463,   8.70
   8.87,  6.714, 33.463,   8.80
   8.97,  6.712, 33.463,   8.90
   9.07,  6.711, 33.464,   9.00
   9.17,  6.711, 33.462,   9.10
   9.27,  6.711, 33.462,   9.20
   9.38,  6.711, 33.463,   9.30
   9.48,  6.710, 33.463,   9.40
   9.58,  6.708, 33.463,   9.50
   9.68,  6.709, 33.462,   9.60
   9.78,  6.710, 33.463,   9.70
   9.88,  6.710, 33.463,   9.80
   9.98,  6.710, 33.462,   9.90
  10.08,  6.710, 33.465,  10.00
  10.18,  6.711, 33.463,  10.10
  10.28,  6.715, 33.466,  10.20
  10.38,  6.716, 33.463,  10.30
  10.48,  6.718, 33.464,  10.40
  10.59,  6.718, 33.464,  10.50
  10.69,  6.719, 33.463,  10.60
  10.79,  6.718, 33.464,  10.70
  10.89,  6.719, 33.463,  10.80
  10.99,  6.718, 33.465,  10.90
  11.09,  6.719, 33.463,  11.00
  11.19,  6.718, 33.464,  11.10
  11.29,  6.718, 33.462,  11.20
  11.39,  6.717, 33.464,  11.30
  11.49,  6.717, 33.463,  11.40
  11.59,  6.717, 33.463,  11.50
  11.69,  6.717, 33.462,  11.60
  11.80,  6.716, 33.464,  11.70
  11.90,  6.716, 33.465,  11.80
  12.00,  6.717, 33.465,  11.90
  12.10,  6.718, 33.463,  12.00
  12.20,  6.719, 33.464,  12.10
  12.30,  6.719, 33.464,  12.20
  12.40,  6.719, 33.466,  12.30
  12.50,  6.721, 33.464,  12.40
  12.60,  6.721, 33.466,  12.50
  12.70,  6.719, 33.466,  12.60
  12.80,  6.709, 33.468,  12.70
  12.90,  6.695, 33.469,  12.80
  13.00,  6.688, 33.470,  12.90
  13.11,  6.682, 33.469,  13.00
  13.21,  6.681, 33.471,  13.10
  13.31,  6.679, 33.469,  13.20
  13.41,  6.678, 33.470,  13.30
  13.51,  6.678, 33.469,  13.40
  13.61,  6.675, 33.470,  13.50
  13.71,  6.673, 33.471,  13.60
  13.81,  6.672, 33.472,  13.70
  13.91,  6.671, 33.472,  13.80
  14.01,  6.670, 33.472,  13.90
  14.11,  6.670, 33.472,  14.00
  14.21,  6.667, 33.472,  14.10
  14.32,  6.666, 33.471,  14.20
  14.42,  6.666, 33.471,  14.30
  14.52,  6.667, 33.470,  14.40
  14.62,  6.668, 33.470,  14.50
  14.72,  6.667, 33.470,  14.60
  14.82,  6.666, 33.471,  14.70
  14.92,  6.666, 33.471,  14.80
  15.02,  6.666, 33.472,  14.90
  15.12,  6.666, 33.472,  15.00
  15.22,  6.666, 33.471,  15.10
  15.32,  6.667, 33.470,  15.20
  15.42,  6.667, 33.471,  15.30
  15.53,  6.667, 33.472,  15.40
  15.63,  6.667, 33.471,  15.50
  15.73,  6.668, 33.471,  15.60
  15.83,  6.669, 33.471,  15.70
  15.93,  6.669, 33.471,  15.80
  16.03,  6.669, 33.472,  15.90
  16.13,  6.669, 33.470,  16.00
  16.23,  6.670, 33.470,  16.10
  16.33,  6.670, 33.471,  16.20
  16.43,  6.669, 33.473,  16.30
  16.53,  6.670, 33.472,  16.40
  16.63,  6.670, 33.473,  16.50
  16.74,  6.670, 33.473,  16.60
  16.84,  6.670, 33.472,  16.70
  16.94,  6.670, 33.473,  16.80
  17.04,  6.673, 33.472,  16.90
  17.14,  6.673, 33.474,  17.00
  17.24,  6.673, 33.473,  17.10
  17.34,  6.674, 33.473,  17.20
  17.44,  6.675, 33.473,  17.30
  17.54,  6.674, 33.475,  17.40
  17.64,  6.675, 33.474,  17.50
  17.74,  6.676, 33.475,  17.60
  17.84,  6.676, 33.475,  17.70
  17.94,  6.676, 33.476,  17.80
  18.05,  6.676, 33.475,  17.90
  18.15,  6.676, 33.474,  18.00
  18.25,  6.676, 33.474,  18.10
  18.35,  6.676, 33.474,  18.20
  18.45,  6.676, 33.476,  18.30
  18.55,  6.676, 33.474,  18.40
  18.65,  6.676, 33.475,  18.50
  18.75,  6.677, 33.476,  18.60
  18.85,  6.677, 33.475,  18.70
  18.95,  6.677, 33.476,  18.80
  19.05,  6.677, 33.474,  18.90
  19.15,  6.677, 33.474,  19.00
  19.26,  6.677, 33.476,  19.10
  19.36,  6.676, 33.476,  19.20
  19.46,  6.675, 33.476,  19.30
  19.56,  6.674, 33.477,  19.40
  19.66,  6.671, 33.477,  19.50
  19.76,  6.668, 33.478,  19.60
  19.86,  6.667, 33.476,  19.70
  19.96,  6.667, 33.475,  19.80
  20.06,  6.668, 33.477,  19.90
  20.16,  6.666, 33.477,  20.00
  20.26,  6.666, 33.477,  20.10
  20.36,  6.666, 33.478,  20.20
  20.47,  6.668, 33.478,  20.30
  20.57,  6.670, 33.478,  20.40
  20.67,  6.671, 33.477,  20.50
  20.77,  6.671, 33.477,  20.60
  20.87,  6.666, 33.476,  20.70
  20.97,  6.661, 33.478,  20.80
  21.07,  6.658, 33.477,  20.90
  21.17,  6.657, 33.477,  21.00
  21.27,  6.656, 33.477,  21.10
  21.37,  6.654, 33.477,  21.20
  21.47,  6.653, 33.477,  21.30
  21.57,  6.654, 33.477,  21.40
  21.68,  6.653, 33.476,  21.50
  21.78,  6.649, 33.478,  21.60
  21.88,  6.645, 33.477,  21.70
  21.98,  6.638, 33.476,  21.80
  22.08,  6.636, 33.475,  21.90
  22.18,  6.633, 33.475,  22.00
  22.28,  6.633, 33.476,  22.10
  22.38,  6.629, 33.474,  22.20
  22.48,  6.627, 33.475,  22.30
  22.58,  6.625, 33.475,  22.40
  22.68,  6.624, 33.474,  22.50
  22.78,  6.622, 33.475,  22.60
  22.88,  6.623, 33.476,  22.70
  22.99,  6.623, 33.474,  22.80
  23.09,  6.623, 33.475,  22.90
  23.19,  6.621, 33.475,  23.00
  23.29,  6.617, 33.476,  23.10
  23.39,  6.614, 33.474,  23.20
  23.49,  6.613, 33.474,  23.30
  23.59,  6.611, 33.475,  23.40
  23.69,  6.610, 33.474,  23.50
  23.79,  6.610, 33.474,  23.60
  23.89,  6.609, 33.475,  23.70
  23.99,  6.609, 33.475,  23.80
  24.09,  6.609, 33.475,  23.90
  24.20,  6.608, 33.474,  24.00
  24.30,  6.607, 33.475,  24.10
  24.40,  6.606, 33.473,  24.20
  24.50,  6.604, 33.473,  24.30
  24.60,  6.602, 33.473,  24.40
  24.70,  6.601, 33.474,  24.50
  24.80,  6.600, 33.473,  24.60
  24.90,  6.598, 33.472,  24.70
  25.00,  6.597, 33.473,  24.80
  25.10,  6.597, 33.475,  24.90
  25.20,  6.596, 33.476,  25.00
  25.30,  6.596, 33.474,  25.10
  25.41,  6.596, 33.472,  25.20
  25.51,  6.596, 33.473,  25.30
  25.61,  6.596, 33.473,  25.40
  25.71,  6.596, 33.473,  25.50
  25.81,  6.596, 33.473,  25.60
  25.91,  6.596, 33.473,  25.70
  26.01,  6.596, 33.472,  25.80
  26.11,  6.596, 33.474,  25.90
  26.21,  6.596, 33.474,  26.00
  26.31,  6.597, 33.474,  26.10
  26.41,  6.596, 33.474,  26.20
  26.51,  6.596, 33.473,  26.30
  26.62,  6.597, 33.473,  26.40
  26.72,  6.597, 33.473,  26.50
  26.82,  6.597, 33.473,  26.60
  26.92,  6.597, 33.474,  26.70
  27.02,  6.597, 33.473,  26.80
  27.12,  6.597, 33.474,  26.90
  27.22,  6.597, 33.474,  27.00
  27.32,  6.597, 33.474,  27.10
  27.42,  6.597, 33.474,  27.20
  27.52,  6.598, 33.473,  27.30
  27.62,  6.597, 33.474,  27.40
  27.72,  6.597, 33.474,  27.50
  27.83,  6.598, 33.473,  27.60
  27.93,  6.599, 33.474,  27.70
  28.03,  6.598, 33.474,  27.80
  28.13,  6.599, 33.475,  27.90
  28.23,  6.599, 33.475,  28.00
  28.33,  6.599, 33.473,  28.10
  28.43,  6.598, 33.474,  28.20
  28.53,  6.598, 33.475,  28.30
  28.63,  6.598, 33.474,  28.40
  28.73,  6.598, 33.474,  28.50
  28.83,  6.599, 33.474,  28.60
  28.93,  6.599, 33.473,  28.70
  29.04,  6.598, 33.475,  28.80
  29.14,  6.599, 33.474,  28.90
  29.24,  6.599, 33.474,  29.00
  29.34,  6.599, 33.474,  29.10
  29.44,  6.599, 33.474,  29.20
  29.54,  6.598, 33.475,  29.30
  29.64,  6.599, 33.473,  29.40
  29.74,  6.598, 33.475,  29.50
  29.84,  6.599, 33.474,  29.60
  29.94,  6.599, 33.473,  29.70
  30.04,  6.599, 33.474,  29.80
  30.14,  6.599, 33.474,  29.90
  30.24,  6.598, 33.476,  30.00
  30.35,  6.598, 33.474,  30.10
  30.45,  6.599, 33.474,  30.20
  30.55,  6.598, 33.476,  30.30
  30.65,  6.598, 33.477,  30.40
  30.75,  6.598, 33.475,  30.50
  30.85,  6.598, 33.474,  30.60
  30.95,  6.598, 33.475,  30.70
  31.05,  6.597, 33.475,  30.80
  31.15,  6.598, 33.474,  30.90
  31.25,  6.598, 33.475,  31.00
  31.35,  6.597, 33.476,  31.10
  31.45,  6.597, 33.476,  31.20
  31.56,  6.599, 33.473,  31.30
  31.66,  6.598, 33.475,  31.40
  31.76,  6.599, 33.474,  31.50
  31.86,  6.598, 33.475,  31.60
  31.96,  6.599, 33.475,  31.70
  32.06,  6.600, 33.474,  31.80
  32.16,  6.600, 33.474,  31.90
  32.26,  6.599, 33.475,  32.00
  32.36,  6.600, 33.475,  32.10
  32.46,  6.600, 33.475,  32.20
  32.56,  6.600, 33.475,  32.30
  32.66,  6.600, 33.475,  32.40
  32.77,  6.600, 33.474,  32.50
  32.87,  6.599, 33.476,  32.60
  32.97,  6.600, 33.474,  32.70
  33.07,  6.599, 33.476,  32.80
  33.17,  6.600, 33.475,  32.90
  33.27,  6.600, 33.474,  33.00
  33.37,  6.600, 33.475,  33.10
  33.47,  6.600, 33.475,  33.20
  33.57,  6.600, 33.469,  33.30
END_DATA
