CTD,20251127AORIOS
#Reference: 27May2014Sta.2(2).csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140527_0750_0
CASTNO = 1
DATE = 20140526
TIME = 2250
LATITUDE = 39.3435
LONGITUDE = 141.9463
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 11.297, 30.299,   0.00
   0.10, 11.295, 30.329,   0.10
   0.20, 11.245, 30.437,   0.20
   0.30, 11.218, 30.561,   0.30
   0.40, 11.130, 30.845,   0.40
   0.50, 11.078, 30.986,   0.50
   0.60, 11.012, 31.174,   0.60
   0.71, 10.939, 31.296,   0.70
   0.81, 10.877, 31.399,   0.80
   0.91, 10.820, 31.457,   0.90
   1.01, 10.784, 31.489,   1.00
   1.11, 10.764, 31.506,   1.10
   1.21, 10.753, 31.566,   1.20
   1.31, 10.775, 32.014,   1.30
   1.41, 10.804, 32.109,   1.40
   1.51, 10.820, 32.287,   1.50
   1.61, 10.779, 32.479,   1.60
   1.71, 10.745, 32.514,   1.70
   1.81, 10.706, 32.576,   1.80
   1.92, 10.642, 32.637,   1.90
   2.02, 10.567, 32.724,   2.00
   2.12, 10.502, 32.827,   2.10
   2.22, 10.447, 32.873,   2.20
   2.32, 10.401, 32.902,   2.30
   2.42, 10.380, 32.867,   2.40
   2.52, 10.390, 32.834,   2.50
   2.62, 10.394, 32.863,   2.60
   2.72, 10.357, 32.948,   2.70
   2.82, 10.338, 32.843,   2.80
   2.92, 10.378, 32.803,   2.90
   3.02, 10.399, 32.803,   3.00
   3.13, 10.398, 32.870,   3.10
   3.23, 10.366, 32.985,   3.20
   3.33, 10.333, 33.016,   3.30
   3.43, 10.304, 33.034,   3.40
   3.53, 10.273, 33.044,   3.50
   3.63, 10.246, 33.082,   3.60
   3.73, 10.231, 33.097,   3.70
   3.83, 10.220, 33.107,   3.80
   3.93, 10.209, 33.106,   3.90
   4.03, 10.203, 33.097,   4.00
   4.13, 10.213, 33.090,   4.10
   4.23, 10.230, 33.028,   4.20
   4.33, 10.260, 33.033,   4.30
   4.44, 10.254, 32.977,   4.40
   4.54, 10.294, 32.933,   4.50
   4.64, 10.321, 32.894,   4.60
   4.74, 10.340, 32.920,   4.70
   4.84, 10.298, 32.991,   4.80
   4.94, 10.220, 33.067,   4.90
   5.04, 10.175, 33.109,   5.00
   5.14, 10.153, 33.130,   5.10
   5.24, 10.141, 33.140,   5.20
   5.34, 10.134, 33.147,   5.30
   5.44, 10.128, 33.161,   5.40
   5.54, 10.121, 33.166,   5.50
   5.65, 10.118, 33.171,   5.60
   5.75, 10.118, 33.171,   5.70
   5.85, 10.116, 33.166,   5.80
   5.95, 10.107, 33.076,   5.90
   6.05, 10.051, 33.091,   6.00
   6.15, 10.000, 33.142,   6.10
   6.25,  9.975, 33.171,   6.20
   6.35,  9.962, 33.178,   6.30
   6.45,  9.946, 33.167,   6.40
   6.55,  9.924, 33.147,   6.50
   6.65,  9.894, 33.162,   6.60
   6.75,  9.868, 33.170,   6.70
   6.86,  9.846, 33.172,   6.80
   6.96,  9.823, 33.168,   6.90
   7.06,  9.795, 33.175,   7.00
   7.16,  9.770, 33.193,   7.10
   7.26,  9.754, 33.206,   7.20
   7.36,  9.746, 33.213,   7.30
   7.46,  9.742, 33.215,   7.40
   7.56,  9.740, 33.216,   7.50
   7.66,  9.739, 33.217,   7.60
   7.76,  9.738, 33.219,   7.70
   7.86,  9.735, 33.219,   7.80
   7.96,  9.732, 33.217,   7.90
   8.06,  9.728, 33.205,   8.00
   8.17,  9.720, 33.214,   8.10
   8.27,  9.715, 33.226,   8.20
   8.37,  9.713, 33.237,   8.30
   8.47,  9.713, 33.232,   8.40
   8.57,  9.716, 33.228,   8.50
   8.67,  9.720, 33.229,   8.60
   8.77,  9.720, 33.235,   8.70
   8.87,  9.721, 33.236,   8.80
   8.97,  9.722, 33.236,   8.90
   9.07,  9.724, 33.240,   9.00
   9.17,  9.727, 33.238,   9.10
   9.27,  9.728, 33.242,   9.20
   9.38,  9.733, 33.240,   9.30
   9.48,  9.738, 33.233,   9.40
   9.58,  9.742, 33.238,   9.50
   9.68,  9.745, 33.237,   9.60
   9.78,  9.748, 33.229,   9.70
   9.88,  9.745, 33.232,   9.80
   9.98,  9.742, 33.236,   9.90
  10.08,  9.737, 33.231,  10.00
  10.18,  9.733, 33.232,  10.10
  10.28,  9.732, 33.226,  10.20
  10.38,  9.729, 33.231,  10.30
  10.48,  9.727, 33.229,  10.40
  10.59,  9.725, 33.227,  10.50
  10.69,  9.724, 33.231,  10.60
  10.79,  9.727, 33.238,  10.70
  10.89,  9.728, 33.251,  10.80
  10.99,  9.734, 33.252,  10.90
  11.09,  9.745, 33.246,  11.00
  11.19,  9.750, 33.251,  11.10
  11.29,  9.756, 33.253,  11.20
  11.39,  9.758, 33.257,  11.30
  11.49,  9.761, 33.255,  11.40
  11.59,  9.764, 33.252,  11.50
  11.69,  9.767, 33.250,  11.60
  11.80,  9.768, 33.248,  11.70
  11.90,  9.770, 33.245,  11.80
  12.00,  9.769, 33.247,  11.90
  12.10,  9.769, 33.249,  12.00
  12.20,  9.769, 33.250,  12.10
  12.30,  9.770, 33.251,  12.20
  12.40,  9.764, 33.242,  12.30
  12.50,  9.759, 33.244,  12.40
  12.60,  9.757, 33.246,  12.50
  12.70,  9.755, 33.251,  12.60
  12.80,  9.758, 33.259,  12.70
  12.90,  9.761, 33.258,  12.80
  13.00,  9.765, 33.257,  12.90
  13.11,  9.767, 33.259,  13.00
  13.21,  9.771, 33.260,  13.10
  13.31,  9.772, 33.262,  13.20
  13.41,  9.773, 33.264,  13.30
  13.51,  9.777, 33.263,  13.40
  13.61,  9.779, 33.263,  13.50
  13.71,  9.781, 33.261,  13.60
  13.81,  9.780, 33.262,  13.70
  13.91,  9.779, 33.265,  13.80
  14.01,  9.779, 33.265,  13.90
  14.11,  9.782, 33.267,  14.00
  14.21,  9.787, 33.270,  14.10
  14.32,  9.789, 33.274,  14.20
  14.42,  9.793, 33.274,  14.30
  14.52,  9.797, 33.273,  14.40
  14.62,  9.801, 33.290,  14.50
  14.72,  9.811, 33.296,  14.60
  14.82,  9.821, 33.292,  14.70
  14.92,  9.832, 33.281,  14.80
  15.02,  9.835, 33.280,  14.90
  15.12,  9.837, 33.292,  15.00
  15.22,  9.842, 33.285,  15.10
  15.32,  9.845, 33.301,  15.20
  15.42,  9.855, 33.317,  15.30
  15.53,  9.867, 33.306,  15.40
  15.63,  9.871, 33.300,  15.50
  15.73,  9.868, 33.298,  15.60
  15.83,  9.856, 33.282,  15.70
  15.93,  9.842, 33.291,  15.80
  16.03,  9.830, 33.293,  15.90
  16.13,  9.821, 33.296,  16.00
  16.23,  9.786, 33.316,  16.10
  16.33,  9.787, 33.287,  16.20
  16.43,  9.776, 33.293,  16.30
  16.53,  9.765, 33.277,  16.40
