CTD,20251127AORIOS
#Reference: 28May2014Sta.Ex1.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140528_0807_0
CASTNO = 1
DATE = 20140527
TIME = 2307
LATITUDE = 39.3631
LONGITUDE = 141.9900
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 10.918, 33.179,   0.00
   0.10, 10.885, 33.127,   0.10
   0.20, 10.872, 33.131,   0.20
   0.30, 10.821, 33.133,   0.30
   0.40, 10.772, 33.072,   0.40
   0.50, 10.736, 33.101,   0.50
   0.60, 10.722, 33.140,   0.60
   0.71, 10.727, 33.143,   0.70
   0.81, 10.743, 33.118,   0.80
   0.91, 10.762, 33.115,   0.90
   1.01, 10.777, 33.080,   1.00
   1.11, 10.777, 33.064,   1.10
   1.21, 10.755, 33.095,   1.20
   1.31, 10.742, 33.083,   1.30
   1.41, 10.708, 33.094,   1.40
   1.51, 10.676, 33.148,   1.50
   1.61, 10.662, 33.128,   1.60
   1.71, 10.638, 33.154,   1.70
   1.81, 10.624, 33.134,   1.80
   1.92, 10.628, 33.189,   1.90
   2.02, 10.663, 33.125,   2.00
   2.12, 10.630, 33.147,   2.10
   2.22, 10.574, 33.146,   2.20
   2.32, 10.512, 33.109,   2.30
   2.42, 10.438, 33.174,   2.40
   2.52, 10.387, 33.194,   2.50
   2.62, 10.348, 33.176,   2.60
   2.72, 10.307, 33.191,   2.70
   2.82, 10.272, 33.207,   2.80
   2.92, 10.248, 33.209,   2.90
   3.02, 10.217, 33.141,   3.00
   3.13, 10.175, 33.137,   3.10
   3.23, 10.132, 33.143,   3.20
   3.33, 10.091, 33.176,   3.30
   3.43, 10.065, 33.196,   3.40
   3.53, 10.050, 33.202,   3.50
   3.63, 10.038, 33.201,   3.60
   3.73, 10.024, 33.208,   3.70
   3.83, 10.010, 33.212,   3.80
   3.93,  9.995, 33.211,   3.90
   4.03,  9.978, 33.221,   4.00
   4.13,  9.963, 33.236,   4.10
   4.23,  9.956, 33.279,   4.20
   4.33,  9.960, 33.241,   4.30
   4.44,  9.950, 33.264,   4.40
   4.54,  9.942, 33.291,   4.50
   4.64,  9.942, 33.286,   4.60
   4.74,  9.940, 33.251,   4.70
   4.84,  9.918, 33.224,   4.80
   4.94,  9.884, 33.267,   4.90
   5.04,  9.869, 33.323,   5.00
   5.14,  9.876, 33.337,   5.10
   5.24,  9.891, 33.336,   5.20
   5.34,  9.904, 33.328,   5.30
   5.44,  9.910, 33.321,   5.40
   5.54,  9.912, 33.307,   5.50
   5.65,  9.907, 33.292,   5.60
   5.75,  9.897, 33.288,   5.70
   5.85,  9.883, 33.294,   5.80
   5.95,  9.874, 33.305,   5.90
   6.05,  9.868, 33.307,   6.00
   6.15,  9.865, 33.311,   6.10
   6.25,  9.863, 33.312,   6.20
   6.35,  9.860, 33.315,   6.30
   6.45,  9.859, 33.315,   6.40
   6.55,  9.857, 33.318,   6.50
   6.65,  9.855, 33.319,   6.60
   6.75,  9.855, 33.323,   6.70
   6.86,  9.854, 33.324,   6.80
   6.96,  9.852, 33.324,   6.90
   7.06,  9.851, 33.323,   7.00
   7.16,  9.851, 33.326,   7.10
   7.26,  9.852, 33.339,   7.20
   7.36,  9.857, 33.338,   7.30
   7.46,  9.861, 33.332,   7.40
   7.56,  9.867, 33.324,   7.50
   7.66,  9.865, 33.319,   7.60
   7.76,  9.861, 33.315,   7.70
   7.86,  9.853, 33.315,   7.80
   7.96,  9.843, 33.319,   7.90
   8.06,  9.830, 33.331,   8.00
   8.17,  9.813, 33.328,   8.10
   8.27,  9.793, 33.333,   8.20
   8.37,  9.776, 33.336,   8.30
   8.47,  9.761, 33.337,   8.40
   8.57,  9.748, 33.343,   8.50
   8.67,  9.739, 33.340,   8.60
   8.77,  9.726, 33.338,   8.70
   8.87,  9.711, 33.349,   8.80
   8.97,  9.703, 33.359,   8.90
   9.07,  9.699, 33.363,   9.00
   9.17,  9.696, 33.357,   9.10
   9.27,  9.686, 33.317,   9.20
   9.38,  9.652, 33.272,   9.30
   9.48,  9.602, 33.303,   9.40
   9.58,  9.571, 33.340,   9.50
   9.68,  9.559, 33.383,   9.60
   9.78,  9.566, 33.394,   9.70
   9.88,  9.575, 33.393,   9.80
   9.98,  9.582, 33.389,   9.90
  10.08,  9.585, 33.389,  10.00
  10.18,  9.586, 33.395,  10.10
  10.28,  9.586, 33.395,  10.20
  10.38,  9.586, 33.395,  10.30
  10.48,  9.586, 33.396,  10.40
  10.59,  9.587, 33.393,  10.50
  10.69,  9.588, 33.393,  10.60
  10.79,  9.589, 33.397,  10.70
  10.89,  9.591, 33.402,  10.80
  10.99,  9.592, 33.402,  10.90
  11.09,  9.590, 33.392,  11.00
  11.19,  9.585, 33.382,  11.10
  11.29,  9.576, 33.383,  11.20
  11.39,  9.567, 33.390,  11.30
  11.49,  9.559, 33.380,  11.40
  11.59,  9.542, 33.350,  11.50
  11.69,  9.512, 33.363,  11.60
  11.80,  9.488, 33.381,  11.70
  11.90,  9.473, 33.392,  11.80
  12.00,  9.464, 33.416,  11.90
  12.10,  9.463, 33.425,  12.00
  12.20,  9.463, 33.425,  12.10
  12.30,  9.464, 33.424,  12.20
  12.40,  9.465, 33.425,  12.30
  12.50,  9.463, 33.419,  12.40
  12.60,  9.458, 33.423,  12.50
  12.70,  9.452, 33.429,  12.60
  12.80,  9.450, 33.429,  12.70
  12.90,  9.447, 33.429,  12.80
  13.00,  9.444, 33.430,  12.90
  13.11,  9.440, 33.424,  13.00
  13.21,  9.435, 33.425,  13.10
  13.31,  9.429, 33.420,  13.20
  13.41,  9.420, 33.421,  13.30
  13.51,  9.411, 33.430,  13.40
  13.61,  9.407, 33.433,  13.50
  13.71,  9.404, 33.436,  13.60
  13.81,  9.402, 33.438,  13.70
  13.91,  9.399, 33.439,  13.80
  14.01,  9.397, 33.434,  13.90
  14.11,  9.393, 33.434,  14.00
  14.21,  9.388, 33.437,  14.10
  14.32,  9.384, 33.440,  14.20
  14.42,  9.382, 33.445,  14.30
  14.52,  9.381, 33.448,  14.40
  14.62,  9.381, 33.448,  14.50
  14.72,  9.381, 33.448,  14.60
  14.82,  9.381, 33.448,  14.70
  14.92,  9.381, 33.449,  14.80
  15.02,  9.381, 33.451,  14.90
  15.12,  9.380, 33.453,  15.00
  15.22,  9.380, 33.454,  15.10
  15.32,  9.379, 33.455,  15.20
  15.42,  9.379, 33.457,  15.30
  15.53,  9.377, 33.458,  15.40
  15.63,  9.377, 33.460,  15.50
  15.73,  9.378, 33.460,  15.60
  15.83,  9.377, 33.460,  15.70
  15.93,  9.377, 33.461,  15.80
  16.03,  9.376, 33.461,  15.90
  16.13,  9.376, 33.462,  16.00
  16.23,  9.374, 33.463,  16.10
  16.33,  9.371, 33.466,  16.20
  16.43,  9.369, 33.468,  16.30
  16.53,  9.365, 33.472,  16.40
  16.63,  9.363, 33.474,  16.50
  16.74,  9.360, 33.475,  16.60
  16.84,  9.359, 33.477,  16.70
  16.94,  9.358, 33.474,  16.80
  17.04,  9.352, 33.466,  16.90
  17.14,  9.337, 33.470,  17.00
  17.24,  9.324, 33.480,  17.10
  17.34,  9.316, 33.488,  17.20
  17.44,  9.313, 33.490,  17.30
  17.54,  9.310, 33.492,  17.40
  17.64,  9.309, 33.493,  17.50
  17.74,  9.308, 33.495,  17.60
  17.84,  9.307, 33.496,  17.70
  17.94,  9.307, 33.496,  17.80
  18.05,  9.307, 33.499,  17.90
  18.15,  9.309, 33.506,  18.00
  18.25,  9.312, 33.507,  18.10
  18.35,  9.314, 33.509,  18.20
  18.45,  9.316, 33.508,  18.30
  18.55,  9.317, 33.508,  18.40
  18.65,  9.318, 33.511,  18.50
  18.75,  9.319, 33.510,  18.60
  18.85,  9.321, 33.510,  18.70
  18.95,  9.323, 33.520,  18.80
  19.05,  9.327, 33.522,  18.90
  19.15,  9.330, 33.521,  19.00
  19.26,  9.333, 33.516,  19.10
  19.36,  9.337, 33.515,  19.20
  19.46,  9.337, 33.514,  19.30
  19.56,  9.337, 33.515,  19.40
  19.66,  9.337, 33.516,  19.50
  19.76,  9.339, 33.525,  19.60
  19.86,  9.346, 33.531,  19.70
  19.96,  9.353, 33.529,  19.80
  20.06,  9.356, 33.518,  19.90
  20.16,  9.356, 33.522,  20.00
  20.26,  9.359, 33.565,  20.10
  20.36,  9.380, 33.564,  20.20
  20.47,  9.394, 33.551,  20.30
  20.57,  9.405, 33.551,  20.40
  20.67,  9.413, 33.539,  20.50
  20.77,  9.416, 33.537,  20.60
  20.87,  9.417, 33.537,  20.70
  20.97,  9.417, 33.534,  20.80
  21.07,  9.415, 33.534,  20.90
  21.17,  9.415, 33.537,  21.00
  21.27,  9.415, 33.540,  21.10
  21.37,  9.415, 33.543,  21.20
  21.47,  9.416, 33.542,  21.30
  21.57,  9.416, 33.542,  21.40
  21.68,  9.416, 33.543,  21.50
  21.78,  9.417, 33.543,  21.60
  21.88,  9.417, 33.543,  21.70
  21.98,  9.418, 33.544,  21.80
  22.08,  9.418, 33.545,  21.90
  22.18,  9.419, 33.543,  22.00
  22.28,  9.419, 33.543,  22.10
  22.38,  9.419, 33.544,  22.20
  22.48,  9.419, 33.543,  22.30
  22.58,  9.419, 33.544,  22.40
  22.68,  9.418, 33.545,  22.50
  22.78,  9.419, 33.545,  22.60
  22.88,  9.420, 33.549,  22.70
  22.99,  9.421, 33.547,  22.80
  23.09,  9.423, 33.548,  22.90
  23.19,  9.424, 33.548,  23.00
  23.29,  9.425, 33.548,  23.10
  23.39,  9.426, 33.550,  23.20
  23.49,  9.428, 33.553,  23.30
  23.59,  9.430, 33.550,  23.40
  23.69,  9.430, 33.539,  23.50
  23.79,  9.424, 33.534,  23.60
  23.89,  9.416, 33.536,  23.70
  23.99,  9.408, 33.525,  23.80
  24.09,  9.394, 33.513,  23.90
  24.20,  9.376, 33.507,  24.00
  24.30,  9.357, 33.513,  24.10
  24.40,  9.342, 33.520,  24.20
  24.50,  9.331, 33.527,  24.30
  24.60,  9.325, 33.532,  24.40
  24.70,  9.320, 33.529,  24.50
  24.80,  9.316, 33.530,  24.60
  24.90,  9.311, 33.525,  24.70
  25.00,  9.305, 33.528,  24.80
  25.10,  9.301, 33.529,  24.90
  25.20,  9.297, 33.531,  25.00
  25.30,  9.294, 33.534,  25.10
  25.41,  9.293, 33.544,  25.20
  25.51,  9.296, 33.551,  25.30
  25.61,  9.301, 33.548,  25.40
  25.71,  9.305, 33.543,  25.50
  25.81,  9.306, 33.539,  25.60
  25.91,  9.304, 33.534,  25.70
  26.01,  9.300, 33.531,  25.80
  26.11,  9.296, 33.534,  25.90
  26.21,  9.292, 33.531,  26.00
  26.31,  9.288, 33.532,  26.10
  26.41,  9.284, 33.532,  26.20
  26.51,  9.280, 33.530,  26.30
  26.62,  9.276, 33.526,  26.40
  26.72,  9.272, 33.524,  26.50
  26.82,  9.266, 33.529,  26.60
  26.92,  9.263, 33.531,  26.70
  27.02,  9.261, 33.530,  26.80
  27.12,  9.257, 33.532,  26.90
  27.22,  9.255, 33.535,  27.00
  27.32,  9.254, 33.536,  27.10
  27.42,  9.251, 33.536,  27.20
  27.52,  9.250, 33.537,  27.30
  27.62,  9.250, 33.541,  27.40
  27.72,  9.252, 33.541,  27.50
  27.83,  9.255, 33.538,  27.60
  27.93,  9.256, 33.540,  27.70
  28.03,  9.254, 33.540,  27.80
  28.13,  9.250, 33.536,  27.90
  28.23,  9.247, 33.537,  28.00
  28.33,  9.244, 33.535,  28.10
  28.43,  9.241, 33.536,  28.20
  28.53,  9.240, 33.537,  28.30
  28.63,  9.240, 33.537,  28.40
  28.73,  9.242, 33.535,  28.50
  28.83,  9.244, 33.533,  28.60
  28.93,  9.244, 33.530,  28.70
  29.04,  9.242, 33.530,  28.80
  29.14,  9.241, 33.525,  28.90
  29.24,  9.236, 33.518,  29.00
  29.34,  9.229, 33.519,  29.10
  29.44,  9.223, 33.524,  29.20
  29.54,  9.219, 33.527,  29.30
  29.64,  9.216, 33.523,  29.40
  29.74,  9.211, 33.524,  29.50
  29.84,  9.206, 33.527,  29.60
  29.94,  9.202, 33.532,  29.70
  30.04,  9.201, 33.530,  29.80
  30.14,  9.199, 33.529,  29.90
  30.24,  9.197, 33.528,  30.00
  30.35,  9.193, 33.530,  30.10
  30.45,  9.192, 33.531,  30.20
  30.55,  9.191, 33.531,  30.30
  30.65,  9.190, 33.532,  30.40
  30.75,  9.189, 33.531,  30.50
  30.85,  9.190, 33.532,  30.60
  30.95,  9.189, 33.531,  30.70
  31.05,  9.188, 33.533,  30.80
  31.15,  9.187, 33.533,  30.90
  31.25,  9.186, 33.532,  31.00
  31.35,  9.184, 33.531,  31.10
  31.45,  9.181, 33.531,  31.20
  31.56,  9.178, 33.530,  31.30
  31.66,  9.175, 33.532,  31.40
  31.76,  9.172, 33.532,  31.50
  31.86,  9.170, 33.536,  31.60
