CTD,20251127AORIOS
#Reference: 大槌CTD観測日まとめ - N K.xlsx
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20140828_0748_0
CASTNO = 1
DATE = 20140827
TIME = 2248
LATITUDE = 39.3462
LONGITUDE = 141.9275
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 20.538, 30.512,   0.00
   0.10, 20.643, 31.228,   0.10
   0.20, 20.695, 31.838,   0.20
   0.30, 20.713, 32.182,   0.30
   0.40, 20.694, 32.369,   0.40
   0.50, 20.656, 32.371,   0.50
   0.60, 20.617, 32.396,   0.60
   0.71, 20.565, 32.429,   0.70
   0.81, 20.533, 32.490,   0.80
   0.91, 20.526, 32.506,   0.90
   1.01, 20.520, 32.779,   1.00
   1.11, 20.517, 32.887,   1.10
   1.21, 20.515, 32.893,   1.20
   1.31, 20.492, 32.929,   1.30
   1.41, 20.465, 32.983,   1.40
   1.51, 20.391, 33.074,   1.50
   1.61, 20.367, 33.094,   1.60
   1.71, 20.341, 33.121,   1.70
   1.81, 20.308, 33.148,   1.80
   1.92, 20.278, 33.177,   1.90
   2.02, 20.249, 33.178,   2.00
   2.12, 20.205, 33.197,   2.10
   2.22, 20.153, 33.218,   2.20
   2.32, 20.104, 33.230,   2.30
   2.42, 20.062, 33.256,   2.40
   2.52, 20.036, 33.279,   2.50
   2.62, 20.023, 33.297,   2.60
   2.72, 20.018, 33.303,   2.70
   2.82, 20.014, 33.299,   2.80
   2.92, 20.003, 33.291,   2.90
   3.02, 19.980, 33.299,   3.00
   3.13, 19.955, 33.311,   3.10
   3.23, 19.932, 33.320,   3.20
   3.33, 19.904, 33.342,   3.30
   3.43, 19.893, 33.346,   3.40
   3.53, 19.889, 33.349,   3.50
   3.63, 19.883, 33.354,   3.60
   3.73, 19.883, 33.354,   3.70
   3.83, 19.880, 33.347,   3.80
   3.93, 19.872, 33.341,   3.90
   4.03, 19.858, 33.332,   4.00
   4.13, 19.809, 33.325,   4.10
   4.23, 19.777, 33.327,   4.20
   4.33, 19.747, 33.338,   4.30
   4.44, 19.695, 33.344,   4.40
   4.54, 19.645, 33.369,   4.50
   4.64, 19.624, 33.382,   4.60
   4.74, 19.608, 33.379,   4.70
   4.84, 19.570, 33.359,   4.80
   4.94, 19.543, 33.361,   4.90
   5.04, 19.515, 33.355,   5.00
   5.14, 19.462, 33.386,   5.10
   5.24, 19.448, 33.393,   5.20
   5.34, 19.425, 33.401,   5.30
   5.44, 19.419, 33.404,   5.40
   5.54, 19.411, 33.408,   5.50
   5.65, 19.406, 33.406,   5.60
   5.75, 19.401, 33.394,   5.70
   5.85, 19.390, 33.391,   5.80
   5.95, 19.376, 33.388,   5.90
   6.05, 19.344, 33.390,   6.00
   6.15, 19.327, 33.400,   6.10
   6.25, 19.315, 33.413,   6.20
   6.35, 19.308, 33.419,   6.30
   6.45, 19.304, 33.419,   6.40
   6.55, 19.300, 33.413,   6.50
   6.65, 19.281, 33.410,   6.60
   6.75, 19.269, 33.402,   6.70
   6.86, 19.250, 33.373,   6.80
   6.96, 19.214, 33.386,   6.90
   7.06, 19.184, 33.402,   7.00
   7.16, 19.163, 33.412,   7.10
   7.26, 19.148, 33.419,   7.20
   7.36, 19.136, 33.422,   7.30
   7.46, 19.126, 33.412,   7.40
   7.56, 19.107, 33.387,   7.50
   7.66, 19.069, 33.402,   7.60
   7.76, 19.033, 33.425,   7.70
   7.86, 19.010, 33.443,   7.80
   7.96, 18.997, 33.450,   7.90
   8.06, 18.984, 33.452,   8.00
   8.17, 18.975, 33.453,   8.10
   8.27, 18.967, 33.456,   8.20
   8.37, 18.958, 33.453,   8.30
   8.47, 18.948, 33.447,   8.40
   8.57, 18.933, 33.438,   8.50
   8.67, 18.911, 33.435,   8.60
   8.77, 18.883, 33.443,   8.70
   8.87, 18.856, 33.423,   8.80
   8.97, 18.811, 33.413,   8.90
   9.07, 18.718, 33.465,   9.00
   9.17, 18.691, 33.478,   9.10
   9.27, 18.673, 33.492,   9.20
   9.38, 18.654, 33.499,   9.30
   9.48, 18.648, 33.503,   9.40
   9.58, 18.643, 33.506,   9.50
   9.68, 18.638, 33.506,   9.60
   9.78, 18.638, 33.507,   9.70
   9.88, 18.637, 33.507,   9.80
   9.98, 18.638, 33.507,   9.90
  10.08, 18.638, 33.510,  10.00
  10.18, 18.637, 33.505,  10.10
  10.28, 18.629, 33.490,  10.20
  10.38, 18.610, 33.483,  10.30
  10.48, 18.585, 33.495,  10.40
  10.59, 18.564, 33.507,  10.50
  10.69, 18.549, 33.500,  10.60
  10.79, 18.532, 33.505,  10.70
