CTD,20251127AORIOS
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20150526_1450_0
CASTNO = 1
DATE = 20150526
TIME = 0550
LATITUDE = 39.3492
LONGITUDE = 141.9182
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 15.442, 23.506,   0.00
   0.10, 15.399, 23.755,   0.10
   0.20, 15.200, 25.356,   0.20
   0.30, 15.155, 26.713,   0.30
   0.40, 14.880, 28.130,   0.40
   0.50, 14.635, 29.293,   0.50
   0.60, 14.502, 30.266,   0.60
   0.71, 14.352, 31.058,   0.70
   0.81, 14.268, 31.751,   0.80
   0.91, 14.117, 32.235,   0.90
   1.01, 14.021, 32.444,   1.00
   1.11, 13.871, 32.591,   1.10
   1.21, 13.786, 32.669,   1.20
   1.31, 13.730, 32.715,   1.30
   1.41, 13.688, 32.760,   1.40
   1.51, 13.654, 32.797,   1.50
   1.61, 13.523, 32.835,   1.60
   1.71, 13.403, 32.865,   1.70
   1.81, 13.300, 32.885,   1.80
   1.92, 13.165, 32.913,   1.90
   2.02, 12.962, 32.948,   2.00
   2.12, 12.807, 32.993,   2.10
   2.22, 12.728, 33.018,   2.20
   2.32, 12.681, 33.040,   2.30
   2.42, 12.578, 33.102,   2.40
   2.52, 12.547, 33.163,   2.50
   2.62, 12.557, 33.203,   2.60
   2.72, 12.545, 33.263,   2.70
   2.82, 12.457, 33.299,   2.80
   2.92, 12.396, 33.313,   2.90
   3.02, 12.327, 33.323,   3.00
   3.13, 12.284, 33.328,   3.10
   3.23, 12.226, 33.327,   3.20
   3.33, 12.171, 33.333,   3.30
   3.43, 12.119, 33.338,   3.40
   3.53, 12.066, 33.341,   3.50
   3.63, 12.029, 33.347,   3.60
   3.73, 11.984, 33.355,   3.70
   3.83, 11.966, 33.357,   3.80
   3.93, 11.956, 33.358,   3.90
   4.03, 11.952, 33.368,   4.00
   4.13, 11.941, 33.372,   4.10
   4.23, 11.945, 33.381,   4.20
   4.33, 11.946, 33.389,   4.30
   4.44, 11.938, 33.400,   4.40
   4.54, 11.906, 33.409,   4.50
   4.64, 11.865, 33.415,   4.60
   4.74, 11.831, 33.422,   4.70
