CTD,20251127AORIOS
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20180724_1407_0
CASTNO = 1
DATE = 20180724
TIME = 0507
LATITUDE = 39.3420
LONGITUDE = 141.9352
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR, ITS-90, PSS-78, METERS
   4.03, 18.071, 33.305,   4.00
   5.04, 18.044, 33.300,   5.00
   6.05, 18.054, 33.382,   6.00
   7.05, 18.085, 33.425,   7.00
   8.06, 18.098, 33.462,   8.00
   9.07, 18.059, 33.470,   9.00
  10.08, 18.009, 33.495,  10.00
  11.09, 17.951, 33.528,  11.00
  12.09, 17.760, 33.523,  12.00
  13.10, 17.558, 33.526,  13.00
  14.11, 17.566, 33.577,  14.00
  15.12, 17.350, 33.552,  15.00
  16.12, 17.024, 33.492,  16.00
  17.13, 16.952, 33.483,  17.00
  18.14, 16.943, 33.481,  18.00
  19.15, 16.925, 33.479,  19.00
  20.15, 16.884, 33.473,  20.00
  21.16, 16.836, 33.465,  21.00
  22.17, 16.806, 33.458,  22.00
  23.18, 16.760, 33.451,  23.00
  24.18, 16.772, 33.454,  24.00
  25.19, 16.753, 33.449,  25.00
  26.20, 16.723, 33.441,  26.00
  27.21, 16.695, 33.436,  27.00
  28.22, 16.699, 33.438,  28.00
  29.22, 16.679, 33.434,  29.00
  30.23, 16.651, 33.432,  30.00
  31.24, 16.537, 33.437,  31.00
  32.25, 16.446, 33.443,  32.00
  33.26, 16.319, 33.456,  33.00
  34.26, 16.263, 33.465,  34.00
  35.27, 16.210, 33.467,  35.00
  36.28, 16.154, 33.463,  36.00
  37.29, 15.834, 33.495,  37.00
END_DATA
