CTD,20251127AORIOS
#Reference: 20200727St.2.csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20200727_1354_0
CASTNO = 1
DATE = 20200727
TIME = 0454
LATITUDE = 39.3435
LONGITUDE = 141.9463
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 18.969, 25.390,   0.00
   0.10, 19.009, 25.193,   0.10
   0.20, 18.941, 26.106,   0.20
   0.30, 18.738, 28.342,   0.30
   0.40, 18.713, 28.415,   0.40
   0.50, 18.693, 29.063,   0.50
   0.60, 18.612, 29.464,   0.60
   0.71, 18.539, 30.076,   0.70
   0.81, 18.450, 30.438,   0.80
   0.91, 18.408, 30.741,   0.90
   1.01, 18.351, 30.879,   1.00
   1.11, 18.339, 30.963,   1.10
   1.21, 18.348, 31.078,   1.20
   1.31, 18.347, 30.974,   1.30
   1.41, 18.346, 31.275,   1.40
   1.51, 18.380, 31.517,   1.50
   1.61, 18.465, 31.688,   1.60
   1.71, 18.575, 31.719,   1.70
   1.81, 18.591, 32.039,   1.80
   1.92, 18.551, 32.227,   1.90
   2.02, 18.504, 32.517,   2.00
   2.12, 18.456, 32.730,   2.10
   2.22, 18.417, 33.007,   2.20
   2.32, 18.354, 33.075,   2.30
   2.42, 18.326, 33.188,   2.40
   2.52, 18.278, 33.213,   2.50
   2.62, 18.299, 33.221,   2.60
   2.72, 18.307, 33.199,   2.70
   2.82, 18.278, 33.203,   2.80
   2.92, 18.262, 33.212,   2.90
   3.02, 18.263, 33.244,   3.00
   3.13, 18.271, 33.254,   3.10
   3.23, 18.294, 33.266,   3.20
   3.33, 18.315, 33.321,   3.30
   3.43, 18.330, 33.335,   3.40
   3.53, 18.360, 33.331,   3.50
   3.63, 18.390, 33.351,   3.60
   3.73, 18.412, 33.359,   3.70
   3.83, 18.436, 33.387,   3.80
   3.93, 18.459, 33.377,   3.90
   4.03, 18.467, 33.381,   4.00
   4.13, 18.523, 33.488,   4.10
   4.23, 18.637, 33.544,   4.20
   4.33, 18.729, 33.594,   4.30
   4.44, 18.796, 33.562,   4.40
   4.54, 18.814, 33.551,   4.50
   4.64, 18.827, 33.516,   4.60
   4.74, 18.825, 33.502,   4.70
   4.84, 18.748, 33.200,   4.80
   4.94, 18.619, 33.064,   4.90
   5.04, 18.316, 33.244,   5.00
   5.14, 18.238, 33.311,   5.10
   5.24, 18.171, 33.361,   5.20
   5.34, 18.156, 33.373,   5.30
   5.44, 18.146, 33.388,   5.40
   5.54, 18.144, 33.384,   5.50
   5.65, 18.207, 33.557,   5.60
   5.75, 18.308, 33.510,   5.70
   5.85, 18.377, 33.473,   5.80
   5.95, 18.365, 33.472,   5.90
   6.05, 18.405, 33.654,   6.00
   6.15, 18.505, 33.632,   6.10
   6.25, 18.541, 33.694,   6.20
   6.35, 18.585, 33.671,   6.30
   6.45, 18.644, 33.635,   6.40
   6.55, 18.660, 33.624,   6.50
   6.65, 18.670, 33.646,   6.60
   6.75, 18.667, 33.570,   6.70
   6.86, 18.633, 33.544,   6.80
   6.96, 18.585, 33.564,   6.90
   7.06, 18.547, 33.588,   7.00
   7.16, 18.523, 33.594,   7.10
   7.26, 18.505, 33.584,   7.20
   7.36, 18.481, 33.578,   7.30
   7.46, 18.459, 33.592,   7.40
   7.56, 18.444, 33.609,   7.50
   7.66, 18.435, 33.613,   7.60
   7.76, 18.429, 33.594,   7.70
   7.86, 18.405, 33.602,   7.80
   7.96, 18.391, 33.613,   7.90
   8.06, 18.383, 33.620,   8.00
   8.17, 18.384, 33.640,   8.10
   8.27, 18.401, 33.667,   8.20
   8.37, 18.476, 33.702,   8.30
   8.47, 18.499, 33.691,   8.40
   8.57, 18.506, 33.674,   8.50
   8.67, 18.493, 33.653,   8.60
   8.77, 18.459, 33.622,   8.70
   8.87, 18.411, 33.607,   8.80
   8.97, 18.363, 33.604,   8.90
   9.07, 18.300, 33.603,   9.00
   9.17, 18.262, 33.613,   9.10
   9.27, 18.217, 33.625,   9.20
   9.38, 18.206, 33.625,   9.30
   9.48, 18.198, 33.621,   9.40
   9.58, 18.195, 33.621,   9.50
   9.68, 18.183, 33.616,   9.60
   9.78, 18.172, 33.611,   9.70
   9.88, 18.166, 33.613,   9.80
   9.98, 18.147, 33.566,   9.90
  10.08, 18.113, 33.521,  10.00
  10.18, 18.071, 33.494,  10.10
  10.28, 17.962, 33.484,  10.20
  10.38, 17.914, 33.516,  10.30
  10.48, 17.856, 33.534,  10.40
  10.59, 17.838, 33.543,  10.50
  10.69, 17.815, 33.548,  10.60
  10.79, 17.796, 33.554,  10.70
  10.89, 17.779, 33.556,  10.80
  10.99, 17.759, 33.585,  10.90
  11.09, 17.797, 33.676,  11.00
  11.19, 17.779, 33.527,  11.10
  11.29, 17.740, 33.535,  11.20
  11.39, 17.715, 33.539,  11.30
  11.49, 17.705, 33.540,  11.40
  11.59, 17.696, 33.539,  11.50
  11.69, 17.688, 33.543,  11.60
  11.80, 17.678, 33.549,  11.70
  11.90, 17.669, 33.554,  11.80
  12.00, 17.661, 33.558,  11.90
  12.10, 17.653, 33.563,  12.00
  12.20, 17.646, 33.568,  12.10
  12.30, 17.641, 33.572,  12.20
  12.40, 17.637, 33.572,  12.30
  12.50, 17.631, 33.575,  12.40
  12.60, 17.626, 33.574,  12.50
  12.70, 17.618, 33.574,  12.60
  12.80, 17.606, 33.573,  12.70
  12.90, 17.589, 33.582,  12.80
  13.00, 17.573, 33.583,  12.90
  13.11, 17.545, 33.594,  13.00
  13.21, 17.535, 33.598,  13.10
  13.31, 17.521, 33.606,  13.20
  13.41, 17.506, 33.613,  13.30
  13.51, 17.491, 33.627,  13.40
  13.61, 17.493, 33.631,  13.50
  13.71, 17.541, 33.602,  13.60
  13.81, 17.506, 33.596,  13.70
  13.91, 17.470, 33.617,  13.80
  14.01, 17.465, 33.616,  13.90
  14.11, 17.465, 33.614,  14.00
  14.21, 17.461, 33.611,  14.10
  14.32, 17.459, 33.612,  14.20
  14.42, 17.456, 33.613,  14.30
  14.52, 17.455, 33.614,  14.40
  14.62, 17.452, 33.615,  14.50
  14.72, 17.451, 33.617,  14.60
  14.82, 17.450, 33.617,  14.70
  14.92, 17.449, 33.618,  14.80
  15.02, 17.449, 33.616,  14.90
  15.12, 17.449, 33.615,  15.00
  15.22, 17.448, 33.625,  15.10
  15.32, 17.449, 33.624,  15.20
  15.42, 17.451, 33.634,  15.30
  15.53, 17.449, 33.618,  15.40
  15.63, 17.440, 33.608,  15.50
  15.73, 17.395, 33.586,  15.60
  15.83, 17.356, 33.602,  15.70
  15.93, 17.296, 33.632,  15.80
  16.03, 17.265, 33.660,  15.90
  16.13, 17.252, 33.678,  16.00
  16.23, 17.246, 33.680,  16.10
  16.33, 17.235, 33.691,  16.20
  16.43, 17.222, 33.703,  16.30
  16.53, 17.212, 33.709,  16.40
  16.63, 17.204, 33.704,  16.50
  16.74, 17.189, 33.704,  16.60
  16.84, 17.182, 33.678,  16.70
  16.94, 17.102, 33.675,  16.80
  17.04, 17.030, 33.694,  16.90
  17.14, 16.948, 33.708,  17.00
  17.24, 16.908, 33.732,  17.10
  17.34, 16.855, 33.772,  17.20
  17.44, 16.830, 33.788,  17.30
  17.54, 16.823, 33.796,  17.40
  17.64, 16.817, 33.794,  17.50
  17.74, 16.800, 33.780,  17.60
