CTD,20251127AORIOS
#Reference: 20200727St.6(採泥).csv
# CTDPRS is converted from CTDDEPTH
NUMBER_HEADERS = 8
EXPOCODE = AORI_OTSUCHI
STNNBR = 20200727_1411_0
CASTNO = 1
DATE = 20200727
TIME = 0511
LATITUDE = 39.3414
LONGITUDE = 141.9303
 CTDPRS, CTDTMP, CTDSAL,CTDDEPTH
   DBAR,  DEG C, PSS-78, METERS
   0.00, 19.818, 28.160,   0.00
   0.10, 19.819, 28.152,   0.10
   0.20, 19.819, 28.150,   0.20
   0.30, 19.820, 28.151,   0.30
   0.40, 19.819, 28.148,   0.40
   0.50, 19.820, 28.161,   0.50
   0.60, 19.819, 28.164,   0.60
   0.71, 19.817, 28.190,   0.70
   0.81, 19.813, 28.198,   0.80
   0.91, 19.811, 28.204,   0.90
   1.01, 19.808, 28.209,   1.00
   1.11, 19.806, 28.218,   1.10
   1.21, 19.802, 28.235,   1.20
   1.31, 19.794, 28.270,   1.30
   1.41, 19.773, 28.350,   1.40
   1.51, 19.747, 28.429,   1.50
   1.61, 19.706, 28.771,   1.60
   1.71, 19.627, 29.040,   1.70
   1.81, 19.501, 30.040,   1.80
   1.92, 19.230, 31.403,   1.90
   2.02, 18.964, 31.782,   2.00
   2.12, 18.793, 32.066,   2.10
   2.22, 18.680, 32.416,   2.20
   2.32, 18.585, 32.796,   2.30
   2.42, 18.489, 32.892,   2.40
   2.52, 18.408, 32.956,   2.50
   2.62, 18.359, 32.989,   2.60
   2.72, 18.333, 33.017,   2.70
   2.82, 18.321, 33.019,   2.80
   2.92, 18.310, 33.010,   2.90
   3.02, 18.297, 33.017,   3.00
   3.13, 18.286, 33.029,   3.10
   3.23, 18.281, 33.137,   3.20
   3.33, 18.302, 33.295,   3.30
   3.43, 18.359, 33.462,   3.40
   3.53, 18.456, 33.513,   3.50
   3.63, 18.560, 33.543,   3.60
   3.73, 18.663, 33.559,   3.70
   3.83, 18.747, 33.470,   3.80
   3.93, 18.778, 33.455,   3.90
   4.03, 18.785, 33.479,   4.00
   4.13, 18.789, 33.507,   4.10
   4.23, 18.801, 33.573,   4.20
   4.33, 18.822, 33.556,   4.30
   4.44, 18.836, 33.541,   4.40
   4.54, 18.838, 33.507,   4.50
   4.64, 18.824, 33.482,   4.60
   4.74, 18.796, 33.457,   4.70
   4.84, 18.755, 33.395,   4.80
   4.94, 18.697, 33.433,   4.90
   5.04, 18.656, 33.424,   5.00
   5.14, 18.620, 33.380,   5.10
   5.24, 18.565, 33.344,   5.20
   5.34, 18.498, 33.333,   5.30
   5.44, 18.440, 33.359,   5.40
   5.54, 18.405, 33.363,   5.50
   5.65, 18.351, 33.277,   5.60
   5.75, 18.278, 33.330,   5.70
   5.85, 18.233, 33.364,   5.80
   5.95, 18.210, 33.402,   5.90
   6.05, 18.199, 33.399,   6.00
   6.15, 18.183, 33.427,   6.10
   6.25, 18.161, 33.405,   6.20
   6.35, 18.128, 33.416,   6.30
   6.45, 18.100, 33.432,   6.40
   6.55, 18.081, 33.441,   6.50
   6.65, 18.069, 33.465,   6.60
   6.75, 18.065, 33.483,   6.70
   6.86, 18.067, 33.486,   6.80
   6.96, 18.069, 33.471,   6.90
   7.06, 18.064, 33.459,   7.00
   7.16, 18.052, 33.448,   7.10
   7.26, 18.037, 33.444,   7.20
   7.36, 18.022, 33.440,   7.30
   7.46, 18.006, 33.432,   7.40
   7.56, 17.986, 33.431,   7.50
   7.66, 17.965, 33.420,   7.60
   7.76, 17.940, 33.480,   7.70
   7.86, 17.933, 33.499,   7.80
   7.96, 17.937, 33.491,   7.90
   8.06, 17.934, 33.472,   8.00
   8.17, 17.921, 33.465,   8.10
   8.27, 17.903, 33.432,   8.20
   8.37, 17.875, 33.435,   8.30
   8.47, 17.846, 33.429,   8.40
   8.57, 17.815, 33.425,   8.50
   8.67, 17.788, 33.432,   8.60
   8.77, 17.769, 33.443,   8.70
   8.87, 17.749, 33.409,   8.80
   8.97, 17.721, 33.401,   8.90
   9.07, 17.694, 33.456,   9.00
   9.17, 17.683, 33.461,   9.10
   9.27, 17.675, 33.426,   9.20
   9.38, 17.649, 33.367,   9.30
   9.48, 17.601, 33.385,   9.40
   9.58, 17.569, 33.484,   9.50
   9.68, 17.574, 33.499,   9.60
   9.78, 17.583, 33.488,   9.70
   9.88, 17.587, 33.494,   9.80
   9.98, 17.594, 33.489,   9.90
  10.08, 17.598, 33.485,  10.00
  10.18, 17.600, 33.487,  10.10
  10.28, 17.601, 33.497,  10.20
  10.38, 17.606, 33.503,  10.30
  10.48, 17.611, 33.521,  10.40
  10.59, 17.613, 33.533,  10.50
  10.69, 17.615, 33.535,  10.60
  10.79, 17.618, 33.532,  10.70
  10.89, 17.619, 33.526,  10.80
  10.99, 17.615, 33.495,  10.90
  11.09, 17.594, 33.479,  11.00
  11.19, 17.568, 33.492,  11.10
  11.29, 17.547, 33.501,  11.20
  11.39, 17.530, 33.509,  11.30
  11.49, 17.519, 33.522,  11.40
  11.59, 17.514, 33.544,  11.50
  11.69, 17.518, 33.546,  11.60
  11.80, 17.522, 33.572,  11.70
  11.90, 17.530, 33.581,  11.80
  12.00, 17.540, 33.572,  11.90
  12.10, 17.543, 33.533,  12.00
  12.20, 17.526, 33.536,  12.10
  12.30, 17.508, 33.547,  12.20
  12.40, 17.495, 33.547,  12.30
  12.50, 17.483, 33.537,  12.40
  12.60, 17.470, 33.547,  12.50
  12.70, 17.461, 33.552,  12.60
  12.80, 17.454, 33.547,  12.70
  12.90, 17.445, 33.535,  12.80
  13.00, 17.430, 33.517,  12.90
  13.11, 17.406, 33.537,  13.00
  13.21, 17.374, 33.562,  13.10
  13.31, 17.342, 33.572,  13.20
  13.41, 17.315, 33.580,  13.30
  13.51, 17.290, 33.589,  13.40
  13.61, 17.270, 33.592,  13.50
  13.71, 17.246, 33.592,  13.60
  13.81, 17.218, 33.596,  13.70
  13.91, 17.185, 33.605,  13.80
  14.01, 17.151, 33.623,  13.90
  14.11, 17.126, 33.637,  14.00
  14.21, 17.108, 33.633,  14.10
  14.32, 17.087, 33.634,  14.20
  14.42, 17.064, 33.641,  14.30
  14.52, 17.039, 33.652,  14.40
  14.62, 17.017, 33.661,  14.50
  14.72, 16.998, 33.669,  14.60
  14.82, 16.982, 33.681,  14.70
  14.92, 16.969, 33.687,  14.80
  15.02, 16.960, 33.687,  14.90
  15.12, 16.954, 33.691,  15.00
  15.22, 16.947, 33.687,  15.10
  15.32, 16.936, 33.690,  15.20
  15.42, 16.922, 33.691,  15.30
  15.53, 16.909, 33.704,  15.40
  15.63, 16.900, 33.702,  15.50
  15.73, 16.892, 33.707,  15.60
  15.83, 16.887, 33.707,  15.70
  15.93, 16.881, 33.693,  15.80
  16.03, 16.864, 33.695,  15.90
  16.13, 16.847, 33.704,  16.00
  16.23, 16.833, 33.716,  16.10
  16.33, 16.825, 33.724,  16.20
  16.43, 16.822, 33.725,  16.30
  16.53, 16.820, 33.726,  16.40
  16.63, 16.819, 33.724,  16.50
  16.73, 16.817, 33.716,  16.60
  16.84, 16.806, 33.697,  16.70
  16.94, 16.784, 33.711,  16.80
  17.04, 16.768, 33.720,  16.90
  17.14, 16.756, 33.719,  17.00
  17.24, 16.741, 33.721,  17.10
  17.34, 16.726, 33.730,  17.20
  17.44, 16.715, 33.735,  17.30
  17.54, 16.706, 33.739,  17.40
  17.64, 16.698, 33.738,  17.50
  17.74, 16.686, 33.739,  17.60
  17.84, 16.671, 33.738,  17.70
  17.94, 16.655, 33.731,  17.80
  18.05, 16.635, 33.726,  17.90
  18.15, 16.610, 33.731,  18.00
  18.25, 16.588, 33.737,  18.10
  18.35, 16.569, 33.747,  18.20
  18.45, 16.553, 33.745,  18.30
  18.55, 16.534, 33.746,  18.40
  18.65, 16.515, 33.749,  18.50
  18.75, 16.498, 33.749,  18.60
  18.85, 16.482, 33.745,  18.70
  18.95, 16.465, 33.755,  18.80
  19.05, 16.452, 33.768,  18.90
  19.15, 16.445, 33.776,  19.00
  19.26, 16.442, 33.778,  19.10
  19.36, 16.440, 33.781,  19.20
  19.46, 16.439, 33.780,  19.30
  19.56, 16.438, 33.779,  19.40
  19.66, 16.436, 33.779,  19.50
  19.76, 16.433, 33.777,  19.60
  19.86, 16.430, 33.783,  19.70
  19.96, 16.429, 33.779,  19.80
  20.06, 16.428, 33.783,  19.90
  20.16, 16.426, 33.793,  20.00
  20.26, 16.426, 33.794,  20.10
  20.36, 16.425, 33.794,  20.20
  20.47, 16.424, 33.796,  20.30
  20.57, 16.423, 33.789,  20.40
  20.67, 16.418, 33.773,  20.50
  20.77, 16.404, 33.771,  20.60
  20.87, 16.388, 33.784,  20.70
  20.97, 16.378, 33.798,  20.80
  21.07, 16.375, 33.799,  20.90
  21.17, 16.370, 33.791,  21.00
  21.27, 16.360, 33.790,  21.10
  21.37, 16.348, 33.786,  21.20
  21.47, 16.332, 33.770,  21.30
  21.57, 16.309, 33.769,  21.40
  21.68, 16.282, 33.783,  21.50
  21.78, 16.261, 33.793,  21.60
  21.88, 16.245, 33.801,  21.70
  21.98, 16.234, 33.807,  21.80
  22.08, 16.222, 33.809,  21.90
  22.18, 16.213, 33.808,  22.00
  22.28, 16.201, 33.806,  22.10
  22.38, 16.186, 33.807,  22.20
  22.48, 16.171, 33.814,  22.30
  22.58, 16.158, 33.822,  22.40
  22.68, 16.147, 33.823,  22.50
  22.78, 16.134, 33.829,  22.60
  22.88, 16.124, 33.837,  22.70
  22.99, 16.119, 33.840,  22.80
  23.09, 16.115, 33.843,  22.90
  23.19, 16.113, 33.840,  23.00
  23.29, 16.108, 33.840,  23.10
  23.39, 16.104, 33.843,  23.20
  23.49, 16.100, 33.842,  23.30
  23.59, 16.095, 33.838,  23.40
  23.69, 16.087, 33.845,  23.50
  23.79, 16.082, 33.847,  23.60
  23.89, 16.077, 33.848,  23.70
  23.99, 16.074, 33.847,  23.80
  24.09, 16.069, 33.851,  23.90
  24.20, 16.066, 33.851,  24.00
  24.30, 16.064, 33.847,  24.10
  24.40, 16.060, 33.846,  24.20
  24.50, 16.052, 33.832,  24.30
  24.60, 16.037, 33.838,  24.40
  24.70, 16.023, 33.838,  24.50
  24.80, 16.008, 33.824,  24.60
